Assamese,Marathi
এ চি সমতুল্য বৰ্তনী,एसी समतुल्य सर्किट
এনালগ টু সংখ্যাগত ৰূপান্তৰক,एनालॉग ते अंकीय कनवर्टर
নিৰপেক্ষ শূন্য,पूर्ण शून्य
শোষণ সহগ,शोषण गुणांक
শোষণ বৰ্ণালী,शोषण स्पेक्ट्रम
ৰিচেপ্টৰ পৰমাণু,रिसेप्टर अणू
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,पर्यायी वर्तमान जोडणी
ইলেক্ট্ৰন সংগ্ৰহ কৰা,इलेक्ट्रॉन कापणी
ফুটা সংৰক্ষণ,भोक संचयन
সক্ৰিয়কৰণ শক্তি,सक्रियता ऊर्जा
সক্ৰিয় পৰিবৰ্ধক,सक्रिय अॅम्प्लीफायर
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,सक्रिय डायोड सर्किट
সক্ৰিয় ফিল্টাৰ,सक्रिय फिल्टर
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,सक्रिय उच्च वारंवारता पर्केट फिल्टर
সক্ৰিয় লোড,सक्रिय भार
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,सक्रिय कमी वारंवारता पार्स फिल्टर
সক্ৰিয় অঞ্চল,सक्रिय क्षेत्र
অভিযোজিত ইলেক্ট্ৰনিক্স,अनुकूली इलेक्ट्रॉनिक्स
adder,जोडणारा
এডজাষ্টেবল বেণ্ড এক্সটেনচন,समायोज्य बँड विस्तार
ভেদ,प्रवेश
এৰিয়েল,एरियल
pep কম্পাঙ্ক,pep वारंवारता
এয়াৰ কণ্ডিচনাৰ,एअर कंडिशनर
প্ৰান্তিককৰণ,संरेखन
এলগৰিদম,अल्गोरिदम
সকলো পাছ ফিল্টাৰ,सर्व पास फिल्टर
মিশ্ৰণ সংযোগ,मिश्र धातु जंक्शन
ক্ষীণকৰণ,क्षीणन
বিকল্প বিদ্যুৎ প্ৰবাহ,पर्यायी प्रवाह
পৰিৱেশৰ উষ্ণতা,वातावरणीय तापमान
বাইপোলাৰ,द्विध्रुवीय
এম্প্লিফিকেশন,प्रवर्धन
এম্প্লিফায়াৰ,अॅम्प्लिफायर
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,एम्पलीफायर कार्यक्षमता
মাত্ৰাসমূহ,परिमाण
প্ৰসাৰণ ক্ষীণকৰণ,मोठेपणा क्षीणन
প্ৰসাৰণ মডুলেটেড AM দোলক,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
প্ৰসাৰণ মডুলেচন,मोठेपणा मॉड्यूलेशन
প্ৰসাৰণ মডুলেটৰ,मोठेपणा मॉड्युलेटर
angstrom একক,अँग्स्ट्रोम युनिट
এনালগ বৰ্তনী,अॅनालॉग सर्किट
এনালগ কম্পিউটাৰ,अॅनालॉग संगणक
এনালগ ফিল্টাৰ,अॅनालॉग फिल्टर
এনালগ মাল্টিমিটাৰ,अॅनालॉग मल्टीमीटर
এনালগ চুইচ,अॅनालॉग स्विच
AND গেট,आणि गेट
কৌণিক কম্পাঙ্ক,कोनीय वारंवारता
"এনিয়ন, এনিয়ন","anion, anion"
এনিয়েলিং উষ্ণতা,एनीलिंग तापमान
এনোড,एनोड
এনোড এম্প্লিফায়াৰ,एनोड अॅम्प्लिफायर
এনোডাইন,anodyne
এন্টেনা,अँटेना
এন্টেনা উপাদান,अँटेना घटक
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,विरोधी परावर्तक कोटिंग
এন্টিলগিন এম্প্লিফায়াৰ,अँटिलॉगिन अॅम्प्लिफायर
এন্টিৰেজোনেণ্ট চাৰ্কিট,अँटीरेझोनंट सर्किट
দ্বাৰক যুগ,द्वारक काळ
ভাৰ্চুৱেল শক্তি,आभासी शक्ती
তাঁৰৰ সংযোগ,वायर कनेक्शन
আনুমানিক ভোল্টেজ লাভ,अंदाजे व्होल्टेज वाढ
আৰ্মষ্ট্ৰং মডুলেটৰ,आर्मस्ट्राँग मॉड्युलेटर
এন্টেনা এৰে,अँटेना अॅरे
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","आकार गुणोत्तर, गुणोत्तर"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,स्वयंचलित मल्टीव्हायब्रेटर
ভাসমান মাল্টিভাইব্ৰেটৰ,फ्लोटिंग मल्टीव्हायब्रेटर
অসমতাপূৰ্ণ সংযোগস্থল,असममित जंक्शन
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,असिंक्रोनस कॅल्क्युलेटर
পাৰমাণৱিক,आण्विक
পাৰমাণৱিক সংখ্যা,अणुक्रमांक
পাৰমাণৱিক গঠন,अणु रचना
অডিঅ&#39; এম্প্লিফায়াৰ,ऑडिओ अॅम्प्लीफायर
অডিঅ&#39; এম্প্লিফায়াৰ,ऑडिओ अॅम्प्लीफायर
অডিঅ&#39; কেছেট,ऑडिओ कॅसेट
অডিঅ&#39; বৰ্তনী,ऑडिओ सर्किट
শ্ৰৱণযোগ্য কম্পাঙ্ক,ऐकण्यायोग्य वारंवारता
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,स्वयंचलित व्होल्टेज नियंत्रण
হিমস্খলন,हिमस्खलन
গড় ডিটেক্টৰ,सरासरी डिटेक्टर
অক্ষীয় ধৰণ,अक्षीय मोड
অক্ষীয় অনুপাত,अक्षीय प्रमाण
এন্টেনা,अँटेना
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,बॅक इलेक्ट्रोमोटिव्ह फोर्स
পিছফালৰ অঞ্চল,मागील क्षेत्र
পিছলৈ বিক্ষিপ্ততা,परत स्कॅटर
পটভূমি চাৰ্জ,पार्श्वभूमी शुल्क
কাষৰ শব্দ,बाजूचा आवाज
