Assamese,Tamil
এবেলিয়ান গোট,அபெலியன் குழு
abelian অৰ্ধগোট,அபிலியன் அரைகுழு
abscissa,abscissa
নিৰপেক্ষ,அறுதி
নিৰপেক্ষ অভিসৰণ,முழுமையான ஒருங்கிணைப்பு
নিৰপেক্ষ ভুল,முழுமையான பிழை
নিৰপেক্ষ সৰ্বোচ্চ,முழுமையான அதிகபட்சம்
নিৰপেক্ষ নূন্যতম,முழுமையான குறைந்தபட்சம்
নিৰপেক্ষ মূল্য,துல்லியமான மதிப்பு
নিৰপেক্ষ বেগ,முழுமையான வேகம்
বিমূৰ্ত বীজগণিত,சுருக்க இயற்கணிதம்
বিমূৰ্ত গোট তত্ত্ব,சுருக்க குழு கோட்பாடு
বেগ বৃদ্ধি,முடுக்கம்
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,புவியீர்ப்பு காரணமாக முடுக்கம்
গ্ৰহণযোগ্য পছন্দৰ ছেট,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
গ্ৰহণযোগ্য পৰিসৰ,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
সঞ্চিত ভুল,திரட்டப்பட்ட பிழை
শুদ্ধতা,துல்லியம்
ক্ৰিয়াশীল শক্তি,செயல்படும் சக்தி
কাৰ্য কৰা,நடவடிக்கை
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,செயல் மற்றும் எதிர்வினை
কৃষি বিজ্ঞান,உண்மையான அறிவியல்
তীব্ৰ কোণীয়া ত্ৰিভুজ,கடுமையான கோண முக்கோணம்
অচক্ৰীয়,அசைக்ளிக்
যোগ কৰা,கூட்டு
adder,சேர்ப்பான்
যোগ,கூடுதலாக
যোগ সূত্ৰ,கூட்டல் சூத்திரம்
