Tamil,Hindi
A B வகுப்பு பெருக்கி,ए बी वर्ग प्रवर्धक
பிறழ்வு,"विपथन, अपेरण"
அசாதாரண பரிமாற்றம்,असामान्य संचरण
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
ஸ்பெக்ட்ரம் காணவில்லை,लुप्त स्पेक्ट्रम
"முழுமையான, முழுமையான, நிலையான, சரியான","निरपेक्ष, परम, अचर, परिशुद्ध"
முழுமையான ஈரப்பதம்,निरपेक्ष आर्द्रता
முழுமையான வேகம்,निरपेक्ष गति
முழுமையான கவனிப்பு,निरपेक्ष प्रेक्षण
முழுமையான வெப்பநிலை,परम ताप
முழுமையான பூஜ்ஜியம்,परम शून्य
உறிஞ்சி,अवशोषण करना
"உறிஞ்சும், உறிஞ்சும்","अवशोषक, अवशोषी"
உறிஞ்சும் திறன்,अवशोषण सामर्थ्य
உறிஞ்சுதல்,अवशोषणांश
உறிஞ்சக்கூடியது,अवशोषी
உறிஞ்சும் தன்மை,अवशोषकता
பன்மடங்கு விகிதம்,बाहुल्य अनुपात
முடுக்கி,त्वरित करना
விரைந்தார்,त्वरित
முடுக்கம்,त्वरण
ஈர்ப்பு முடுக்கம்,गुरुत्व त्वरण
முடுக்கி,त्वरक
முடுக்கி,"त्वरित्र, त्वरक"
முடுக்கமானி,त्वरणमापी
முன் அழுத்தம் கொடுப்பவர்,प्राक्प्रबलक
ஏற்றுக்கொள்ளக்கூடிய சோதனை,स्वीकारी परीक्षण
ஏற்பவர்,"ग्राही, स्वीकारी"
நன்கொடையாளர் மூலக்கூறு,आदाता अणु
"அணுகல், காத்திருப்பு, அணுகல்","अभिगम, प्रतीक्षा, अभिगम्यता"
அணுகல்,अभिगम्यता
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
அணுகல் நேரம்,अभिगम काल
பார்வையாளர் பிழை,आगन्तुक त्रुटि
சரிசெய்தல்,समंजन
திரட்டப்பட்டது,संचित
"திரட்சி, குவிப்பு","संचय, संचयन"
திரட்டி,संचायक
துல்லியம்,यथार्थता
யதார்த்தம்,यथार्थ
நிறமற்ற லென்ஸ்,अवर्णक लेन्स
வண்ணமயமான,अवर्णक
வண்ணமயமான தன்மை,अवर्णकता
ஒலியியல்,ध्वानिक
ஒலி எதிர்ப்பு,ध्वनिरुद्ध
ஒலி ஃபோனான்,ध्वानिक फ़ओनॉन
ஒலி அலகு,ध्वनि-मात्रक
ஒலியியல்,ध्वानिक
ஒலி ஜெனரேட்டர்,ध्वनि जनित्र
செயல் மற்றும் எதிர்வினை,क्रिया और प्रतिक्रिया
செயல்படுத்துதல்,सक्रियण
செயல்படுத்தும் ஆற்றல்,सक्रियण उर्जा
"செயல்படுத்துபவர், செயல்படுத்துபவர்","सक्रियकारक, सक्रियक"
செயலில்,सक्रिय
செயற்பாடு,सक्रियता
உண்மையான மன அழுத்தம்,वास्तविक प्रतिबल
கிசுகிசுத்தல்,क्षिप्र उद्भासन
மொத்தத்தில்,"योग करना, जोड़ना"
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
சேர்க்கை,"योज्य, योगात्मक"
ஒட்டுதல்,आसंजन
பிசின் ஆற்றல்,आसंजी ऊर्जा
அடியாபட்,ऐडियाबैट
அடியாபாடிக்,रुद्धोष्म
வெப்ப காப்பு,उष्मा-अपार्य
இணைப்பு,संलग्न
அனுசரிப்பு,समायोज्य
ஊடுருவல்,प्रवेश्यता
உறிஞ்சுதல்,अधिशोषण
முன்னோக்கி,अग्रगत
முற்போக்கானது,प्रगामी
"ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)","आकाशी, वायव (वि.), एरियल (सं.)"
ஆண்டெனா ஸ்ட்ரீம்,ऐन्टेना धारा
வான்வழி ஆய்வு,आकाशी सर्वेक्षण
காற்று வேகம்,वायव वेग
ஏரோடைனமிக் குணகம்,वायुगतिक गुणांक
காற்றியக்கவியல்,वायुगतिक
காற்றியக்கவியல்,वायुगतिकी
வானூர்தி,वैमानिक
ஏரோநாட்டிக்ஸ்,वैमानिकी
காற்று துடிப்பு,वायुस्पंद
"வளிமண்டலம், வாயுக்கோளம்","वातमंडल, गैसमंडल"
கவனம் அமைப்பு,अफोकसी तंत्र
மீண்டும் பற்றவைப்பு,पश्च ज्वलन
பின் ஒளி,पश्च दीप्ति
அதிர்ச்சி,उत्तरघात
"வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது","वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना"
நேரம் பாதிக்கப்பட்டது,कालप्रभावित
"முதுமை, முதுமை","कालप्रभावन, जरण"
நேர விளைவு,कालप्रभावन
நேர விளைவு சோதனை,कालप्रभावन परीक्षण
புவியீர்ப்பு இல்லாதது,गुरुत्वहीन
நல்லிணக்கம்,संधान
"வான்வழி ரேடார், வான்வழி ரேடார்","वायुवाहित रेडार, हवाई रेडार"
"வான் இலக்கு, வான் இலக்கு","वायुवर्ती लक्ष्य, हवाई लक्ष्य"
காற்று சுவாசக் கருவி,"वायुश्वासी, वायुश्वसित्र"
ஏர் கண்டிஷனிங்,वातानुकूलन
காற்று எதிர்ப்பு மின்மாற்றி,वायुक्रोडी ट्रांसफार्मर
விமானம்,वायुयान
சீரமைப்பு,संरेखण
சீரமைப்பு பிழை,सरेखण त्रुटि
நேரடி சுற்று,सजीव परिपथ
முழு கண்ணாடி குழாய்,संपूर्ण कांच नलिका
முழு உலோக குழாய்,संपूर्ण धातुनलिका
சரி செய்ய,नियत करना
"மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)","मिश्रातु (सं.), मिश्रात्वन (क्रि.)"
மிஷ்ரத்வான்,मिश्रात्वन
எங்கும் நிறைந்த ஊடகம்,सर्वव्यापी माध्यम
ஆம்னி ஆண்டெனா,सर्वतरंग ऐन्टेना
பஞ்சாங்கம்,पंचांग
ஆல்பா,ऐल्फा
ஆல்பா-செயல்பாடு,ऐल्फा-सक्रियता
எண்ணெழுத்து,अक्षरांकीय
ஆல்பா கதிர்,ऐल्फा किरण
மாற்றம்,परिवर्तन
"மாற்று, மாற்று","एकांतर, प्रत्यावर्ती"
மின்மாற்றி,प्रत्यावर्तित्र
உயரமானி,तुंगतालेखी
உயரமானி,तुंगतामापी
அல்டிமெட்ரி,तुंगतामापिकी
"உயரம், உயரம், உயரம், உயரம்","तुंगता, उंचाई, उन्नतांश, शीर्षलम्ब"
எண்கணித ரீசனிங் யூனிட் (ALU),अंकगणित तर्क एकक (ए एल यू)
அமுத விதி,एमागेट नियम
சூழல்,परिवेश
அமிக்ரான்,एमाइक्रोन
அம்மீட்டர்,ऐमीटर
ஆம்பியர்,ऐम्पियर
ஆம்பியர்-சட்டம்,ऐम्पियर-नियम
நீர்வீழ்ச்சி அயனி,उभयावेशी आयन
பெருக்கம்,प्रवर्धन
பெருக்கி,प्रवर्धक
"கோணம், பரிமாணம்","कोणांक, आयाम"
அ. எம்.யு. (அணு நிறை அலகு),ए. एम. यू. (परमाणु संहति मात्रक)
இணக்கமான,अनुरूप
ஒப்புமை,सादृश्य
ஆய்வாளர்,विश्लेषक
பகுப்பாய்வு,विश्लेषण
பகுப்பாய்வு,विश्लेषीय
புள்ளி அல்லாத,अन-अबिन्दुक
முரண்பாடான,अन-अबिंदुकता
மற்றும் கதவு,तथा द्वार
ஒலி அல்லாத,अप्रतिध्वनिक
ஒழுங்கற்ற நெகிழ்ச்சி,विषम प्रत्यास्थता
நீரற்ற,निर्द्रव
கோணம்,कोण
angstrom அலகு,ऐंग्स्ट्रम मात्रक
கோணல்,कोणीय
நீடிப்பான் வெர்னியர்,कोणमापी वर्नियर
சர்ச்சைக்குரிய,अप्रसंवादी
மரியாதையற்ற,अप्रसवादिता
வண்ணமயமான காந்தமாக்கல்,अशैथिल्य चुंबकन
மந்தமான,अशिथिलित
அயனி,ऋणायन
சமச்சீரற்ற,असमविम
ஐசோட்ரோபிக்,विषमदैशिक
ஐசோட்ரோபிசம்,विषमदैशिकता
நீக்குதல்,विलोपन
சதிகாரர்கள்,आख्यापित्र
நேர்மின்முனை,ऐनोड
அனோடைசேஷன்,ऐनोडीकरण
சீரற்ற,अंसगत
ஒளியியல் அமைப்பு,प्रकाशयंत्रहीन तंत्र
ஆண்டெனா,ऐन्टेना
ஆன்டிபெரியன்,ऐन्टिबेरियॉन
பிணைப்பு எதிர்ப்பு சொத்து,बंधन विरोधी गुणधर्म
எதிர் பத்திரம்,प्रति-आबंधन
தலைகீழ் சக்தி,प्रतिलोह विद्युत
காந்தவியல்,प्रतिलोहचुंबकीय
காந்தப் பொருள்,प्रतिलोहचुबकीय पदार्थ
அழற்சி எதிர்ப்பு,प्रतिकूहाकारक
ஈர்ப்பு எதிர்ப்பு,प्रतिगुरुत्व
ஆன்டிலாம்டா துகள்,प्रतिलेम्डा कण
அலெப்டன்,ऐल्टीलेप्टॉन
காந்தவியல்,प्रतिचुंबकीय
எதிர்ப்பொருள்,ऐन्टिद्रव्य
எதிர்ப்பு ஏவுகணை,मिसाइल विरोधी
எதிர்நியூட்ரான்,ऐन्टिन्यूट्रॉन
துடிக்கும்,प्रस्पंद
எதிர் அணுக்கரு,प्रतिन्यूक्लिऑन
எதிர் துகள்,प्रतिकण
ஆன்டிபுரோட்டான்,प्रतिप्रोटॉन
