Tamil,Hindi
ஏசி சமமான சுற்று,ए.सी. समतुल्य परिपथ
எண் மாற்றிக்கு ஒப்புமை,अनुरूप से अंकीय परिवर्तक
முழுமையான பூஜ்ஜியம்,परम शून्य
உறிஞ்சுதல் குணகம்,अवशोषण गुणांक
உறிஞ்சுதல் நிறமாலை,अवशोषण स्पेक्ट्रम
ஏற்பி அணு,ग्राही परमाणु
மாற்று மின்னோட்ட இணைப்பு,प्रत्यावर्ती धारा युग्मन
எலக்ட்ரான் அறுவடை,इलेक्ट्रॉन संचयन
துளை சேமிப்பு,होल संचयन
செயல்படுத்தும் ஆற்றல்,सक्रियण ऊर्जा
செயலில் பெருக்கி,सक्रिय प्रवर्धक
செயலில் உள்ள டையோடு சுற்று,सक्रिय डायोड परिपथ
செயலில் வடிகட்டி,सक्रिय फिल्टर
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,सक्रिय उच्च आवृत्ति पारक फिल्टर
செயலில் சுமை,सक्रिय लोड
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,सक्रिय निमन आवृत्ति पारक फिल्टर
செயலில் உள்ள பகுதி,सक्रिय क्षेत्र
தகவமைப்பு மின்னணுவியல்,अनुकूली इलेक्ट्रॉनिकी
சேர்ப்பான்,योजक
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,समायोजी बैंड विस्तार
ஊடுருவல்,प्रवेश्यता
ஏரியல்,एरियल
பெப் அதிர்வெண்,स्फूर्ति आवृत्ति
காற்றுச்சீரமைப்பி,वातानुकूलक
சீரமைப்பு,संरेखन
அல்காரிதம்,आल्गोरिदम
அனைத்து பாஸ் வடிகட்டி,समस्त पारक फिल्टर
அலாய் சந்திப்பு,मिश्रधातु संधि
தணிவு,क्षीणन
மாறுதிசை மின்னோட்டம்,प्रत्यावर्ती धारा
சுற்றுப்புற வெப்பநிலை,परिवेश ताप
இருமுனை,उभयध्रुवीय
பெருக்கம்,प्रवर्धन
பெருக்கி,प्रवर्धक
பெருக்கி செயல்திறன்,प्रवर्धक दक्षता
பரிமாணங்கள்,आयाम
வீச்சு குறைதல்,आयाम क्षीणन
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,आयाम मॉडुलित ए.एम. दोलित्र
வீச்சு பண்பேற்றம்,आयाम मॉडुलन
வீச்சு மாடுலேட்டர்,आयाम मॉडुलक
angstrom அலகு,एंगस्ट्रॉम इकाई
அனலாக் சுற்று,अनुरूप परिपथ
அனலாக் கணினி,अनुरूप कंप्यूटर
அனலாக் வடிகட்டி,अनुरूप फिल्टर
அனலாக் மல்டிமீட்டர்,अनुरूप बहुमापी
அனலாக் சுவிட்ச்,अनुरूप स्विच
மற்றும் வாயில்,AND गेट
கோண அதிர்வெண்,कोणीय आवृत्ति
"அயனி, அயனி","ऋणायन, एनॉयन"
அனீலிங் வெப்பநிலை,अनीलन तापमान
நேர்மின்முனை,ऐनोड
அனோட் பெருக்கி,ऐनोड प्रवर्धक
அனோடைன்,ऐनोडी करण
ஆண்டெனா,ऐन्टेना
ஆண்டெனா கூறு,ऐन्टेना घटक
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,परावर्तन रोधी लेपन
ஆன்டிலோகின் பெருக்கி,प्रतिलघुगुणक प्रवर्धक
எதிரொலி சுற்று,प्रतिअनुनादी परिपथ
துவாரகர் காலம்,द्वारक काल
மெய்நிகர் சக்தி,आभासीय शक्ति
கம்பி இணைப்பு,तार संयोजन
தோராயமான மின்னழுத்த ஆதாயம்,सन्निकट वोल्टता लब्धि
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,आर्मस्ट्रांग माडुलक
ஆண்டெனா வரிசை,ऐन्टेना-व्यूह
"அளவு விகிதம், தோற்ற விகிதம்","आकार अनुपात, अभिमुखता अनुपात"
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),अस्थायी परिपथ (मुक्तचालित परिपथ)
தானியங்கி மல்டிவிபிரேட்டர்,स्वचालित बहुकंपित्र
மிதக்கும் மல்டிவிபிரேட்டர்,अस्थायी बहुकंपित्र
சமச்சீரற்ற சந்திப்பு,असममित संधि
ஒத்திசைவற்ற கால்குலேட்டர்,अतुल्यकाली गणक
அணுக்கரு,परमाणु
அணு எண்,परमाणु संख्या
அணு அமைப்பு,परमाणु संरचना
ஒலி பெருக்கி,श्रव्य प्रवर्धक
ஒலி பெருக்கி,श्रव्य प्रवर्धक
ஆடியோ கேசட்,श्रव्य कैसेट
ஒலி சுற்று,श्रव्य परिपथ
கேட்கக்கூடிய அதிர்வெண்,श्रव्य आवृत्ति
தானியங்கி மின்னழுத்த கட்டுப்பாடு,स्वत: वोल्टता नियंत्रण
பனிச்சரிவு,एवलांश
சராசரி கண்டுபிடிப்பான்,औसत संसूचक
அச்சு முறை,अक्षीय विधा
அச்சு விகிதம்,अक्षीय अनुपात
ஆண்டெனா,ऐन्टेना
பின் மின்னோட்ட விசை,पश्च विद्युत वाहक बल
பின் பகுதி,पश्च क्षेत्र
மீண்டும் சிதறல்,पश्च प्रकीर्णन
பின்னணி கட்டணம்,पृष्ठभूमि आवेश
பக்க சத்தம்,पार्श्व रव
பின்னடைவு,पश्चगमन
பின்புற கதிர்வீச்சு,पश्चपालि विकिरण
பின்னோக்கி டையோடு / பின்தங்கிய டையோடு,बैकवार्ड डायोड/पश्च डायोड
பின்னோக்கி அலை ஆஸிலேட்டர்,पश्चगामी तरंग दोलक
"தடை, தடை","बाधिका, व्यारोध"
தடை,बाधिका
சீரான பாலம்,संतुलित सेतु
சமநிலை மாடுலேட்டர்,संतुलित विमॉडुलक
சமநிலை மாடுலேட்டர்,संतुलित मॉडुलक
சமநிலை சுற்று,संतुलित परिपथ
சமச்சீர் சாய்வு கண்டறிதல்,संतुलित ढाल संसूचक
தற்போதைய நிலைப்படுத்தி எதிர்ப்பு,धारा स्थिरक प्रतिरोध
போலோமீட்டர்,बोलोमीटर
போலோமீட்டர் பாலம்,बोलोमीटर सेतु
பலூன்,बलून
வாழை பலா,बनाना जैक
வாழை பிளக்,बनाना प्लग
"பட்டை, கட்டு","बैंड, पट्टी"
இசைக்குழு இயக்கி,बैंड चालक
இசைக்குழு ஆற்றல்,बैंड ऊर्जा
பட்டை இடைவெளியை,बैंड अंतराल
பேட்பார்க் பெருக்கி,बैडपारक प्रवर्धक
பேண்ட் பாஸ் வடிகட்டி,बैंड पारक फिल्टर
பாட் ரேட் ஜெனரேட்டர்,बॉड दर जनित्र
பட்டை பரவல்,बैंडफैलाव
இசைக்குழு மின்தடை,बैंड रोधक
பேண்ட் பிரேக்கர் வடிகட்டி,बैंड विरामक फिल्टर
இசைக்குழு விரிவாக்கம்,बैंड विस्तार
பேண்ட் ரிமூவர் வடிகட்டி,बैंड वर्जक फिल्टर
பேண்ட் விரிவாக்கம் விலகல் பெருக்கி,बैंड विस्तार विक्षेपण गुणक
பேண்ட் நீட்டிப்பு தூரம் பெருக்கி,बैंड विस्तार दूरी गुणक
"பீம் மின்தேக்கி, வங்கி மின்தேக்கி","पुंज संधारित्र, बैंक संधारित्र"
"குரைக்கும் குறியீடு, குரைக்கும் குறியீடு","बारकर कूट, बारकर कोड"
barravaugen அளவுகோல்,बार्रवाउजेन कसौटी
பார்ப்பனர்,बैरेटर
தடை,रोध
இன்சுலேடிங் மின்தேக்கி,रोध संधारित्र
தடை ஆற்றல்,रोधिका उर्जा
மின்தடை மின்னழுத்தம்,रोधी वोल्टता
பார்ட்லெட் ஜன்னல்,बार्टलेट विंडो
"அடிப்படை, அடிப்படை","आधार, बेस"
அடிப்படை இசைக்குழு,आधार बैंड
அடிப்படை இசைக்குழு பரிமாற்றம்,आधार बैंड संचरण
அடிப்படை கட்டணம்,आधार आवेश
அடிப்படை மின்னோட்டம்,आधार धारा
அடிப்படை தற்போதைய ஆதாரம்,आधार धारा स्रोत
அடிப்படை வெட்டுதல்,आधार कर्तन
ஆதார் மதன்,आधार मादन
அடிப்படை உமிழ்ப்பான் ஊட்டம்,आधार उत्सर्जक संभरण
அடிப்படை உமிழ்ப்பான் சந்திப்பு,आधार उत्सर्जक संधि
அடிப்படை ஊசி,आधार अंतःक्षेपण
தரை வரி,आधार रेखा
அடிப்படை எதிர்ப்பு,आधार प्रतिरोध
அடிப்படை ஆதாரம்,आधार स्रोत
அடிப்படை விரிவாக்க எதிர்ப்பு,आधार विस्तारण प्रतिरोध
அடிப்படை விரிவாக்க எதிர்ப்பு,आधार विस्तारण प्रतिरोध
அடிப்படை தடிமன்,आधार मोटाई
அடிப்படை அணுகல்,आधार अभिगमन
"அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்","आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन"
அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்,आधार संग्राहक संधि
வாசனை,बास
பாஸ் அதிர்வெண்,बास आवृत्ति
மின்கலம்,बैटरी
பாட்,बॉड
பாட் விகிதம்,बॉड रेट
பாட் ரேட் ஜெனரேட்டர்,बॉड दर जनित्र
போடோ குறியீடு,बोदो कोड
"சமிக்ஞை, கலங்கரை விளக்கம்","संकेत देना, बीकन"
"மாணிக்கா, பீட்","मणिका, बीड"
பித்து மின்தேக்கி,मणिक संधारित्र
மணிகர்தாபி எதிர்ப்பாளர்கள்,मणिकातापी प्रतिरोधक
