English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Aborted organ,रुद्ध-वृद्धि अंग,રુદ્ધ-વૃદ્ધિ અંગ,रुद्ध-वृद्धि अंग,ਰੁਦ੍ਧ-ਵ੃ਦ੍ਧਿ ਅਂਗ,রুদ্ধ-বৃদ্ধি অংগ,रुद्ध-वृद्धि अंग,"ವೃದ್ಧಿ ರೋಧಿತ ಅಂಗ, ಗರ್ಭಪಾತಕ್ಕೊಳಗಾದ ಅಂಗ",രുദ്ധ-വൃദ്ധി അംഗ,ருத்த-வ்ருத்தி அங்க,రుద్ధ-వృద్ధి అంగ,رودھ-وردھی انگ,রুদ্ধ-ৃদ্ধি অংগ,ରୁଦ୍ଧ-ବୃଦ୍ଧି ଅଂଗ,रुद्ध-वृद्धि अंग
Aborted seed,रुद्ध वृद्धि बीज,રુદ્ધ વૃદ્ધિ બીજ,रुद्ध वृद्धि बीज,ਰੁਦ੍ਧ ਵ੃ਦ੍ਧਿ ਬੀਜ,রুদ্ধ বৃদ্ধি বীজ,रुद्ध वृद्धि बीज,"ಗೊಡ್ಡು ಬೀಜ, ಕುರುಟು ಬೀಜ",രുദ്ധ വൃദ്ധി ബീജ,ருத்த வ்ருத்தி பீஜ,రుద్ధ వృద్ధి బీజ,رودھ وردھی بیج,রুদ্ধ ৃদ্ধি বীজ,ରୁଦ୍ଧ ବୃଦ୍ଧି ବୀଜ,रुद्ध वृद्धि बीज
Abortion,"गर्भपात, गर्भस्राव, वृद्धि विरोध","ગર્ભપાત, ગર્ભસ્રાવ, વૃદ્ધિ વિરોધ","गर्भपात, गर्भस्राव, वृद्धि विरोध","ਗਰ੍ਭਪਾਤ, ਗਰ੍ਭਸ੍ਰਾਵ, ਵ੃ਦ੍ਧਿ ਵਿਰੋਧ","গর্ভপাত, গর্ভস্রাব, বৃদ্ধি বিরোধ","गर्भपात, गर्भस्राव, वृद्धि विरोध","ಗರ್ಭಪಾತ, ಗರ್ಭಸ್ರಾವ",ഗര്‍ഭച്ഛിദ്രം,"கர்பபாத, கர்பஸ்ராவ, வ்ருத்தி விரோத","గర్భపాత, గర్భస్రావ, వృద్ధి విరోధ",گربھپات، گربھسراو، وردھی ورودھ,"গর্ভপাত, গর্ভস্রা, ৃদ্ধি িরধ","ଗର୍ଭଚ୍ୟୁତି, ଗର୍ଭପାତ","गर्भपात, गर्भस्राव, वृद्धि विरोध"
Absolute weed,"अवांछित अपतृण, पूर्ण खरपतवार","અવાંછિત અપતૃણ, પૂર્ણ ખરપતવાર","अवांछित अपतृण, पूर्ण खरपतवार","ਅਵਾਂਛਿਤ ਅਪਤ੃ਣ, ਪੂਰ੍ਣ ਖਰਪਤਵਾਰ","অবাংছিত অপতৃণ, পূর্ণ খরপতবার","अवांछित अपतृण, पूर्ण खरपतवार",ವೃದ್ಧಿಯಾಗದ ಪೂರ್ಣಪ್ರಮಾಣದ ಕಳೆ,"അവാംഛിത അപതൃണ, പൂര്ണ ഖരപതവാര","அவாங்சித அபத்ருண, பூர்ண கரபதவார","అవాంఛిత అపతృణ, పూర్ణ ఖరపతవార",اوانچھت اپترن، پورن کھرپتوار,"অাংছিত অপতৃণ, পূর্ণ খরপতার","ଅବାଂଛିତ ଅପତୃଣ, ପୂର୍ଣ ଖରପତବାର","अवांछित अपतृण, पूर्ण खरपतवार"
Absorbed cation,अवशोषित धनायन,અવશોષિત ધનાયન,अवशोषित धनायन,ਅਵਸ਼ੋ਷ਿਤ ਧਨਾਯਨ,অবশোষিত ধনাযন,अवशोषित धनायन,ಅವಶೋಷಿತ ಧನಾಯನ,അവശോഷിത ധനായന,அவசோஷித தநாயந,అవశోషిత ధనాయన,اوشوشت دھناین,অশষিত ধনাযন,ଅବଶୋଷିତ ଧନାଯନ,अवशोषित धनायन
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Abyssinian mustard,ऐबिसिनी सरसों,ઐબિસિની સરસોં,ऐबिसिनी सरसों,ਐਬਿਸਿਨੀ ਸਰਸੋਂ,ঐবিসিনী সরসোং,ऐबिसिनी सरसों,ಅಬಿಸಿನಿಯನ್ ಸಾಸುವೆ,ഐബിസിനീ സരസോം,ஐபிஸிநீ ஸரஸோங்,ఐబిసినీ సరసోం,ایبسنی سرسوں,ঐবিসিনী সরসং,ଐବିସିନୀ ସରସୋଂ,ऐबिसिनी सरसों
Acaricide,"एकेरेसनाशी, चिचड़ीनाशी","એકેરેસનાશી, ચિચડ઼ીનાશી","एकेरेसनाशी, चिचड़ीनाशी","ਏਕੇਰੇਸਨਾਸ਼ੀ, ਚਿਚਡ਼ੀਨਾਸ਼ੀ","একেরেসনাশী, চিচড়ীনাশী","एकेरेसनाशी, चिचड़ीनाशी",ನುಶಿನಾಶಕ,"ഏകേരേസനാശീ, ചിചഡീനാശീ","ஏகேரேஸநாசீ, சிசடீநாசீ","ఏకేరేసనాశీ, చిచడీనాశీ",ایکیریسناشی، چچڑیناشی,"করসনাশী, চিচড়ীনাশী","ଏକେରେସନାଶୀ, ଚିଚଡ଼ୀନାଶୀ","एकेरेसनाशी, चिचड़ीनाशी"
Accentric,अकेंद्री,અકેંદ્રી,अकेंद्री,ਅਕੇਂਦ੍ਰੀ,অকেংদ্রী,अकेंद्री,ಅಕೇಂದ್ರಿತ,അകേംദ്രീ,அகேங்த்ரீ,అకేంద్రీ,اکیندری,অকংদ্রী,ଅକେଂଦ୍ରୀ,अकेंद्री
Accentuate (cell),प्रवर्धन (कोशिका),પ્રવર્ધન (કોશિકા),प्रवर्धन (कोशिका),ਪ੍ਰਵਰ੍ਧਨ (ਕੋਸ਼ਿਕਾ),প্রবর্ধন (কোশিকা),प्रवर्धन (कोशिका),ಪ್ರವರ್ಧಿತ (ಕೋಶ),പ്രവര്ധന (കോശികാ),ப்ரவர்தந (கோசிகா),ప్రవర్ధన (కోశికా),پروردھن (کوشکا),প্রর্ধন (কশিকা),ପ୍ରବର୍ଧନ (କୋଶିକା),प्रवर्धन (कोशिका)
