Tamil,Malayalam
அமிலத்தன்மை,ആസിഡോയിഡ്
அயோலியன் மண்,അയോലിയൻ മണ്ണ്
மதிப்பீட்டு,ആകെത്തുകയായുള്ള
திரட்டுதல்,സമാഹരണം
வேளாண்மை,അഗ്രോളജി
வேளாண்மை,അഗ്രോണമി
A- அடிவானம்,എ-ചക്രവാളം
Ao- அடிவானம்,Ao-ചക്രവാളം
Aoo- அடிவானம்,Aoo-ചക്രവാളം
மண்ணின் காற்று திறன்,മണ്ണിന്റെ വായു ശേഷി
மண்ணின் காற்றின் உள்ளடக்கம்,മണ്ണിന്റെ വായു ഉള്ളടക്കം
காற்று பிக்னோமீட்டர்,എയർ പിക്നോമീറ്റർ
அல்லிடிக் மண்,അല്ലിറ്റിക് മണ്ണ്
வண்டல் மண்,എക്കൽ മണ്ണ്
ஆம்போலிடாய்டு,ആംഫോളിറ്റോയ്ഡ്
அயன்,അനിയോൺ
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
அரிஸ்,ആരിസ്
Ashlar நன்றாக கொத்து,അഷ്ലാർ നല്ല കൊത്തുപണി
ஆஷ்லர் கொத்து,ആഷ്ലാർ കൊത്തുപണി
அசோனல் மண்,അസോണൽ മണ്ണ്
பின் நடிகர்,പിന്നണി നടൻ
பின் வளைவு,പിന്നിലെ കമാനം
பின் இசைக்குழு,ബാക്ക് ബാൻഡ്
பின் தூரிகை,ബാക്ക് ബ്രഷ്
மீண்டும் சரிபார்க்கவும்,തിരികെ പരിശോധിക്കുക
பின் கவுண்டர்,ബാക്ക് കൗണ്ടർ
முதுகு வெட்டுதல்,ബാക്ക് കട്ടിംഗ്
பின் வரைவு damper,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
பின் வடிகால்,ബാക്ക് ഡ്രെയിനേജ്
பின் துளி,ബാക്ക് ഡ്രോപ്പ്
பின் நிரப்பவும்,തിരികെ പൂരിപ്പിക്കുക
பின் ஃபில்லட்,ബാക്ക് ഫില്ലറ്റ്
பின் மடல் கீல்,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
பின் ஓட்ட இணைப்பு,ബാക്ക് ഫ്ലോ കണക്ഷൻ
பின் ஓட்டம் தடுப்பான்,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
பின் அளவுகோல்,ബാക്ക് ഗേജ്
பின்புற சாக்கடை,പിന്നിലെ ഗട്ടർ
பின் அடுப்பு,പിന്നിലെ അടുപ്പ്
ஆதரவு,പിന്തുണ
பேக்கிங் போர்டு,ബാക്കിംഗ് ബോർഡ്
பின் அழுத்தம்,പിന്നിലെ മർദ്ദം
பின் முட்டு,ബാക്ക് പ്രോപ്പ്
பின் பார்வை,പിന്നാമ്പുറ കാഴ്ച
பின் நீர்,പിൻ വെള്ളം
குழப்பம்,തടസ്സപ്പെടുത്തുക
பை வேலை,ബാഗ് വർക്ക്
பேலாஸ்ட்,ബാലസ്റ്റ്
பந்து களிமண்,പന്ത് കളിമണ്ണ്
பந்து கூம்பு கவ்வி,ബോൾ കോൺ ക്ലാമ്പ്
முள்வேலி,മുള്ളുകമ്പി
பார் நாய்,ബാർ നായ
விசைப்படகு பலகை,ബാർജ് ബോർഡ്
பேரியம் சல்பேட் சோதனை,ബേരിയം സൾഫേറ്റ് പരിശോധന
சரமாரி,തടയണ
பாரெட்,ബാരറ്റ്
அடித்தளம்,അടിസ്ഥാനം
அடிப்படை பரிமாற்றம்,അടിസ്ഥാന കൈമാറ്റം
அடிப்படை வரி,അടിസ്ഥാന ലൈൻ
அடித்தளம்,നിലവറ
அடித்தள சுவர்,ബേസ്മെൻറ് മതിൽ
அடித்தட்டு,അടിസ്ഥാന പ്ലേറ്റ്
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
அடிப்படை செறிவு,അടിസ്ഥാന സാച്ചുറേഷൻ
பாசாய்டு,ബസോയ്ഡ്
வௌவால்,ബാറ്റ്
பாத் மற்றும் WC,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
இடி ஆப்பு,ബാറ്റർ കുറ്റി
பேட்டர் பையர்,ബാറ്റർ പിയർ
பேட்டர் விதி,ബാറ്റർ ഭരണം
பால்க் (பால்க்),ബോൾക്ക് (ബാക്ക്)
விரிகுடா,ബേ
தாங்குபவர்,ചുമക്കുന്നയാൾ
தாங்கும் திறன்,വഹിക്കാനുള്ള ശേഷി
தாங்கும் பைல்,ബെയറിംഗ് പൈൽ
தாங்கி அடுக்கு,ബെയറിംഗ് സ്ട്രാറ്റം
படுக்கை,കിടക്ക
படுக்கை விமானம்,ബെഡ്ഡിംഗ് വിമാനം
படுக்கை கூட்டு,കിടക്ക ജോയിന്റ്
படுக்கை பாறை,കിടക്ക പാറ
படுக்கை அறை,കിടപ്പുമുറി
தேன் மெழுகு,തേനീച്ചമെഴുകിൽ
மணி பெட்டி,മണി പെട്ടി
பெல்லிங் வாளி,ബെല്ലിംഗ് ബക്കറ്റ്
பெல்லோஃப்ராம்,ബെല്ലോഫ്രം
பெஞ்ச் அடித்தளம்,ബെഞ്ച് ചെയ്ത അടിത്തറ
பெஞ்சிங்,ബെഞ്ചിംഗ്
பெஞ்ச் மார்க்,ബെഞ്ച് മാർക്ക്
நன்மை செலவு பகுப்பாய்வு,ആനുകൂല്യ ചെലവ് വിശകലനം
பெர்ம்,ബെർം
வளைந்த மூடல்,ബെവൽഡ് ക്ലോഷർ
"பி-ஹரைசன்,&quot;பி-","ബി-ചക്രവാളം,&quot;ബി-"
பயாட்,ബിയാറ്റ്
பைண்டர்,ബൈൻഡർ
பிணைப்பு பொருள்,ബൈൻഡിംഗ് മെറ്റീരിയൽ
பயோட்டின் கோட்பாடு,ബയോട്ടിന്റെ സിദ്ധാന്തം
பிடுமின்,ബിറ്റുമെൻ
கருப்பு பருத்தி மண்,കറുത്ത പരുത്തി മണ്ണ്
கருப்பு பூமி,കറുത്ത ഭൂമി
கருப்பு தரை மண்,കറുത്ത ടർഫ് മണ്ണ്
கத்தி,ബ്ലേഡ്
ஊது உலை கசடு சிமெண்ட்,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
தடுப்பு அமைப்பு,ബ്ലോക്കി ഘടന
போகி எதிர்ப்பு,ബോഗി പ്രതിരോധം
போக்-இரும்பு தாது,ബോഗ്-ഇരുമ്പ് അയിര്
பத்திரம்,ബോണ്ട്
பிணைக்கப்பட்ட உறுப்பினர்,ബന്ധിത അംഗം
பிணைக்கப்பட்ட பிந்தைய பதற்றம்,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
பத்திர கல்,ബോണ്ട് കല്ല്
கட்டுப்பட்ட நீர்,കെട്ടിയ വെള്ളം
பெட்டி சாக்கடை,ബോക്സ് ഗട്ടർ
பிரேஸ்,ബ്രേസ്
விளிம்பில் செங்கல்,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
கடிவாளம்,കടിഞ്ഞാൺ
பிரகாசம்,തെളിച്ചം
பழுப்பு மண்,തവിട്ട് മണ്ണ്
கட்டிடம்,കെട്ടിടം
கட்டிட சர்வேயர்,ബിൽഡിംഗ് സർവേയർ
தாங்கல்,ബഫർ
தாங்கல் வளைவு,ബഫർ കർവ്
தாங்கல்,ബഫറിംഗ്
தாங்கல் திறன்,ബഫറിംഗ് ശേഷി
பண்டர்,ബണ്ടർ
பட்டர்ஸ்,ബട്രസ്
சி-அடிவானம்,സി-ചക്രവാളം
கேபிள்,കേബിൾ
கேபிள் மோல்டிங்,കേബിൾ മോൾഡിംഗ്
கேபிளிங்,കേബിളിംഗ്
அறை,ചെറിയമുറി
கேபின் ஹூக்,ക്യാബിൻ ഹുക്ക്
மந்திரி சபை,കാബിനറ്റ്
கபோல்ட் வெளியேறினார்,കാബോൾട്ട് ഉപേക്ഷിച്ചു
சிற்றுண்டியகம்,കഫറ്റീരിയ
கூண்டு,കൂട്ടിൽ
கூண்டு கட்டுமானம்,കൂട് നിർമ്മാണം
கெய்னின் சூத்திரம்,കയീൻ ഫോർമുല
கெய்சன்,കൈസൺ
கெய்சன் நோய்,കെയ്സൺ രോഗം
கெய்சன் அடித்தளம்,കൈസൺ ഫൗണ്ടേഷൻ
கெய்சன் குவியல்,കൈസൺ ചിത
சுண்ணாம்பு செங்கல்,കാൽക്കറിയസ് ഇഷ്ടിക
சுண்ணாம்பு களிமண்,സുഷിരമുള്ള കളിമണ്ണ്
சுண்ணாம்பு மேலோடு,സുഷിരമുള്ള പുറംതോട്
கால்சிஃபிகேஷன்,കാൽസിഫിക്കേഷൻ
கால்சினேஷன்,കാൽസിനേഷൻ
கால்சின்,കാൽസൈൻ
கால்சைட்,കാൽസൈറ്റ്
கால்சியம்-அலுமினேட் சிமெண்ட்,കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്
கால்சியம்-சிலிகேட் செங்கல்,കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക
கால்சியம்-சிலிகேட் ஹைட்ரேட்,കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്
கலிச்சே,കാലിച്ചെ
கலிபோர்னியா தாங்கி விகிதம்,കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ
காலிபர்,കാലിപ്പർ
கலோரிமீட்டர்,കലോറിമീറ്റർ
கேம்பர்,കാംബർ
கால்வாய்,കനാൽ
விதானம்,മേലാപ്പ്
கான்டிலீவர் அடிவாரம்,കാന്റിലിവർ ഫൂട്ടിംഗ്
தொப்பி,തൊപ്പി
திறன்,ശേഷി
ஆயில் பாதையின் திறன்,എയിൽ ട്രാക്കിന്റെ ശേഷി
தொப்பி கேபிள்,തൊപ്പി കേബിൾ
கேபிலரிட்டி,കാപ്പിലാരിറ്റി
தந்துகி முறிவு,കാപ്പിലറി ബ്രേക്ക്
தந்துகி ஓட்டம்,കാപ്പിലറി ഒഴുക്ക്
தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்,കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം
தந்துகி துளை இடம்,കാപ്പിലറി പോർ സ്പേസ്
கேபிலரி போரோசிட்டி,കാപ്പിലറി പൊറോസിറ്റി
தந்துகி வெளி,കാപ്പിലറി സ്പേസ്
பிடிப்பு வேகம்,ക്യാപ്‌ചർ വേഗത
கார்பனேற்றம்,കാർബണേഷൻ
கார்பன் கருப்பு,കാർബൺ കറുപ്പ്
காஸ்ட்பிள் பயனற்ற,കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി
காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு,കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു
காஸ்ட்-இன்-பிளேஸ் பைல்,കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ
ஆமணக்கு,ജാതി
வார்ப்பு கல்,എറിയുന്ന കല്ല്
வினையூக்கி,കാറ്റലിസ്റ്റ്
கேட்டனா,കാറ്റെന
பூனை முகம்,പൂച്ച മുഖം
பூனை தலை,പൂച്ചയുടെ തല
கேஷன்,കാറ്റേഷൻ
பூனை நடை,പൂച്ച നടത്തം
குழிவுறுதல் சேதம்,കാവിറ്റേഷൻ കേടുപാടുകൾ
செலைட்,സെലൈറ്റ്
செல்லுலார் கான்கிரீட்,സെല്ലുലാർ കോൺക്രീറ്റ്
செல்லுலார் கட்டுமானம்,സെല്ലുലാർ നിർമ്മാണം
சிமெண்ட்,സിമന്റ്
"சிமெண்ட், பிட்மினஸ்","സിമന്റ്, ബിറ്റുമിനസ്"
"சிமெண்ட், அதிக வலிமை","സിമന്റ്, ഉയർന്ന ശക്തി"
"சிமெண்ட், ஹைட்ராலிக்","സിമന്റ്, ഹൈഡ്രോളിക്"
"சிமெண்ட், குறைந்த வெப்பம்","സിമന്റ്, കുറഞ്ഞ ചൂട്"
"சிமெண்ட், கொத்து","സിമന്റ്, കൊത്തുപണി"
"சிமெண்ட், இயற்கை","സിമന്റ്, പ്രകൃതി"
"சிமெண்ட், போர்ட்லேண்ட்","സിമന്റ്, പോർട്ട്ലാൻഡ്"
"சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்","സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്"
"சிமெண்ட், போர்ட்லேண்ட் போஸோலன்","സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ"
"சிமெண்ட், கசடு","സിമന്റ്, സ്ലാഗ്"
"சிமெண்ட், சல்பேட் எதிர்ப்பு","സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം"
"சிமெண்ட், சூப்பர் சல்பேட்","സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്"
"சிமெண்ட், வெள்ளை","സിമന്റ്, വെള്ള"
சிமெண்ட்-மொத்த விகிதம்,സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം
சிமெண்ட் உள்ளடக்கம்,സിമന്റ് ഉള്ളടക്കം
சிமெண்ட் ஜெல்,സിമന്റ് ജെൽ
சிமெண்ட் துப்பாக்கி,സിമന്റ് തോക്ക്
சிமெண்ட் சூளை,സിമന്റ് ചൂള
சிமெண்ட் பெயிண்ட்,സിമന്റ് പെയിന്റ്
சிமெண்ட் பூச்சு,സിമന്റ് പ്ലാസ്റ്റർ
சிமெண்ட் பாறை,സിമന്റ് പാറ
சிமெண்ட் குழம்பு,സിമന്റ് സ്ലറി
சிமெண்ட் சேமிப்பு,സിമന്റ് സംഭരണം
சிமெண்டேஷன் செயல்முறை,സിമന്റേഷൻ പ്രക്രിയ
மையப்படுத்துதல்,കേന്ദ്രീകരിക്കുന്നു
மையப்படுத்துதல் மற்றும் மூடுதல்,കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും
