Marathi,Kannada
वेस्टमिन्स्टरचे मठाधीश,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
निषिद्ध,ವ್ಯಭಿಚಾರ
गुलामगिरीचे उच्चाटन,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
आदिवासी,ಮೂಲನಿವಾಸಿಗಳು
अब्राहम युग,ಅಬ್ರಹಾಂ ಯುಗ
अनुपस्थित जमीनदार,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
अकादमी,ಅಕಾಡೆಮಿ
अक्रा परिषद,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
जमा,ಸಂಚಯಗಳು
संवर्धन,ಸಂಸ್ಕಾರ
एसेलडामा,ಅಸೆಲ್ಡಾಮಾ
आचियन (=अचियन),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
आचियन लीग (=अचियन लीग),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
एक्रोपोलिस,ಆಕ್ರೊಪೊಲಿಸ್
Acta Diurna,ಆಕ್ಟಾ ಡೈರ್ನಾ
Acta Senatus,ಆಕ್ಟಾ ಸೆನಾಟಸ್
ऍक्ट अॅडिशनल,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
प्राप्तकर्त्याची कृती,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
नुकसानभरपाई आणि विस्मरणाचा कायदा,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
सेटलमेंटचा कायदा,ವಸಾಹತು ಕಾಯಿದೆ
जाहिरात करार सील,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
अदुल्लामाइट्स,ಅಡುಲಮೈಟ್ಸ್
विरोधक,ಎದುರಾಳಿ
विरोधक,ಎದುರಾಳಿ
एऑन,ಏಯಾನ್
एरेरियम,ಏರೋರಿಯಮ್
हवाई युद्ध,ವೈಮಾನಿಕ ಯುದ್ಧ
एटोलियन लीग,ಏಟೋಲಿಯನ್ ಲೀಗ್
वय,ವಯಸ್ಸು
वृद्धत्व (=वृद्धत्व),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
वृद्धत्व प्रक्रिया,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
अगेलाय,ಅಗೆಲೈ
पराक्रमाचे वय,ಅಶ್ವದಳದ ವಯಸ್ಸು
ज्ञानाचे वय,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
पेरिकल्सचे वय,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
कारण वय,ಕಾರಣದ ವಯಸ್ಸು
कृषीवाद,ಕೃಷಿಧರ್ಮ
कृषी चळवळ,ಕೃಷಿ ಚಳುವಳಿ
अल्बिओन,ಅಲ್ಬಿಯಾನ್
अल्बम,ಆಲ್ಬಮ್
अल्डरमन,ಆಲ್ಡರ್ಮನ್
मोहक हात,ಸೂಚಿಸುವ ತೋಳುಗಳು
मैत्री,ಸೌಹಾರ್ದತೆ
एम्फेक्टियोनिक परिषद,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
एम्फेक्टियोनिक लीग,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
अॅम्फिथिएटर,ಆಂಫಿಥಿಯೇಟರ್
अमरी नल गट (मातीचा),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
अनाक्रोनिझम,ಅನಾಕ್ರೊನಿಸಂ
अनाक्रोनिस्टिक,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
पूर्वज,ಪೂರ್ವಜ
पूर्वजांची पूजा,ಪೂರ್ವಜರ ಆರಾಧನೆ
वंशपरंपरा,ಪೂರ್ವಜರು
वंशपरंपरा,ಪೂರ್ವಜರು
वंशपरंपरा,ಪೂರ್ವಜರು
वंशपरंपरा,ಪೂರ್ವಜರು
प्राचीन राजवट,ಪ್ರಾಚೀನ ಆಡಳಿತ
प्राचीन,ಪ್ರಾಚೀನ
प्राचीन बालगीत,ಪ್ರಾಚೀನ ಲಾವಣಿ
प्राचीन श्रद्धा,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
प्राचीन प्रथा,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
प्राचीन इतिहास,ಪುರಾತನ ಇತಿಹಾಸ
प्राचीन स्मारके,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
किस्सा,ಉಪಾಖ್ಯಾನ
अँजेलोट,ಏಂಜೆಲೋಟ್
एंजलस,ಏಂಜೆಲಸ್
अँजेविन (=अंजेविन),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
कोन,ಕೋನಗಳು
अँग्लिकन,ಆಂಗ್ಲಿಕನ್
अँग्लिकन कम्युनियन,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
अँग्लिकनवाद,ಆಂಗ್ಲಿಕನಿಸಂ
अँग्लो-फोब,ಆಂಗ್ಲೋ-ಫೋಬ್
अँग्लो-फोबिया,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
अँग्लो-सॅक्सन,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
अँग्लो-सॅक्सोनवाद,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
अॅनालिस्ट,ಅನಾಲಿಸ್ಟ್
इतिहास,ಆನಲ್ಸ್
संलग्नीकरण,ಅನುಬಂಧ
अँटी-बेलम,ಆಂಟೆ-ಬೆಲ್ಲಮ್
पूर्वीची तारीख,ಹಿಂದಿನ ದಿನಾಂಕ
कारकुनविरोधी,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
कारकुनी विरोधी कायदा,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
पुरातन वास्तू,ಪ್ರಾಚೀನತೆ
विरोधी भाडे,ಬಾಡಿಗೆ ವಿರೋಧಿ
विरोधी भाडे,ಬಾಡಿಗೆ ವಿರೋಧಿ
सेमिटिझम विरोधी,ಯೆಹೂದ್ಯ ವಿರೋಧಿ
अँझॅक,ಅಂಜಾಕ್
अपेला,ಅಪೆಲ್ಲಾ
अरालू,ಅರಳು
आर्च बिशप,ಆರ್ಚ್ ಬಿಷಪ್
आर्च डची,ಆರ್ಚ್ ಡಚಿ
आर्च ड्यूक,ಆರ್ಚ್ ಡ್ಯೂಕ್
आर्काइफ (=अभिलेख संग्रह),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ)
आर्किपिस्कोपेट,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್
अभिजात वर्ग,ಶ್ರೀಮಂತವರ್ಗ
कुलीन,ಶ್ರೀಮಂತ
खानदानी स्नोबरी,ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ
अॅरिस्टोटेलियन,ಅರಿಸ್ಟಾಟಲ್
आरमार,ನೌಕಾಪಡೆ
आरमार (=स्पॅनिश आरमार),ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ)
आर्मोरिस्ट (= आर्मरिस्ट),ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ)
चिलखत (= चिलखत),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ)
आर्मरिस्ट,ಶಸ್ತ್ರಾಗಾರ
आर्यन,ಆರ್ಯನ್
आर्यन,ಆರ್ಯನ್
अस्करी,ಅಸ್ಕರಿ
नियुक्त करा,ನಿಯೋಜಿಸಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
शस्त्रास्त्र कायद्याची मदत,ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್
डॅरेन प्रेझेंटमेंटची मदत,ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ
मॉर्ट &#39;डी&#39; पूर्वजांची मदत,ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್
कादंबरी Disseisin च्या Assize,ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್
अत्याचार,ದೌರ್ಜನ್ಯ
हल्ला,ದಾಳಿ
ऑलिक कौन्सिल,ಆಲಿಕ್ ಕೌನ್ಸಿಲ್
देवीची कुर्‍हाड (= देवी कुर्हाड),ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ)
अक्ष (=रोम-बर्लिन-टोकियो अक्ष),ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್)
बॅबिलोन,ಬ್ಯಾಬಿಲೋನ್
बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद),ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ)
बचनाल भक्त,ಬಚ್ಚನಾಳ ಭಕ್ತ
बचनालिया,ಬಚ್ಚನಾಲಿಯಾ
बॅचलर,ಪದವಿ
बगदाद करार,ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ
बाल्कन लीग,ಬಾಲ್ಕನ್ ಲೀಗ್
बाल्कन करार,ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ
बाल्कन युद्धे,ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು
बाल्टिक करार,ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ
डाकू,ಡಕಾಯಿತ
बांडुंग परिषद,ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ
हद्दपार,ಬಹಿಷ್ಕಾರ
बॅनर,ಬ್ಯಾನರ್
रानटी,ಅನಾಗರಿಕ
बार्बिकन,ಬಾರ್ಬಿಕನ್
बारडोली सत्याग्रह,ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ
धान्याचे कोठार बर्नर्स,ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು
जहागीरदार,ಬ್ಯಾರನ್
बॅरोनेज,ಬ್ಯಾರನೇಜ್
Barones majores,ಬರೋನ್ಸ್ ಮೇಜರ್
बॅरोन्स अल्पवयीन,ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು
जहागीरदार,ಬ್ಯಾರನೆಸ್
बॅरोनेट,ಬ್ಯಾರೊನೆಟ್
बॅरोनेटेज,ಬ್ಯಾರೊನೆಟೇಜ್
बॅरोनेटेज,ಬ್ಯಾರೊನೆಟೇಜ್
बॅरोनेटसी,ಬ್ಯಾರೊನೆಟ್ಸಿ
बॅरोनी,ಬರೋನಿ
बॅराकून,ಬ್ಯಾರಕೂನ್
बॅराकून,ಬ್ಯಾರಕೂನ್
बॅरिकेड (= बॅरिकेडो),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
बॅरिकेड (= बॅरिकेडो),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
बॅरिकेड (= बॅरिकेडो),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
बेस कॅम्प,ಮೂಲ ಶಿಬಿರ
बॅसिलिका,ಬೆಸಿಲಿಕಾ
बॅसिलिका,ಬೆಸಿಲಿಕಾ
बॅस्टिला,ಬಸ್ತಿಲಾ
बॅस्टिल,ಬಾಸ್ಟಿಲ್
बॅस्टिल,ಬಾಸ್ಟಿಲ್
बॅटरी,ಬ್ಯಾಟರಿ
लढाई,ಕದನ
Batlle-array,ಬ್ಯಾಟಲ್-ಅರೇ
लढाई रडणे,ಯುದ್ಧದ ಕೂಗು
लढाई दिन,ಬ್ಯಾಟಲ್ ಡಿನ್
युद्धक्षेत्र,ಯುದ್ಧಭೂಮಿ
लढाई भजन,ಯುದ್ಧ ಸ್ತೋತ್ರ
स्पर्सची लढाई,ಸ್ಪರ್ಸ್ ಕದನ
स्टँडर्डची लढाई,ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್
युद्धनौका,ಯುದ್ಧನೌಕೆ
युद्धनौका-शक्ती,ಯುದ್ಧನೌಕೆ-ಬಲ
Bayeux टेपेस्ट्री,ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ
बीकन,ದಾರಿದೀಪ
बीकन टॉवर,ದಾರಿದೀಪ ಗೋಪುರ
बीव्हर,ಬೀವರ್
बीव्हर,ಬೀವರ್
समुद्राचे भिकारी,ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು
बेलिकोज,ಬೆಲ್ಲಿಕೋಸ್
बेलिकोज,ಬೆಲ್ಲಿಕೋಸ್
बेलिकोज,ಬೆಲ್ಲಿಕೋಸ್
बेलिकोसिटी,ಬೆಲ್ಲಿಕೋಸಿಟಿ
बेलोना,ಬೆಲೋನಾ
फायदा,ಪ್ರಯೋಜನ
