Assamese,Marathi
abeli গ্ৰুপ,abeli गट
abeli গ্ৰুপ,अबेली गट
হাত,हात
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
নিৰপেক্ষ অভিসৰণ,परिपूर्ण अभिसरण
নিৰপেক্ষ ভুল,परिपूर्ण त्रुटी
পৰম পৰম,सर्वोच्च सर्वोच्च
নিৰপেক্ষ সৰ্বনিম্ন,परिपूर्ण सर्वात कमी
নিৰপেক্ষ মূল্য,परिपूर्ण मूल्य
নিৰপেক্ষ বেগ,परिपूर्ण वेग
বিমূৰ্ত বীজগণিত,अमूर्त बीजगणित
বিমূৰ্ত গোট তত্ত্ব,अमूर्त गट सिद्धांत
বেগ বৃদ্ধি,प्रवेग
মহাকৰ্ষণীয় ত্বৰণ,गुरुत्वाकर्षण प्रवेग
গ্ৰহণযোগ্য নিৰ্বাচক,स्वीकार्य निवडकर्ता
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,स्वीकार्य गुणवत्ता पातळी
গ্ৰহণযোগ্য চৌহদ,स्वीकार्य परिसर
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,वैध विश्वसनीयता पातळी
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,स्वीकृती नमुना
সঞ্চিত ভুল,संचित त्रुटी
শুদ্ধতা,अचूकता
প্ৰয়োগ কৰা বল,शक्ती लागू
"কাৰ্য্য, কাৰ্য্য","कृती, कृती"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,क्रिया आणि प्रतिक्रिया
বীমা বিজ্ঞান,विमा विज्ञान
তীব্ৰ ত্ৰিভুজ,तीव्र त्रिकोण
অচক্ৰীয়,अॅसायक्लिक
সামৰণিত,बेरीज करणे
adder,जोडणारा
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
যোগৰ সূত্ৰ,योगाचे सूत्र
জটিল সংখ্যাৰ যোগফল,जटिल संख्यांची बेरीज
ফলনৰ যোগফল,कार्यांची बेरीज
মেট্ৰিক্সৰ যোগফল,मॅट्रिक्सची बेरीज
বহুপদৰ যোগফল,बहुपदांची बेरीज
সম্ভাৱনাৰ যোগফল,संभाव्यतेची बेरीज
ভেক্টৰৰ যোগফল,वेक्टरची बेरीज
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","बेरीज प्रमेय, बेरी सिद्धांत"
যোগকৰণ গোট,मिश्रित गट
যোগকৰণৰ বিপৰীত,additive inverse
যোগযোগ্যতা,जोडणी
যোগযোগ্যতা,जोडणी
সংলগ্নতা মেট্ৰিক্স,संलग्नता मॅट्रिक्स
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","समीप, समीप, समीप"
কাষৰীয়া কোণ,समीप कोन
কাষৰীয়া শিখৰ,समीप शिरोबिंदू
to associate,संबद्ध करणे
"সংযুক্ত আবৃত,",संलग्न संलग्न
সাধাৰণ নিৰ্ণায়ক,सामान्य निर्धारक
সংযুক্ত অৱভেদ্য সমীকৰণ,संलग्न विभेदक समीकरण
সংলগ্ন সমীকৰণ,संलग्न समीकरण
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,एकसंध मॅट्रिक्स
মেট্ৰিক্স সহাৱস্থান,मॅट्रिक्स सहप्रसरण
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,एकसंध मॅट्रिक्स
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,स्वीकार्य निर्णय कार्य
গ্ৰহণযোগ্য অনুমান,स्वीकार्य गृहीतक
বায়ুগতিবিদ্যা বল,वायुगतिकीय शक्ती
বায়ুগতিবিদ্যা,वायुगतिकी
সমজাতীয় জ্যামিতি,एकसंध भूमिती
সমজাতীয় মেপিং,एकसंध मॅपिंग
সমজাতীয় ৰূপান্তৰ,एकसंध परिवर्तन
এগ্ৰিগেট ভেৰিয়েবল,एकूण चल
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"বীজযুক্ত বন্ধ, বীজযুক্ত","बियाणे बंद, बीजारोपण"
বীজগণিতীয় সমীকৰণ,बीजगणितीय समीकरण
বীজগণিতীয় প্ৰকাশ,बीजगणितीय अभिव्यक्ती
বীজগণিতীয় একাকাৰীতা,बीजगणितीय एकरूपता
বীজগণিতীয় ফলন,बीजगणितीय कार्य
বীজগণিতীয় জ্যামিতি,बीजगणितीय भूमिती
বীজগণিতীয় বহুত্ব,बीजगणितीय बहुलता
বীজগণিতীয় ব্যৱস্থা,बीजगणितीय प्रणाली
সকলো-পূৰ্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",असाइनमेंट समस्या वॅट प्रश्न
বৰ্ণানুক্ৰমিক সংকেত,वर्णक्रमानुसार नोटेशन
বৰ্ণানুক্ৰমিক আখৰ,वर्णमाला वर्ण
বিকল্প কোণ,पर्यायी कोन
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",पर्यायी एकसंध पर्यायी फॉर्म
বিকল্প গোট,पर्यायी गट
বিকল্প মেট্ৰিক্স,पर्यायी मॅट्रिक्स
বিকল্প শৃংখলা,पर्यायी मालिका
বিকল্প অনুমান,वैकल्पिक गृहीतक
বিকল্প অনুকূল,पर्यायी इष्टतम
বিকল্প ফলাফল,पर्यायी परिणाम
এনালগ-ডিজিট ৰূপান্তৰক,अॅनालॉग-अंकी कनवर्टर
"এনালগ কম্পিউটাৰ,",अॅनालॉग संगणक
বিশ্লেষণ,विश्लेषण
সহাৱস্থান বিশ্লেষণ,सहप्रसरण विश्लेषण
গণনা-তথ্য বিশ্লেষণ,गणन-डेटा विश्लेषण
ভ্যাৰিয়েন্স বিশ্লেষণ,भिन्नता विश्लेषण
বিশ্লেষণাত্মক জ্যামিতি,विश्लेषणात्मक भूमिती
বিশ্লেষণাত্মক কাৰ্য্য,विश्लेषणात्मक कार्य
কোণ,कोन
স্পৰ্শক কোণ,स्पर्शिका कोन
বিক্ষেপণ কোণ,विक्षेपण कोन
ডিপ্ৰেছন এংগেল,उदासीनता कोन
বিচ্যুতি কোণ,विचलन कोन
বিবৰ্তন কোণ,विवर्तन कोन
উচ্চতা কোণ,उंची कोन
প্ৰাদুৰ্ভাৱৰ কোণ,घटनेचा कोन
প্ৰক্ষেপণৰ কোণ,प्रक्षेपण कोन
প্ৰতিফলনৰ কোণ,प्रतिबिंब कोन
বিবৰ্তনৰ কোণ,अपवर्तन कोन
ঘূৰ্ণন কোণ,रोटेशन कोन
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,परावर्तनाचा परिपूर्ण कोन
কৌণিক ত্বৰণ,कोनीय प्रवेग
কৌণিক বেগ,कोनीय गती
কৌণিক গতি,कोनीय गती
কৌণিক বেগ,कोनीय गती
ৰিং ফিংগাৰ,अनामिका
উত্তৰদিশ,उत्तर द्या
