Punjabi,Marathi
abacus,अॅबॅकस
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,असामान्य समाप्ती
ਅਧੂਰਾ ਛੱਡੋ,गर्भपात
ਅਸੀਮ,निरपेक्ष
ਪੂਰਾ ਪਤਾ,परिपूर्ण पत्ता
ਪੂਰਨ ਸੰਬੋਧਨ,निरपेक्ष संबोधन
ਪੂਰਨ ਅਸੈਂਬਲਰ,परिपूर्ण असेंबलर
ਪੂਰਨ ਕੋਡ,परिपूर्ण कोड
ਪੂਰਨ ਹੁਕਮ,निरपेक्ष आज्ञा
ਪੂਰਨ ਡਾਟਾ,परिपूर्ण डेटा
ਪੂਰਨ ਹਿਦਾਇਤ,परिपूर्ण सूचना
ਪੂਰਨ ਮੋਡ,परिपूर्ण मोड
ਪੂਰਨ ਮਾਰਗ,परिपूर्ण मार्ग
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,परिपूर्ण प्रोग्रामिंग
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,अमूर्त वर्ग
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,अमूर्त डेटा प्रकार
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,अमूर्त मशीन
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,अमूर्त चिन्ह
ਸੰਖੇਪ ਸੰਟੈਕਸ,अमूर्त वाक्यरचना
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,स्वीकृती चाचणी
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,प्रवेश प्रमाणीकरण
ਐਕਸੈਸ ਕੋਡ,प्रवेश कोड
ਪਹੁੰਚ ਕੰਟਰੋਲ,प्रवेश नियंत्रण
ਐਕਸੈਸ ਸਕੈਨ,प्रवेश स्कॅन
ਸਹਾਇਕ,ऍक्सेसरी
ਖਾਤਾ,खाते
ਖਾਤਾ ID,खाते आयडी
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचयक
ਸ਼ੁੱਧਤਾ,अचूकता
ਪਹੁੰਚ,प्रवेश
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,ऍक्सेस कंट्रोल बाइट
ਐਕਸੈਸ ਇੰਡੈਕਸ,प्रवेश निर्देशांक
ਪਹੁੰਚ ਕੁੰਜੀ,प्रवेश की
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,ऍक्सेस मॅट्रिक्स
ਪਹੁੰਚ ਮੋਡ,प्रवेश मोड
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,प्रवेश विशेषाधिकार
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,प्रवेश सुरक्षा
ਪਹੁੰਚ ਸਰਵਰ,ऍक्सेस सर्व्हर
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,प्रवेश वेळ
