Malayalam,Hindi
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.एबेकस, 2. गिनतारा"
അസാധാരണമായ അവസാനം,असामान्य समापन
തടസ്സപ്പെടുത്തുക,अवरोधन
"1. കേവലം, 2. പരമോന്നത","1. निरपेक्ष, 2. परम"
സമ്പൂർണ്ണ വിലാസം,निरपेक्ष पता
സമ്പൂർണ്ണ വിലാസക്ഷമത,निरपेक्ष पताभिगमन
കേവല അസംബ്ലർ,निरपेक्ष कोडांतरक
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
സമ്പൂർണ്ണ കമാൻഡ്,निरपेक्ष समादेश
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
സമ്പൂർണ്ണ നിർദ്ദേശം,निरपेक्ष अनुदेश
കേവല മോഡ്,निरपेक्ष विधा
കേവല പാത,निरपेक्ष पथ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
അമൂർത്ത ക്ലാസ്,अमूर्त वर्ग
അമൂർത്ത ഡാറ്റ തരം,अमूर्त आंकड़ा प्रकार
അമൂർത്ത യന്ത്രം,अमूर्त मशीन
അമൂർത്ത ചിഹ്നം,अमूर्त प्रतीक
അമൂർത്തമായ വാക്യഘടന,अमूर्त वाक्य विन्यास
സ്വീകാര്യത പരിശോധന,स्वीकृति परीक्षण
പ്രവേശന സർട്ടിഫിക്കേഷൻ,अभिगम प्रमाणन
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. अभिगम कूट, 2. अभिगम कोड"
പ്രവേശന നിയന്ത്രണം,अभिगम नियंत्रण
ആക്സസ് സ്കാനിംഗ്,अभिगम क्रमवीक्षण
സാധനങ്ങൾ,सहयंत्र
അക്കൌണ്ടിംഗ്,लेखा
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. एकाउंट आई डी, 2. लेखा पहचान"
ശേഖരണം,संचायक
"1. കൃത്യത, 2. കൃത്യത","1. विशुद्धता, 2. यर्थाथता"
പ്രവേശനം,अभिगम
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,अभिगम नियंत्रण बाइट
പ്രവേശന സൂചകം,अभिगम सूचक
ആക്സസ് കീ,अभिगम कुंजी
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
ആക്സസ് മോഡ്,अभिगम विधा
പ്രവേശനാവകാശങ്ങൾ,अभिगम विशेषाधिकार
ആക്സസ് സുരക്ഷ,अभिगम सुरक्षा
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
പ്രവേശന സമയം,अभिगम काल
അംഗീകാരം,अभिस्वीकृति
ശബ്ദശാസ്ത്രം,ध्वनिकी
