Malayalam,Kannada
ഉപേക്ഷിക്കുക,ಸ್ಥಗಿತಗೊಳಿಸು
ടൈമർ നിർത്തുക,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
കേവല വിലാസം,ಸಂಪೂರ್ಣ ವಿಳಾಸ
കേവല വിലാസം,ಸಂಪೂರ್ಣ ವಿಳಾಸ
കേവല അസംബന്ധം,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
കേവല കോഡ്,ಸಂಪೂರ್ಣ ಕೋಡ್
കേവല കോഡിംഗ്,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
കേവല കമാൻഡ്,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
കേവല കോർഡിനേറ്റ്,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
കേവല ഡാറ്റ,ಸಂಪೂರ್ಣ ಡೇಟಾ
കേവല പിശക്,ಸಂಪೂರ್ಣ ದೋಷ
കേവല പദപ്രയോഗം,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
കേവല പ്രബോധനം,ಸಂಪೂರ್ಣ ಸೂಚನೆ
കേവല ലോഡർ,ಸಂಪೂರ್ಣ ಲೋಡರ್
കേവല ക്രമം,ಸಂಪೂರ್ಣ ಕ್ರಮ
കേവല പ്രോഗ്രാമിംഗ്,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
കേവല പദം,ಸಂಪೂರ್ಣ ಪದ
യഥാർത്ഥ മൂല്യം,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
കേവല വെക്റ്റർ,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
വേര്പെട്ടുനില്ക്കുന്ന,ಅಮೂರ್ತ
അമൃതിയുള്ള,ಅಮೂರ್ತಗೊಳಿಸುವ
അമൂർത്ത ചിഹ്നം,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,ವೇಗವರ್ಧನೆ ಅವಧಿ
ത്വരണം സമയം,ವೇಗವರ್ಧಕ ಸಮಯ
സരഭാരം,ಉಚ್ಚಾರಣಾ
സ്വീകാര്യത പരിശോധന,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
പ്രവേശനം,ಪ್ರವೇಶ
കൈ,ಪ್ರವೇಶ
ആക്സസ് ക്രമീകരണം,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
അതോറിറ്റി ആക്സസ് ചെയ്യുക,ಪ್ರವೇಶ
ആക്സസ് ചാർജ്,ಪ್ರವೇಶ
ആക്സസ് ക്ലാസ്,ಪ್ರವೇಶ ವರ್ಗ
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
പ്രവേശന അന്തരീക്ഷം,ಪ್ರವೇಶ ಪರಿಸರ
വിടവ് ആക്സസ് ചെയ്യുക,ಪ್ರವೇಶದ ಅಂತರ
ആക്സസ് സൂചിക,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
ആക്സസ് ലൈൻ,ಪ್ರವೇಶ
ആക്സസ് സംവിധാനം,ಪ್ರವೇಶ ಕಾರ್ಯ
ആക്സസ് രീതി,ಪ್ರವೇಶ ವಿಧಾನ
ആക്സസ് രീതി പതിവ്,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
ആക്സസ് മോഡ്,ಪ್ರವೇಶ ಕ್ರಮ
വലത് ആക്സസ്,ಪ್ರವೇಶ ಬಲ
ആക്സസ് സ്കാൻ,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
ആക്സസ് സമയം,ಪ್ರವೇಶ ಸಮಯ
അക്കൌണ്ടിംഗ്,ಲೆಕ್ಕಪತ್ರ
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
അക്ക ing ണ്ടിംഗ് മെഷീൻ,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
അക്കൗണ്ട് നമ്പർ,ಖಾತೆ ಸಂಖ್ಯೆ
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
സഞ്ചിതം,ಸಂಗ್ರಹಣೆದಾರ
സഞ്ചിത രജിസ്റ്റർ,ಸಂಚಯಕ ನೋಂದಣಿ
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
കൃതത,ನಿಖರತೆ
കൃത്യത നിയന്ത്രണ പ്രതീകം,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
കൃത്യത നിയന്ത്രണ സംവിധാനം,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
എയ്സ് പൈലറ്റ്,ಏಸ್ ಪೈಲಟ್
പ്രതീകം അംഗീകരിക്കുക,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
അക്കോസ്റ്റിക് കപ്ലർ,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
അക്കോസ്റ്റിക് കപ്ലിംഗ്,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
അക്ക ou സ്റ്റിക് കാലതാമസം,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
അക്കോസ്റ്റിക് മെമ്മറി,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
അക്കോസ്റ്റിക് മോഡം,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
അക്കോസ്റ്റിക് സിഗ്നൽ,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
സംക്ഷേപം,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
പവര്ത്തി,ಕ್ರಿಯಾಶೀಲತೆ
പ്രവർത്തന ചക്രം,ಕ್ರಿಯಾಶೀಲತೆ
ആക്ഷൻ ലൈൻ,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
ആക്ഷൻ സന്ദേശം,ಕ್ರಿಯಾಶೀಲ
പ്രവർത്തന സവിശേഷത,ಕ್ರಿಯಾಶೀಲತೆ
സജീവമാക്കല്,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
സജീവമായ,ಸಕ್ರಿಯ
സജീവ ഫയൽ,ಸಕ್ರಿಯ ಫೈಲ್
സജീവ ലൈൻ,ಸಕ್ರಿಯ ರೇಖೆ
സജീവ ലിങ്ക്,ಸಕ್ರಿಯ ಲಿಂಕ್
സജീവ മാസ്റ്റർ ഫയൽ,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
സജീവ മാസ്റ്റർ ഇനം,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
സജീവ ഉപഗ്രഹം,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
സജീവ സ്റ്റേഷൻ,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
സജീവ സംഭരണം,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
പ്രവർത്തനം,ಚಟುವಟಿಕೆ
പ്രവർത്തന നില,ಚಟುವಟಿಕೆ ಮಟ್ಟ
പ്രവർത്തന ലോഡിംഗ്,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
പ്രവർത്തന അനുപാതം,ಚಟುವಟಿಕೆ ಅನುಪಾತ
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ)
