Kannada,Telugu
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,అబాక్సియల్ ఉపరితలం
ಹೊಟ್ಟೆ,ఉదరం
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,ఉదర బృహద్ధమని
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,ఉదర గాంగ్లియా
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,అబెల్మోస్చస్ ఎస్కులెంటస్
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,అబెర్రేషన్
ಅಬ್ಬರ,అబీస్
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,అబింగ్డన్ తాబేలు
ಕ್ಷು ತನ್ನತೆ,అబియోజెనిసిస్
ಅಸಹ್ಯವಾದ,అబియోటిక్
ಉದಾಸೀಯ ಅಂಶ,అబియోటిక్ కారకం
ಅಸಹಜ ಮೂತ್ರ,అసాధారణ మూత్రం
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,అబో బ్లడ్ గ్రూప్
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,అబ్సిసిక్ ఆమ్లం
ಕಂದಿಸುವುದು,అబ్సిసిషన్
ಹೀರಿಕೊಳ್ಳಿ,గ్రహించండి
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,శోషణ శిఖరం
ಹೀರುವಿಕೆ,శోషణ
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,అకాసియా కాటెచు
ಅಕ್ಯಾಬಿಕಾ,అకారియా అరబికా
ಅಣಕಾದ,అకాప్రిన్
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
ಪರಿಕರ ಗ್ರಂಥಿ,అనుబంధ గ్రంథి
ಪರಿಕರ ಗ್ರಂಥಿ,అనుబంధ గ్రంథి
ಪರಿಕರ ಅಂಗ,అనుబంధ అవయవం
ಒಗ್ಗೂಡಿಸುವಿಕೆ,అలవాటు
ಒಗ್ಗಿಸು,అలవాటు
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),వసతి
ಕಣ್ಣಿನ ವಸತಿ,కంటి వసతి
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,అక్రెషన్ పెరుగుదల
ಸಂಗ್ರಹಣೆ,చేరడం
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,సేంద్రీయ పదార్థాలు చేరడం
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,నేల చేరడం
ಉಭಯಾಕಾರದ,ఎసిల్యులర్
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,ఎసెల్యులర్ జీవి
ಅಸೆಟಾಬುಮ್,ఎసిటాబులం
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,ఎసిటాల్డిహైడ్
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,ఎసిటైల్ కోఎంజైమ్
ಕಸ,అచతినా
ಮೊಲ ಪ್ರಕಾರ,అచెనే రకం
ಉಂಗುರ,అచెన్
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,అచ్లామిడోస్పోరే
ಆಮ್ಲ ಮಳೆ,ఆమ్ల వర్షము
ಆಮ್ಲೀಯ,ఆమ్ల
ಆಮ್ಲೀಯ ಅನಿಲ,ఆమ్ల వాయువు
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ఆమ్లత్వం
ಅಸಿನಾರ್ ಕೋಶ,అసినార్ సెల్
ಜಾಮಕೀಯ,Acoelomate
ಅನನಟ,అకోనిటమ్
ಆಕ್ರೋಶದ ಹುಳು,ఎకార్న్ పురుగు
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,ఎకౌస్టిక్ జోనింగ్
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,సంపాదించిన పాత్ర
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,రోగనిరోధక శక్తిని సంపాదించింది
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),ఇమ్యునో లోపం (AIDS)
ಪ್ರಾದೇಶಿಕ,అక్రినియా
ಅಣಕಾದ ಬಣ್ಣ,యాక్రిడిన్ డై
ವ್ಯಾಪಕವಾದ,అక్రోసెంట్రిక్
ಅಕ್ರಾಮನ್,అక్రోమియన్
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,అక్రోపెటల్ సీక్వెన్స్
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,అక్రోపెటల్ ఆర్డర్
ಅಕ್ರೋಸಿನ್,అక్రోసిన్
ಅ ೦ ಗಡಿ,ఆక్టిన్
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,ఆక్టిన్ లాంటి ప్రోటీన్
ಕ್ರಿಯಾಶೀಲತೆ,ఆక్టినోమోర్ఫిక్
ಅಂಧ,ఆక్టినోమైసెట్స్
ಕ್ರಿಯಾಶೀಲತೆ,చర్య సామర్థ్యం
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,సక్రియం చేయబడిన బురద
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,సక్రియం చేయబడిన బురద ఫ్లోక్
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,యాక్టివేషన్ ఎనర్జీ
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,క్రియాశీల శోషణ
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,క్రియాశీల రోగనిరోధక శక్తి
ಸಕ್ರಿಯ ವಿಕಿರಣ,క్రియాశీల రేడియేషన్
ಸಕ್ರಿಯ ಸೈಟ್,క్రియాశీల సైట్
ದಳ,యాక్టివిన్
ವಕ್ರವಳತಿ ಮಾಡು,అక్యూమినేట్
ಆಡಮ್ಸಿಯಾ,ఆడమియా
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ರೂಪಾಂತರ,అనుసరణ
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,కాంతి పాలనకు అనుసరణ
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,నీటి కొరతకు అనుసరణ
ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು,అనుకూల లక్షణాలు
ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ,అనుకూల రోగనిరోధక శక్తి
ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ,అడాప్టివ్ రేడియేషన్
ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ,అనుకూల లక్షణం
ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,అడాక్సియల్ ఉపరితలం
ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ,వ్యసనపరుడైన రుగ్మత
ತಿಕ್ಕಲು,అడెనిన్
ಒಂದು ತತ್ತ್ವ,అడెనోకార్టికోట్రోపిన్
ತತ್ತ್ವ,అడెనోహైపోఫిసిస్
ತಿರಸ್ಕಾರ,అడెనోసిన్ డిఫాస్ఫేట్
ಅಂಧ,అడెనోసిన్ డీమినేస్
ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್,అడెనోసిన్ మోనోఫాస్ఫేట్
ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ),గ్రంధి ముడతలు
ತಿರಸ್ಕಾರ,అడెనిలేట్ సైక్లేస్
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,అంటుకునే శక్తి
ಅಡಿಪಡಿ,అడిపేట్
ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ),కొవ్వు పెండినవి
ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ,కొవ్వు కణజాలము
ಮಡಿ,Adnate
ಪಕ್ಕದ ಸಮುದಾಯ,ప్రక్కనే ఉన్న సంఘం
ಮೂತ್ರಜನಕಾಂಗ,అడ్రినల్
ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ,అడ్రినల్ గ్రంథి
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್),ఎడ్రినల్ గ్రంథి
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
ಹೊರಹೀರುವ,Adsorbent
ಹೊರಹೀರತೆ,శోషణ
ಸುಧಾರಿತ ಸ್ವರಮೇಳ,అధునాతన కార్డేట్
ಅನುಕೂಲಕರ ರೂಪಾಂತರ,ప్రయోజనకరమైన మ్యుటేషన్
ಸಾಹಸದ,అడ్వెసిషియల్
ಸಾಹಸಿ ಮೂಲ,సాహసోపేతమైన రూట్
ದುಷ್ಪರಿಣಾಮ,ప్రతికూల ప్రభావం
ಈಡಿಸ್,AEDES
ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ,సంస్కృతి వాయువు
ವಾಮಪಂಥೀಯ,ఏరెన్చైమా
ವೈಮಾನಿಕ,ఆకాశయాన
ವೈಮಾನಿಕ ಮೂಲ,వైమానిక రూట్
ವೈಮಾನಿಕ ಚಿಗುರು,వైమానిక షూట్
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,ఏరోబిక్ శ్వాసక్రియ
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,ఏరోబిక్ శ్వాసక్రియ
ಸೌಂದರ್ಯಶಾಸ್ತ್ರ,సౌందర్యం
ಅಸ್ವಸ್ಥತೆ,ఎస్టివేషన్
ಅಸ್ವಸ್ಥತೆ,ఎస్టివేషన్
ವಿಪರೀತ,అనుబంధ
ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,అనుబంధ క్రోమాటోగ్రఫీ
ಪೀಡಿತ ಅಂಗ,బాధిత అవయవం
ಸಂಯಮ,అటవీ నిర్మూలన
ಗಗನಯ,అగామోస్పెర్మీ
ಗಾಡಿ,అగర్
ಜನಗಮಣ,అగరోస్
ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್,అగరోస్ పాలిమర్ జెల్
ಚೂರುಪಾರು,అగాస్ట్
ಭೂತಾಳೆ,కిత్తలి
ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ,వయస్సు పంపిణీ
ವಯಸ್ಸು ಪಿರಮಿಡ್,వయస్సు పిరమిడ్
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,సంకలనం
ಒಟ್ಟು,మొత్తం
ಕೋಶಕ ಒಟ್ಟು,ఫోలికల్ యొక్క మొత్తం
ಕೋಶಕ ಒಟ್ಟು,ఫోలికల్ యొక్క మొత్తం
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,సమూహనం
ಆಕ್ರಮಣಶೀಲತೆ,దూకుడు
ಚಮತ್ಕಾರ,ఆందోళన వ్యవస్థ
ಅಜ್ಞಾತ,అగ్నాథ
ಗಾಡಿ,అగౌటి
ಪಂಥದ,అగ్రనాల్ క్లోరోప్లాస్ట్
ಕೃಪಣದ,అగ్రన్యులర్
ಪಂಥಿ,అగ్రనులోసైట్
ಕೃಷಿ,వ్యవసాయం
ಕೃಚಾರಕ,అగ్రోఫారెస్ట్రీ
ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
ಕೃಷಿ ರಾಸಾಯನಿಕ,వ్యవసాయ రసాయన
ಕೃಷಿ ರಾಸಾಯನಿಕ,వ్యవసాయ రసాయన
ಕೃಷಿ ವಲಯ,అగ్రోక్లిమాటిక్ జోన్
ಕೃಷಿ ಲಕ್ಷಣ,వ్యవసాయ లక్షణం
ಕೃಷಿ ವಿಜ್ಞಾನ,వ్యవసాయ శాస్త్రం
ನೆರಳು,ఎయిడ్స్
ಗಾಳಿಗೊಡೆ,గాలి మూత్రాశయం
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,వాతానుకూలీన యంత్రము
ಗಾಳಿಯ ಮಾರ್ಗ,గాలి మార్గం
ವಾಯು ಮಾಲಿನ್ಯ,వాయుకాలుష్యం
ಗಾಳಿಯ ಚೀಲ,ఎయిర్ శాక్
ವಿಮಾನ ನಿರ್ವಾತ,ఎయిర్ వాక్యూల్
ಗಾಳಿ ಮರೆಯುವ,గాలి-శ్వాస
ತಲ್ಲಣ,అలైన్
ಅಲರಿ ಸ್ನಾಯು,అలారి కండరం
ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ,అలాస్కాన్ బ్రౌన్ బేర్
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,అల్బినో
