Odiya,Hindi
ଅସ୍ୱାଭାବିକ |,अपसामान्य
ପରିତ୍ୟାଗ,विफलन
ଅଳିଆ ଆବେଗ,"अपघर्षण, घिसाई"
ଆକସ୍ମିକ,"असंलग्न, अचानक, सहसा, विच्छिन्न"
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,निरपेक्ष क्षेत्र सामर्थ्य
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,परम ताप
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,निरपेक्ष मान
ଶୋଷଣ,"अवशोषित करना, अवशोषण करना"
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,अवशोषण गुणांक
ଶୋଷଣୀୟ କ୍ଷତି |,अवशोषण हानि
ବିସ୍ତୃତ,"अमूर्त, सारांश, सार, संक्षेप"
ଆକ୍ସଲେରୋମିଟର |,त्वरणमापी
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृति परीक्षण
ପ୍ରବେଶ,अभिगम
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,अभिगम नियंत्रण
ପ୍ରବେଶ ବିନ୍ଦୁ,अभिगम बिंदु
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,अभिगम काल
ଅଭିଗମ୍ୟତା |,अभिगम्यता
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,संचायक सेल
ସଠିକତା,यथार्थता
ସଠିକ୍,यथार्थ
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,अवर्णक लेन्स
ଏସିଡ୍ |,"अम्ल, ऐसिड"
ଏସିଡ୍ ପ୍ରମାଣ |,अम्लसह
ଅମ୍ଳତା,अम्लता
ସ୍ୱୀକୃତି ବିଟ୍,"पावती द्वयंक, पावती बिट"
ଆକାଶବାଣୀ |,ध्वानिक
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ध्वानिक संचार
ଆକାଶବାଣୀ ବିସ୍ତାର,ध्वानिक विसरण
ଆକାଶବାଣୀ ସମାନତା |,ध्वानिक समकारी
ଆକାଶବାଣୀ ମତାମତ |,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ध्वानिक प्रतिबाधा
ଆକାଶବାଣୀ ମାସ୍କିଂ |,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
ଆକାଶବାଣୀ ଶକ୍ତି |,ध्वानिक षक्ति
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,ध्वानिक गुणधर्म
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ध्वानिक प्रतिघात
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ध्वानिक प्रतिवर्त
ଆକାଶବାଣୀ ଟାଇଲ୍ |,ध्वानिक टाइल
ଆକାଶବାଣୀ ତରଙ୍ଗ |,ध्वानिक तरंग
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ध्वानिक अवशोषण गुणांक
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,ध्वानिक अवमंदन
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ध्वानिक विलंब लाइन
ଆକାଶବାଣୀ ବିକୃତି |,ध्वानिक विरूपण
ଆକାଶବାଣୀ ନଳୀ |,ध्वनि-वाहिनी
ଆକାଶବାଣୀ ଶକ୍ତି |,ध्वानिक ऊर्जा
ଆକାଶବାଣୀ ମତାମତ |,ध्वानिक पुनर्निवेश
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,ध्वानिक प्रतिबाधा
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,ध्वानिक संचरण नियतांक
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ध्वानिक प्रतिरोध
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,ध्वानिकतः रुद्ध
ଆକାଶବାଣୀ |,"ध्वानिकी, ध्वनि विज्ञान"
ଅଧିଗ୍ରହଣ,"अधिग्रहण, अर्जन, उपार्जन"
ଆକ୍ରୋନିମ୍ |,संक्षिप्त रूप
କ୍ରିୟା କ୍ଷେତ୍ର,कार्य क्षेत्र
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,"सक्रियकृत तंतु, सक्रियित तंतु"
ସକ୍ରିୟ,सक्रिय
ସକ୍ରିୟ କ୍ଷେତ୍ର,सक्रिय क्षेत्र
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,सक्रिय विंडो
ଅନୁକେତ,अनुकूलनीयता
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),"अनुकूलक, अनुकूलित्र"
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,अनुकूली विभेदी स्पंद कोड मॉडुलन
ଠିକଣା ବହି,"पता पुस्तिका, एड्रेस बुक"
ଠିକଣା ବସ୍,"पता बस, एड्रेस बस"
ଠିକଣା ରେଜୋଲୁସନ,"पता विभेदन, एड्रेस विभेदन"
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण"
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता"
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,आसन्न आवृत्ति
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,आसन्न आवृत्ति चैनल
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,"आसन्न चित्र वाहक, संलग्न वीडियो वाहक"
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,आसन्न ध्वनि वाहक
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,"निकटवतब स्टेशन, निकटवतब केंद्र"
ନିୟନ୍ତ୍ରିତ,समायोज्य
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,समायोज्य संधारित्र
ଚାପକୁ ସଜାଡିବା |,समायोज्य दाब
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,समायोजी रिंच
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,समायोजन
ପ୍ରଶାସକ,"प्रशासक, नियंत्रक"
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,उन्नत प्रौद्योगिकी
ବାୟୁ,"एरियल (ऐन्टेना), आकाशी, वायव, हवाई"
ଏରିଲ୍ ଆରେ |,एरियल व्यूह
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,"एरियल वर्धक, ऐन्टेना वर्धक"
ଏରିଲ୍ କରେଣ୍ଟ୍ |,ऐन्टेना धारा
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,ऐन्टेना भूसंपर्कक स्विच
ଏରିଲ୍ ଦକ୍ଷତା |,ऐन्टेना दक्षता
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,ऐन्टेना प्रतिबाधा
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,ऐन्टेना प्रेरकत्व
ଏରିଆଲ୍ ଇନସୁଲେଟର |,ऐन्टेना विद्तरोधी
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,ऐन्टेना भारण कुंडली
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,आकाषी फोटोग्राफी
ଏରିଲ୍ ଶକ୍ତି |,ऐन्टेना षक्ति
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,आकाशी विकिरण प्रतिरोध
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,ऐन्टेना प्रतिघात
ଏରୋଡାଇନାମିକ୍ସ,वायुगतिकी
ସଂସ୍ଥା,"एजेंसी, अभिकरण"
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,वायु संपीडक
ବାୟୁ କଣ୍ଡନସର୍ |,वायु संधारित्र
ବାୟୁ ଥଣ୍ଡା,वायुशीतित
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,वायु क्रोडित कुंडली
Accometication,वातानुकूलन
ଆଲବେଡୋ |,ऐल्बीडो
ଆଲଗୋରିଦମ,"कलन विधि, एल्गोरिथ्म"
ଛଦ୍ମନାମ,एलियासिंग
ମିଶ୍ରଣ,संरेखण
ପରିଚାଳିତ,संरेखण
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,सर्व तरंग एरियल
ଆବଣ୍ଟନ,नियतन
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,"वर्णक्रमीय, वर्णक्रमिक"
ବର୍ଣ୍ଣମାଳା,अक्षरांकीय
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,अक्षरांकीय संप्रतीक
ବର୍ଣ୍ଣମାଳା ସୂଚନା,अक्षरांकीय सूचना
ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.),प्रत्यावतब धारा (ए सी)
ବିକଳ୍ପ,प्रत्यावर्तन
Atternator,"प्रत्यावर्तक, प्रत्यावर्तित्र"
ଉଚ୍ଚତା,"तुंगता, उन्नतांश, शीर्षलंब"
ଆପୋଜି ର ଉଚ୍ଚତା |,अपभू-तुंगता
PERIGEE ର ଉଚ୍ଚତା |,उपभू-तुंगता
ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |,अव्यावसायिक रेडियो संचार
ଅଭିଳାଷୀ |,परिवेश
ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |,परिवेश माइक्रोफोन
ପରିବେଶ ସର୍ତ୍ତ,परिवेशी दशा
ପରିବେଶ ଆଲୋକ |,परिवेश प्रकाश व्यवस्था
ଆମ୍ବିକ୍ ଶବ୍ଦ,परिवेशी रव
ପରିବେଶ ତାପମାତ୍ରା |,"परिवेशी ताप, परिवेश ताप"
ଆମେରିକୀୟ ମାନକ କୋଡ୍ |,अमरीकी मानक कोड
ଆମ୍ପେର୍,ऐम्पियर
ଆମ୍ପେର୍ ମିଟର |,ऐम्पियर मापी
ବୃଦ୍ଧି,प्रवर्धन
Amplfication ଫ୍ୟାକ୍ଟର୍ |,प्रवर्धन गुणक
ଏମ୍ପ୍ଲିଫାୟର୍,प्रवर्धक
ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |,प्रवर्धक लब्धि
ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |,प्रवर्धक रव
ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |,प्रवर्धन उपस्कर
କାଲିଷ୍ଟ୍ରନ୍,प्रवर्धन क्लाइस्ट्रॉन
Amplifying ୟୁନିଟ୍ |,प्रवर्धन एकक
ପ୍ରଶସ୍ତତା,"आयाम, कोणांक"
ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |,आयाम विरूपण
ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |,आयाम प्रसार
ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |,आयाम गुणक
ପ୍ରଶସ୍ତତା ସୀମା,आयाम सीमक
ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |,आयाम मॉडुलित
ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |,आयाम मॉडुलन
ଆନାଗଲ୍ (ଆନାଗଲ୍),"अनुरूप, एनालॉग"
ଆନାଗଲ୍ ସର୍କିଟ୍ |,अनुरूप परिपथ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,अनुरूप कंप्यूटर
ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,अनुरूप रेडियो आवृत्ति चैनल
ଆନାଗଲ୍ ଉପସ୍ଥାପନା |,अनुरूप निरूपण
ଆନାଗଲ୍ ସିଗନାଲ୍ |,"अनुरूप संकेत, अनुरूप सिगनल"
