English,Marathi
Abnormal,असामान्य
Abort,गर्भपात
Abrasion,घर्षण
Abrupt,अचानक
Absolute field strength,परिपूर्ण फील्ड सामर्थ्य
Absolute temperature,परिपूर्ण तापमान
Absolute value,परिपूर्ण मूल्य
Absorb,शोषून घ्या
Absorption co-efficient,शोषण सह-कार्यक्षम
Absorption loss,शोषण तोटा
Abstract,गोषवारा
Accelerometer,एक्सेलरोमीटर
Acceptance test,स्वीकृती चाचणी
Access,प्रवेश
Access control,प्रवेश नियंत्रण
Access point,प्रवेश बिंदू
Access time,प्रवेश वेळ
Accessibility,प्रवेशयोग्यता
Accumulator cell,संचयक सेल
Accuracy,अचूकता
Accurate,अचूक
Achromatic lens,अ‍ॅक्रोमॅटिक लेन्स
Acid,आम्ल
Acid proof,आम्ल पुरावा
Acidity,आंबटपणा
Acknowledgement bit,पावती बिट
Acoustic,ध्वनिक
Acoustic communication,ध्वनिक संप्रेषण
Acoustic diffusion,ध्वनिक प्रसार
Acoustic equalizer,ध्वनिक समतुल्य
Acoustic feedback,ध्वनिक अभिप्राय
Acoustic filter,ध्वनिक फिल्टर
Acoustic impedance,ध्वनिक प्रतिबाधा
Acoustic masking,ध्वनिक मास्किंग
Acoustic power,ध्वनिक शक्ती
Acoustic property,ध्वनिक मालमत्ता
Acoustic reactance,ध्वनिक प्रतिक्रिया
Acoustic reflex,ध्वनिक प्रतिक्षेप
Acoustic tile,ध्वनिक टाइल
Acoustic wave,ध्वनिक लाट
Acoustical absorption,ध्वनिक शोषण
Acoustical attenuation constant,ध्वनीविषयक क्षीणन स्थिर
Acoustical damping,ध्वनिकी ओलसर
Acoustical delay line,ध्वनिक विलंब रेखा
Acoustical distortion,ध्वनिक विकृती
Acoustical duct,ध्वनिक नलिका
Acoustical energy,ध्वनिक ऊर्जा
Acoustical feedback,ध्वनिक अभिप्राय
Acoustical filter,ध्वनिक फिल्टर
Acoustical impedance,ध्वनीविषयक प्रतिबाधा
Acoustical propagation constant,ध्वनीविषयक प्रसार स्थिर
Acoustical resistance,ध्वनिक प्रतिकार
Acoustically insulated,ध्वनिकरित्या इन्सुलेटेड
Acoustics,ध्वनिकी
Acquisition,संपादन
Acronym,परिवर्णी शब्द
Action area,कृती क्षेत्र
Activated filament,सक्रिय फिलामेंट
Active,सक्रिय
Active area,सक्रिय क्षेत्र
Active window,सक्रिय विंडो
Adaptability,अनुकूलता
Adapter (adaptor),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
Adaptive differential pulse code modulation,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
Address book,अॅड्रेस बुक
Address bus,अ‍ॅड्रेस बस
Address resolution,पत्ता ठराव
Adjacent channel interference,लगतच चॅनेल हस्तक्षेप
Adjacent channel selectivity,लगतच चॅनेल निवड
Adjacent frequency,समीप वारंवारता
Adjacent frequency channel,समीप फ्रिक्वेन्सी चॅनेल
Adjacent picture carrier,लगतचे चित्र वाहक
Adjacent sound carrier,समीप ध्वनी वाहक
Adjacent station,समीप स्टेशन
Adjustable,समायोज्य
Adjustable condenser,समायोज्य कंडेन्सर
Adjusting pressure,दबाव समायोजित करणे
Adjusting wrench,पाना समायोजित करणे
Adjustment,समायोजन
Administrator,प्रशासक
Advanced technology,आधुनिक तंत्रज्ञान
Aerial,हवाई
Aerial array,एरियल अ‍ॅरे
Aerial booster,एरियल बूस्टर
Aerial current,एरियल करंट
Aerial earthing switch,एरियल अर्थिंग स्विच
Aerial efficiency,हवाई कार्यक्षमता
Aerial impedance,हवाई प्रतिबाधा
Aerial inductance,एरियल इंडक्टन्स
Aerial insulator,एरियल इन्सुलेटर
Aerial loading coil,एरियल लोडिंग कॉइल
Aerial photography,एरियल फोटोग्राफी
Aerial power,हवाई शक्ती
Aerial radiation reistance,एरियल रेडिएशन रीस्टन्स
Aerial reactance,हवाई प्रतिक्रिया
Aerodynamics,एरोडायनामिक्स
Agency,एजन्सी
Air compressor,एअर कॉम्प्रेसर
Air condenser,एअर कंडेन्सर
Air cooled,वातानुकूलित
Air cored coil,एअर कोर्ड कॉइल
Airconditioning,वातानुकुलीत
Albedo,अल्बेडो
Algorithm,अल्गोरिदम
Aliasing,अलियासिंग
Aligning,संरेखित
Alignment,संरेखन
All wave aerial,सर्व वेव्ह एरियल
Allocation,वाटप
Alphabetic,वर्णमाला
Alphanumeric,अल्फान्यूमेरिक
Alphanumeric character,अल्फान्यूमेरिक वर्ण
Alphanumeric information,अल्फान्यूमेरिक माहिती
Alternating current (a.c.),वैकल्पिक चालू (ए.सी.)
Alternation,वैकल्पिक
Alternator,अल्टरनेटर
Altitude,समुद्रसपाटीपासूनची उंची
Altitude of the apogee,अपोजीची उंची
Altitude of the perigee,पेरिगीची उंची
Amateur radio communication,हौशी रेडिओ संप्रेषण
Ambience,वातावरण
Ambience microphone,वातावरण मायक्रोफोन
Ambient condition,वातावरणीय स्थिती
Ambient lighting,वातावरणीय प्रकाश
Ambient noise,सभोवतालचा आवाज
Ambient temperature,वातावरणीय तापमान
American standard code,अमेरिकन मानक कोड
Ampere,अँपियर
Ampere meter,अ‍ॅम्पेअर मीटर
Amplification,प्रवर्धन
Amplification factor,प्रवर्धन घटक
Amplifier,एम्पलीफायर
Amplifier gain,एम्पलीफायर गेन
Amplifier noise,एम्पलीफायर आवाज
Amplifying equipment,एम्प्लिफाइंग उपकरणे
Amplifying klystron,क्लीस्ट्रॉनचे विस्तार
Amplifying unit,एम्प्लिफाइंग युनिट
Amplitude,मोठेपणा
Amplitude distortion,मोठेपणा विकृती
Amplitude excursion,मोठेपणा सहन
Amplitude factor,मोठेपणा घटक
Amplitude limiter,मोठेपणा मर्यादा
Amplitude modulated,मोठेपणा मॉड्यूलेटेड
Amplitude modulation,मोठेपणा मॉड्यूलेशन
Analog (analogue),एनालॉग (अ‍ॅनालॉग)
Analog circuit,एनालॉग सर्किट
Analog computer,एनालॉग संगणक
Analog radio frequency channel,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
Analog representation,एनालॉग प्रतिनिधित्व
Analog signal,एनालॉग सिग्नल
Analog to digital,डिजिटल टू डिजिटल
Analog to digital converter,डिजिटल कन्व्हर्टर टू एनालॉग
