Odiya,Malayalam
ପରିତ୍ୟାଗ,ഉപേക്ഷിക്കുക
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,ടൈമർ നിർത്തുക
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,കേവല വിലാസം
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,കേവല വിലാസം
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,കേവല അസംബന്ധം
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,കേവല കോഡ്
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,കേവല കോഡിംഗ്
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,കേവല കമാൻഡ്
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,കേവല കോർഡിനേറ്റ്
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,കേവല ഡാറ്റ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,കേവല പിശക്
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,കേവല പദപ്രയോഗം
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,കേവല പ്രബോധനം
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,കേവല ലോഡർ
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,കേവല ക്രമം
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,കേവല പ്രോഗ്രാമിംഗ്
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,കേവല പദം
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,യഥാർത്ഥ മൂല്യം
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,കേവല വെക്റ്റർ
ବିସ୍ତୃତ,വേര്പെട്ടുനില്ക്കുന്ന
ବିସ୍ତୃତ,അമൃതിയുള്ള
ବିସ୍ତୃତ ପ୍ରତୀକ |,അമൂർത്ത ചിഹ്നം
ତ୍ୱରଣ ସମୟ,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,ത്വരണം സമയം
ଉଚ୍ଚାରଣ,സരഭാരം
ଗ୍ରହଣ ପରୀକ୍ଷା,സ്വീകാര്യത പരിശോധന
ପ୍ରବେଶ,പ്രവേശനം
