Odiya,Hindi
"1. ଆବାକସ୍, ୨। ଗଣନା","1.एबेकस, 2. गिनतारा"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,असामान्य समापन
ବାଧା,अवरोधन
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. निरपेक्ष, 2. परम"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष पता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,निरपेक्ष पताभिगमन
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,निरपेक्ष कोडांतरक
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,निरपेक्ष समादेश
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,निरपेक्ष अनुदेश
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,निरपेक्ष विधा
ସଂପୂର୍ଣ୍ଣ ପଥ,निरपेक्ष पथ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,अमूर्त वर्ग
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,अमूर्त आंकड़ा प्रकार
ବିସ୍ତୃତ ମେସିନ୍ |,अमूर्त मशीन
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त प्रतीक
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,अमूर्त वाक्य विन्यास
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृति परीक्षण
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,अभिगम प्रमाणन
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. अभिगम कूट, 2. अभिगम कोड"
