Malayalam,Odiya
അജിയോട്ടിക് പുനരുൽപാദനം,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
അസാധാരണമായ,ପରମାନନ୍ଦ
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
വളർച്ച മുരടിച്ച വിത്ത്,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
ആഗിരണം,ଅବଶୋଷଣ
അബിസീനിയൻ കടുക്,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1. acaricide,1. ଆକାରିସାଇଡ୍ |
കേന്ദ്രാഭിമുഖം,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
ആംപ്ലിഫിക്കേഷൻ (സെൽ),ବୃଦ୍ଧି (କକ୍ଷ)
അനുവദിച്ച സഹിഷ്ണുത,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
പൊരുത്തപ്പെടുത്തൽ,ଆଡାପ୍ଟେସନ୍
ശേഖരണം,ଜମା
1. vaccuracy 2. കൃത്യത,1. ସଠିକତା 2. ସଠିକତା |
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
അസിഡിറ്റി,ଅମ୍ଳତା |
അസിഡോഫൈൽ,ଏସିଡୋଫାଇଲ୍ |
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
അസിഡിഫൈഡ്,ଅମ୍ଳଯୁକ୍ତ |
ജലാശയം,ଜଳଜଳ
കൈവശപ്പെടുത്തൽ,ଅଧିଗ୍ରହଣ
ഏക്കർ,ଏକର
1. ഏരിയ 2. ഏരിയ,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
അവസാന പോയിന്റ് ക്രോമസോം,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
മുന്നോട്ട് നോക്കുന്ന,ଆଗକୁ ଦେଖିବା
അക്രോസോം,ଆକ୍ରୋସୋମ୍ |
ആക്റ്റിനോമൈസെറ്റുകൾ,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
സജീവ കോർ,ସକ୍ରିୟ କୋର୍ |
1. ക്രോധം 2. തീവ്രം,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
പൊരുത്തപ്പെടുത്തൽ,ଅନୁକୂଳତା
ഇഷ്ടാനുസൃതമാക്കൽ,କଷ୍ଟମାଇଜେସନ୍
1. അഡീഷൻ 2. അഡീഷൻ,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
സെബാസിയസ്,sebaceous
ക്രമീകരിക്കൽ സമവാക്യം,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
അഡോബ് മണ്ണ്,ଆଡୋବ ମାଟି |
വ്യഭിചാരം,ବ୍ୟଭିଚାର
എക്ടോപിക്,ଏକ୍ଟୋପିକ୍
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,Isidiospore Isidium Spore |
എയറോഡൈനാമിക് പ്രക്രിയ,ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |
വെൻട്രൽ,ଭେଣ୍ଟ୍ରାଲ୍ |
വായുസഞ്ചാരത്തിനായി,ବିମାନକୁ
1. വായു 2. ആകാശി,1. ବାୟୁ 2. ଆକାଶୀ |
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |
എയറോസോൾ,ଏରୋସୋଲ୍ |
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |
രോഗ ശാസ്ത്രം,ରୋଗ ବିଜ୍ଞାନ
വനവൽക്കരണം,ବୃକ୍ଷରୋପଣ
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |
അഗ്മാർക്ക്,ଆଗମାର୍କ |
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି
കാർഷിക ക്ലിനിക്ക്,କୃଷି ଚିକିତ୍ସାଳୟ
1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ,1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |
കാർഷിക വിപണനം,କୃଷି ମାର୍କେଟିଂ |
കാർഷിക സാങ്കേതികവിദ്യ,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്,1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |
കാർഷിക വനവൽക്കരണം,କୃଷି ଜଙ୍ଗଲ
കാർഷിക ജൈവവൈവിധ്യം,କୃଷି ଜ odi ବ ବିବିଧତା |
കാർഷിക ജൈവ വൈകല്യങ്ങൾ,କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |
കാർഷിക ജീവശാസ്ത്രം,କୃଷି ଜୀବ ବିଜ୍ଞାନ |
