Marathi,Bengali
Uptement,অবসান
संक्षेप,সংক্ষেপণ
अपहरण,অপহরণ
अबाधित,অবসান
क्षमता,ক্ষমতা
अब इनिशिओ,অ্যাব initio
सक्षम,সক্ষম
असामान्य,অস্বাভাবিক
निर्मूलन,বিলুপ্তি
रद्दबातल पोस्ट,বিলোপ পোস্ট
वर दिल्याप्रमाणे,উপর্যুক্ত
वर उद्धृत,উপরে উদ্ধৃত
वरील म्हणाले,উপরে বলেছেন
अनुपस्थिती,অনুপস্থিতি
अनुपस्थित,অনুপস্থিত
अनुपस्थिति,অনুপস্থিতি
अनुपस्थित विधान,অনুপস্থিত বিবৃতি
परिपूर्ण,পরম
परिपूर्ण मक्तेदारी,পরম একচেটিয়া
परिपूर्ण मालकी,পরম মালিকানা
शोषण,শোষণ
गोषवारा,বিমূর্ত
अमूर्त स्टेटमेंट,অ্যাবস্ট্রাক্টস্টেটমেন্ট
बेशुद्ध,অযৌক্তিক
विपुलता,প্রাচুর্য
शक्तीचा गैरवापर,ক্ষমতার অপব্যবহার
अपमानास्पद भाषा,অবমাননাকর ভাষা
शैक्षणिक,একাডেমিক
शैक्षणिक चर्चा,একাডেমিক আলোচনা
शैक्षणिक रजा,একাডেমিক ছুটি
शैक्षणिक पात्रता,শিক্ষাগত যোগ্যতা
शैक्षणिक नोंद,একাডেমিক রেকর্ড
प्रवेश,প্রশংসা
स्वीकारा,গ্রহণ
स्वीकृती,গ্রহণযোগ্যতা
कार्यालय स्वीकारणे,অফিস গ্রহণ
निविदा स्वीकारणे,দরপত্র গ্রহণ
प्रवेश,অ্যাক্সেস
प्रवेश,প্রবেশ
Ory क्सेसरी,আনুষঙ্গিক
अपघात,দুর্ঘটনা
सहनशीलता,প্রশংসাপত্র
निवास,থাকার ব্যবস্থা
सोबत,সহকারী
करार,চুক্তি
अनुयायी,অ্যাকশন
त्यानुसार,তদনুসারে
खाते,অ্যাকাউন্ট
उत्तरदायित्व,দায়িত্ব
जबाबदार,দায়ী
अकाउंटन्सी,হিসাবরক্ষণ
अकाउंटंट,হিসাবরক্ষক
साठी खाते,কি কারণে
खाते डोके,অ্যাকাউন্ট হেড
जमा लाभ,অর্জিত সুবিধা
जमा पेन्शन,পেনশন আদায়
संचय,জমা
अचूकता,সঠিকতা
अचूक,নির্ভুল
आरोप,অভিযোগ
आरोपी,অভিযুক্ত
यश,অর্জন
पोचपावती,স্বীকৃতি
पावती देय,স্বীকৃতি বকেয়া
ओळखी,পরিচিত
संपादन,অধিগ্রহণ
शोध,খালাস
कायदा,আইন
अभिनय भत्ता,অভিনয় ভাতা
क्रिया,কর্ম
कृती योजना,অ্যাকশন প্ল্যান
सक्रिय,সক্রিয়
सक्रियपणे,সক্রিয়ভাবে
कार्यकर्ता,কর্মী
देवाची करणी,Of শ্বরের আইন
गैरवर्तन कायदा,অসদাচরণের আইন
कमिशनचे कार्य आणि वगळणे,কমিশন ও বাদ দেওয়া আইন
वास्तविक,আসল
वास्तविक,বাস্তব
रुपांतर,অভিযোজন
या व्यतिरिक्त,সংযোজন
अतिरिक्त शुल्क,অতিরিক্ত চার্জ
अतिरिक्त निधी,অতিরিক্ত তহবিল
अतिरिक्त अनुदान,অতিরিক্ত অনুদান
अतिरिक्त माहिती,অতিরিক্ত তথ্য
अतिरिक्त वेतन,অতিরিক্ত বেতন
जोड आणि बदल,সংযোজন এবং পরিবর্তন
पत्ता,ঠিকানা
पत्ता,ঠিকানা
स्वागताचा पत्ता,স্বাগত ঠিকানা
पुरेसे,পর্যাপ্ত
चे पालन करा,মেনে চলুন
अ‍ॅड हॉक,অ্যাডহক
तदर्थ दावा,অ্যাডহক দাবি
तदर्थ समिती,তদর্থক কমিটি
तदर्थ वाढ,অ্যাডহক বৃদ্ধি
तदर्थ देयक,অ্যাডহক পেমেন্ট
समीप,সংলগ্ন
शेजारी (= संमिश्र),সংলগ্ন (= সংহত)
तहकूब,স্থগিতাদেশ
तहकूब गती,স্থগিতের গতি
सहभाग,রায়
न्यायाधीश,বিচারক
निर्णय,বিচার
न्यायाधीश,বিচারক
समायोजन,সামঞ্জস্য
प्रशासकीय,প্রশাসনিক
शपथ प्रशासित करा,শপথ পরিচালনা করুন
प्रशासन,প্রশাসন
न्याय प्रशासन,বিচার প্রশাসন
प्रशासकीय,প্রশাসনিক
प्रशासकीय कारवाई,প্রশাসনিক ক্রিয়া
प्रशासकीय मूल्यांकन,প্রশাসনিক মূল্যায়ন
प्रशासकीय मान्यता,প্রশাসনিক অনুমোদন
प्रशासकीय अधिकार,প্রশাসনিক কর্তৃপক্ষ
प्रशासकीय नियंत्रण,প্রশাসনিক নিয়ন্ত্রণ
प्रशासकीय निर्णय,প্রশাসনিক সিদ্ধান্ত
प्रशासकीय विभाग,প্রশাসনিক দপ্তর
प्रशासकीय प्रमुख,প্রশাসনিক মাথা
प्रशासकीय मुख्यालय,প্রশাসনিক সদর দফতর
प्रशासकीय उपाय,প্রশাসনিক ব্যবস্থা
प्रशासकीय शक्ती,প্রশাসনিক শক্তি
प्रशासकीय मंजुरी,প্রশাসনিক অনুমোদন
प्रशासकीय तंत्र,প্রশাসনিক কৌশল
प्रशासकीय न्यायाधिकरण,প্রশাসনিক ট্রাইব্যুনাল
प्रवेशयोग्यता,প্রবেশযোগ্যতা
स्वीकार्य खर्च,স্বীকৃত ব্যয়
कबूल करा,স্বীকার করুন
प्रवेश कार्ड,ভর্তি কার্ড
दाखल,ভর্তি
सूचना,উপদেশ
दत्तक,গ্রহণ
दत्तक,গ্রহণকারী
दत्तक,গ্রহণ
प्रौढ,প্রাপ্তবয়স্ক
भेसळ,ভেজাল
व्यभिचार,ব্যভিচার
प्रौढ मताधिकार,প্রাপ্তবয়স্ক ভোটাধিকার
अ‍ॅड व्हॅलोरम ड्यूटी,বিজ্ঞাপন ভ্যালোরেম ডিউটি
प्रगती,অগ্রিম
अ‍ॅडव्हान्स बुकिंग,আগাম বুকিং
आगाऊ प्रत,অগ্রিম অনুলিপি
आगाऊ वाढ,অগ্রিম বৃদ্ধি
आगाऊ भरणा,অগ্রিম প্রদান
प्रतिकूल प्रविष्टी,প্রতিকূল এন্ট্রি
प्रतिकूल टीका,বিরূপ মন্তব্য
प्रतिकूल अहवाल,প্রতিকূল প্রতিবেদন
जाहिरात,বিজ্ঞাপন
सल्ला,পরামর্শ
देयकाचा सल्ला,অর্থ প্রদানের পরামর্শ
सल्लागार समिती,উপদেষ্টা কমিটি
सल्लागार परिषद,উপদেষ্টা পরিষদ
वकिली,অ্যাডভোকেট
घडामोडी,বিষয়
प्रतिज्ञापत्र,হলফনামা
संलग्नता,অধিভুক্তি
पुष्टीकरण,নিশ্চিতকরণ
होकारार्थी,ইতিবাচক
परवाना,সামর্থ্য
उपरोक्त,উপরোক্ত
पुन्हा,নতুন করে
विरुद्ध,বিরুদ্ধে
वय,বয়স
वय प्रमाणपत्र,বয়স শংসাপত্র
मताधिकार वय,ভোটাধিকার জন্য বয়স
वय मर्यादा,বয়স সীমা
एजन्सी,এজেন্সি
अजेंडा,আলোচ্যসূচি
सेवानिवृत्तीचे वय,অবসর বয়স
अधोरेखित वय,তদারকির বয়স
एकत्रिकरण,সমষ্টি
संताप,আক্রান্ত
आंदोलन,আন্দোলন
एजीएम,এজিএম
करार,চুক্তি
करार फॉर्म,চুক্তি ফর্ম
शेती,কৃষি
कृषी-उद्योग,শস্য উৎপাদন কেন্দ্র
मदत,সাহায্য
गजर,অ্যালার্ম
सतर्कता,সতর্কতা
उर्फ,ওরফে
आरोप,অভিযোগ
निष्ठा,আনুগত্য
युती,জোট
संबद्ध सेवा,মিত্র পরিষেবা
सर्व समावेशक किंमत,সমস্ত অন্তর্ভুক্ত ব্যয়
अखिल भारतीय सेवा,সমস্ত ভারত পরিষেবা
वाटप,বরাদ্দ
वाटप,বরাদ্দ
वाटप पत्र,বরাদ্দ চিঠি
अ‍ॅलोटी,বরাদ্দ
परवानगीयोग्य,অনুমোদিত
अनुमत खर्च,অনুমোদিত ব্যয়
अपीलला परवानगी द्या,একটি আপিলের অনুমতি দিন
भत्ता,ভাতা
सर्व हक्क राखीव,সমস্ত অধিকার সংরক্ষিত
वर्णमाला क्रम,বর্ণমালা অর্ডার
भांडण,বিক্ষোভ
वैकल्पिक,বিকল্প
पर्यायी,বিকল্প
एकत्रिकरण,সংমিশ্রণ
सुधारित मसुदा,সংশোধিত খসড়া
दुरुस्ती,সংশোধন
सुविधा,সুযোগ
मैत्रीपूर्ण,মায়াময়
दारूगोळा,গোলাবারুদ
कर्जाचे or न्टायझेशन,Debt ণের or ণদান
रक्कम,পরিমাণ
पेन्शनची रक्कम,পেনশন পরিমাণ
समान पोस्ट,সাদৃশ্য পোস্ট
विश्लेषण,বিশ্লেষণ
विश्लेषणात्मक अभ्यास,বিশ্লেষণাত্মক অধ্যয়ন
पूर्वज,পূর্বপুরুষ
सहायक उद्योग,আনুষঙ্গিক শিল্প
वैर,শত্রুতা
जोड,সংযুক্তি
वर्धापनदिन,বার্ষিকী
घोषणा,ঘোষণা
त्रास,বিরক্তি
वार्षिक आर्थिक विधान,বার্ষিক আর্থিক বিবৃতি
वार्षिक अहवाल,বার্ষিক প্রতিবেদন
वार्षिकी,বার্ষিকী
अज्ञात,বেনামে
अज्ञात तक्रार,বেনামে অভিযোগ
उत्तरदायित्व,উত্তরযোগ্যতা
उत्तरपत्रिका,উত্তরপত্র
विरोधी,বিরোধী
पूर्वज,পূর্বসূরি
अपेक्षित खर्च,প্রত্যাশিত ব্যয়
अपेक्षित उत्पन्न,প্রত্যাশিত আয়
अपेक्षा,অগ্রজ্ঞান
