Punjabi,Tamil
ਅਧੂਰਾ ਛੱਡਣਾ,கருக்கலைப்பு
ਅਧੂਰਾ ਛੱਡੋ,டைமரை நிறுத்துங்கள்
निरपेक्ष an s,முழுமையான முகவரி
ਪੂਰਨ ਪਤਾ,முழுமையான முகவரி
ਸੰਪੂਰਨ ਸੰਜਮ,முழுமையான அசெம்பிளர்
ਸੰਪੂਰਨ ਕੋਡ,முழுமையான குறியீடு
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,முழுமையான குறியீட்டு முறை
ਸੰਪੂਰਨ ਕਮਾਂਡ,முழுமையான கட்டளை
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,முழுமையான ஒருங்கிணைப்பு
ਸੰਪੂਰਨ ਡੇਟਾ,முழுமையான தரவு
ਪੂਰੀ ਗਲਤੀ,முழுமையான பிழை
ਪੂਰਨ ਸਮੀਕਰਨ,முழுமையான வெளிப்பாடு
ਪੂਰਨ ਹਦਾਇਤ,முழுமையான அறிவுறுத்தல்
ਸੰਪੂਰਨ ਲੋਡਰ,முழுமையான ஏற்றி
ਸੰਪੂਰਨ ਕ੍ਰਮ,முழுமையான வரிசை
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,முழுமையான நிரலாக்க
ਸੰਪੂਰਨ ਅਵਧੀ,முழுமையான சொல்
ਸਹੀ ਮੁੱਲ,துல்லியமான மதிப்பு
ਸੰਪੂਰਨ ਵੈਕਟਰ,முழுமையான திசையன்
ਸਾਰ,சுருக்கம்
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,சுருக்கம்
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,சுருக்க சின்னம்
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,முடுக்கம் காலம்
ਪ੍ਰਵੇਗ ਟਾਈਮ,முடுக்கம் நேரம்
ਲਹਿਜ਼ਾ,உச்சரிப்பு
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ஏற்பு சோதனை
ਪਹੁੰਚ,அணுகல்
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,அணுகல் கை
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,அணுகல் ஏற்பாடு
ਪਹੁੰਚ ਅਥਾਰਟੀ,அணுகல் அதிகாரம்
ਐਕਸੈਸ ਚਾਰਜ,அணுகல் கட்டணம்
ਐਕਸੈਸ ਕਲਾਸ,அணுகல் வகுப்பு
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,அணுகல் சூழல்
ਐਕਸੈਸ ਪਾੜਾ,அணுகல் இடைவெளி
ਐਕਸੈਸ ਇੰਡੈਕਸ,அணுகல் அட்டவணை
ਐਕਸੈਸ ਲਾਈਨ,அணுகல் வரி
ਐਕਸੈਸ ਵਿਧੀ,அணுகல் பொறிமுறை
ਐਕਸੈਸ ਵਿਧੀ,அணுகல் முறை
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,அணுகல் முறை வழக்கமான
ਐਕਸੈਸ ਮੋਡ,அணுகல் பயன்முறை
ਸਹੀ ਪਹੁੰਚ,அணுகல் உரிமை
ਐਕਸੈਸ ਸਕੈਨ,அணுகல் ஸ்கேன்
ਐਕਸੈਸ ਟਾਈਮ,அணுகல் நேரம்
ਲੇਖਾ,கணக்கியல்
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,கணக்கியல் நிதி அமைப்பு
ਲੇਖਾ ਮਸ਼ੀਨ,கணக்கியல் இயந்திரம்
ਅਕਾਊਂਟ ਨੰਬਰ,கணக்கு எண்
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,திரட்டுதல் இனப்பெருக்கம்
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,குவிப்பான்
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,குவிப்பான் பதிவு
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,திரட்டல் ஷிப்ட் வழிமுறை
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,துல்லியம் கட்டுப்பாட்டு தன்மை
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,துல்லியம் கட்டுப்பாட்டு அமைப்பு
ਏਸ ਪਾਇਲਟ,ஏஸ் பைலட்
ਅੱਖਰ ਮੰਨੋ,தன்மையை ஒப்புக் கொள்ளுங்கள்
ਧੁਨੀ ਕਥਾ,ஒலி கப்ளர்
ਧੁਨੀ,ஒலி இணைப்பு
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,ஒலி தாமத வரி
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,ஒலி நினைவகம்
ਧੁਨੀ ਮਾਡਮ,ஒலி மோடம்
