Hindi,Tamil
आबेली समूह,அபெலியன் குழு
आबेली सामिसमूह,அபிலியன் அரைகுழு
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",அறுதி
निरपेक्ष अभिसरण,முழுமையான ஒருங்கிணைப்பு
निरपेक्ष त्रुटि,முழுமையான பிழை
परम उच्चिष्ठ,முழுமையான அதிகபட்சம்
परम निम्निष्ठ,முழுமையான குறைந்தபட்சம்
निरपेक्ष मान,துல்லியமான மதிப்பு
निरपेक्ष वेग,முழுமையான வேகம்
अमूर्त बीजगणित,சுருக்க இயற்கணிதம்
अमूर्त समूह सिद्‌धांत,சுருக்க குழு கோட்பாடு
त्वरण,முடுக்கம்
गुरुत्वीय त्वरण,புவியீர்ப்பு காரணமாக முடுக்கம்
स्वीकार्य वरण-समुच्चय,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
स्वीकार्य गुणता स्तर,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
स्वीकार्य परिसर,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
मान्य विश्वसनीयता स्तर,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
स्वीकरण-प्रतिचयन,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
संचित त्रुटि,திரட்டப்பட்ட பிழை
यथार्थता,துல்லியம்
लगा हुआ बल,செயல்படும் சக்தி
" क्रिया , कर्म",நடவடிக்கை
क्रिया और प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
बीमा विज्ञान,உண்மையான அறிவியல்
न्यूनकोण त्रिभुज,கடுமையான கோண முக்கோணம்
अचक्रीय,அசைக்ளிக்
"योग करना, जोड़ना",கூட்டு
योजक,சேர்ப்பான்
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",கூடுதலாக
योग का सूत्र,கூட்டல் சூத்திரம்
सम्मिश्र संख्याओं का योग,சிக்கலான எண்களைச் சேர்த்தல்
फलनों का योग,செயல்பாடுகளைச் சேர்த்தல்
आव्यूहों का योग,மெட்ரிக்குகள் சேர்த்தல்
बहुपदों का योग,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
प्रायिकताओं का योग,நிகழ்தகவுகளைச் சேர்த்தல்
सदिशों का योग,திசையன்கள் சேர்த்தல்
"योग प्रमेय बेरीज सिद्‌धांत,",கூட்டல் தேற்றம்
योज्य समूह,சேர்க்கை குழு
योज्य व्युत्क्रम,தலைகீழ் சேர்க்கை
"योज्यता, योगशीलता",சேர்க்கை சொத்து
योज्यता,சேர்க்கை
आसन्नता आव्यूह,அருகாமை அணி
" संलग्न, निकटवर्ती , आसन्न",அருகில்
आसन्न कोण,அருகில் உள்ள கோணங்கள்
आसन्न शीर्ष,அருகில் உள்ள உச்சி
सहबद्‌ध करना,இணை
"संलग्न संलग्नीत,",அருகில்
सहखंडज सारणिक,இணைந்த தீர்மானிப்பான்
संलग्न अवकल समीकरण,இணை வேறுபாடு சமன்பாடு
संलग्न समीकरण,இணைந்த சமன்பாடு
सहखंडज आव्यूह,இணை அணி
आव्यूह सहखंडज,மேட்ரிக்ஸின் இணைப்பு
सहखंडज आव्यूह,adjugate matrix
ग्राह्य निर्णय फलन,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
ग्राह्य परिकल्पना,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
वायुगतिक बल,காற்றியக்க விசை
