Malayalam,Marathi
ആസിഡോയിഡ്,ऍसिडॉइड
അയോലിയൻ മണ്ണ്,एओलियन माती
ആകെത്തുകയായുള്ള,एकूण
സമാഹരണം,एकत्रीकरण
അഗ്രോളജി,कृषीशास्त्र
അഗ്രോണമി,कृषीशास्त्र
എ-ചക്രവാളം,A-क्षितिज
Ao-ചക്രവാളം,Ao-क्षितिज
Aoo-ചക്രവാളം,Aoo-क्षितिज
മണ്ണിന്റെ വായു ശേഷി,मातीची हवेची क्षमता
മണ്ണിന്റെ വായു ഉള്ളടക്കം,मातीतील हवेचे प्रमाण
എയർ പിക്നോമീറ്റർ,एअर पिकनोमीटर
അല്ലിറ്റിക് മണ്ണ്,ऍलिटिक माती
എക്കൽ മണ്ണ്,गाळाची माती
ആംഫോളിറ്റോയ്ഡ്,अॅम्फोलायटॉइड
അനിയോൺ,आयन
"പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
ആരിസ്,ऍरिस
അഷ്ലാർ നല്ല കൊത്തുപണി,Ashlar दंड दगडी बांधकाम
ആഷ്ലാർ കൊത്തുപണി,Ashlar दगडी बांधकाम
അസോണൽ മണ്ണ്,अझोनल माती
പിന്നണി നടൻ,मागचा अभिनेता
പിന്നിലെ കമാനം,मागची कमान
ബാക്ക് ബാൻഡ്,बॅक बँड
ബാക്ക് ബ്രഷ്,मागे ब्रश
തിരികെ പരിശോധിക്കുക,परत तपासणी
ബാക്ക് കൗണ്ടർ,मागे काउंटर
ബാക്ക് കട്ടിംഗ്,परत कटिंग
ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ,बॅक ड्राफ्ट डँपर
ബാക്ക് ഡ്രെയിനേജ്,मागे निचरा
ബാക്ക് ഡ്രോപ്പ്,बॅक ड्रॉप
തിരികെ പൂരിപ്പിക്കുക,परत भरा
ബാക്ക് ഫില്ലറ്റ്,बॅक फिलेट
ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്,बॅक फ्लॅप बिजागर
ബാക്ക് ഫ്ലോ കണക്ഷൻ,परत प्रवाह कनेक्शन
ബാക്ക് ഫ്ലോ പ്രിവന്റർ,परत प्रवाह प्रतिबंधक
ബാക്ക് ഗേജ്,बॅक गेज
പിന്നിലെ ഗട്ടർ,मागे गटार
പിന്നിലെ അടുപ്പ്,मागे चूल
പിന്തുണ,पाठीराखा
ബാക്കിംഗ് ബോർഡ്,बॅकिंग बोर्ड
പിന്നിലെ മർദ്ദം,पाठीचा दाब
ബാക്ക് പ്രോപ്പ്,बॅक प्रोप
പിന്നാമ്പുറ കാഴ്ച,मागची दृष्टी
പിൻ വെള്ളം,परत पाणी
തടസ്സപ്പെടുത്തുക,गोंधळ
ബാഗ് വർക്ക്,बॅगवर्क
ബാലസ്റ്റ്,गिट्टी
പന്ത് കളിമണ്ണ്,बॉल क्ले
ബോൾ കോൺ ക്ലാമ്പ്,बॉल कोन क्लॅम्प
മുള്ളുകമ്പി,काटेरी तार
ബാർ നായ,बार कुत्रा
ബാർജ് ബോർഡ്,बार्ज बोर्ड
ബേരിയം സൾഫേറ്റ് പരിശോധന,बेरियम सल्फेट चाचणी
തടയണ,बॅरेज
ബാരറ്റ്,बॅरेट
അടിസ്ഥാനം,पाया
അടിസ്ഥാന കൈമാറ്റം,बेस एक्सचेंज
അടിസ്ഥാന ലൈൻ,बेस लाइन
നിലവറ,तळघर
ബേസ്മെൻറ് മതിൽ,तळघर भिंत
അടിസ്ഥാന പ്ലേറ്റ്,तळपट्टी
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന","बेस प्लेट, समायोज्य"
