Hindi,English
रुद्ध-वृद्धि अंग,Aborted organ
रुद्ध वृद्धि बीज,Aborted seed
"गर्भपात, गर्भस्राव, वृद्धि विरोध",Abortion
"अवांछित अपतृण, पूर्ण खरपतवार",Absolute weed
अवशोषित धनायन,Absorbed cation
अवशोषण,Absorption
ऐबिसिनी सरसों,Abyssinian mustard
"एकेरेसनाशी, चिचड़ीनाशी",Acaricide
अकेंद्री,Accentric
प्रवर्धन (कोशिका),Accentuate (cell)
स्वीकृत सहायता,Accepted tolerance
"अतिरिक्त, सहायक, गौण",Accessory
पर्यनुकूलन,Acclimatization
संचय,Accumulation
"यथार्थता, परिशुद्धता",Accuracy
"एसर्वुलस, बीजाणुपात्र",Acervulus
"ऐसीटीकरण, सिरका बनाना",Acetification
"अम्लीकरण, अम्लन",Acidification
"अम्लतामापी, एसिडीमीटर",Acidimeter
अम्लता,Acidity
अम्लरागी,Acidophilic
अम्लीकृत रॉक फॉस्फेट,Acidulated rock phosphate
अम्लसह,Aciduric
जलभृत,Aquifer
अधिग्रहण,Acquisition
एकड़,Acre
"क्षेत्रफल, रकबा",Acreage
उपांत बिंदु क्रोमोसोम,Acrocentric chromosome
अग्राभिसारी,Acropetal
ऐक्रोसोम,Acrosome
एक्टिनोमाइसिटीज,Actinomycetes
सक्रिय मूलक्षेत्र,Active root zone
"उग्र, तीव्र",Acute
अनुकूलनशीलता,Adaptability
अनुकूलन,Adaptation
"आसंजन, अभिलाग, बन्ध",Adhesion
वसामय,Adipose
समायोजन समीकरण,Adjustment equation
ऐडोब मृदा,Adobe soil
अपमिश्रक,Adulterant
अपस्थानिक,Adventitious
"एसीडियोस्पोर, एसीडियम बीजाणु",Aecidiospore
वातोढ़ प्रक्रिया,Aeolian process
वातोढ़,Aeolian
वातन करना,Aerate
"वायव, आकाशी",Aerial
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",Aerometer
ऐरोसॉल,Aerosol
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",Aestivation
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",Aetiology (etiology)
वनरोपण,Afforestation
"विलोडन, प्रक्षोभन",Agitation
"ऐगमार्क, कृष्यंक",Agmark
"भूमी संबंधी, कृषि संबंधी",Agrarian
कृषि निदानालय,Agricultural clinic
"कृषि श्रम, खेतिहर मजदूर",Agricultural labour
कृषि विपणन,Agricultural marketing
