English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abaxial surface,अपाक्ष पृष्ठ,અપાક્ષ પૃષ્ઠ,अपाक्ष पृष्ठ,ਅਪਾਕ੍਷ ਪ੃਷੍ਠ,অপাক্ষ পৃষ্ঠ,अपाक्ष पृष्ठ,ಅಪಾಕ್ಷ ಪೃಷ್ಠ,അപാക്ഷ പൃഷ്ഠ,அபாக்ஷ ப்ருஷ்ட,అపాక్ష పృష్ఠ,اپاکش پرشٹھ,অপাক্ষ পৃষ্ঠ,ଅପାକ୍ଷ ପୃଷ୍ଠ,अपाक्ष पृष्ठ
Abdomen,उदर,ઉદર,उदर,"ਢਿੱਡ , ਪੇਟ",উদর,उदर,"ಉದರ, ಹೊಟ್ಟೆ",കുക്ഷി,உதர,ఉదర,ادر,উদর,ଉଦର,उदर
Abdominal aorta,उदर महाधमनी,ઉદર મહાધમની,उदर महाधमनी,ਉਦਰ ਮਹਾਧਮਨੀ,উদর মহাধমনী,उदर महाधमनी,ಉದರ ಮಹಾಧಮನೀ,ഉദര മഹാധമനീ,உதர மஹாதமநீ,ఉదర మహాధమనీ,ادر مہادھمنی,উদর মহাধমনী,ଉଦର ମହାଧମନୀ,उदर महाधमनी
Abdominal ganglia,उदर गुच्छिका,ઉદર ગુચ્છિકા,उदर गुच्छिका,ਉਦਰ ਗੁਚ੍ਛਿਕਾ,উদর গুচ্ছিকা,उदर गुच्छिका,ಉದರ ಗುಚ್ಛಿಕಾ,ഉദര ഗുച്ഛികാ,உதர குச்சிகா,ఉదర గుచ్ఛికా,ادر گچھکا,উদর গুচ্ছিকা,ଉଦର ଗୁଚ୍ଛିକା,उदर गुच्छिका
Abelmoschus esculentus,अबेलमॉस्कस एस्कुलेन्टस,અબેલમૉસ્કસ એસ્કુલેન્ટસ,अबेलमॉस्कस एस्कुलेन्टस,ਅਬੇਲਮ੉ਸ੍ਕਸ ਏਸ੍ਕੁਲੇਨ੍ਟਸ,অবেলমৌস্কস এস্কুলেন্টস,अबेलमॉस्कस एस्कुलेन्टस,ಅಬೇಲಮೌಸ್ಕಸ ಏಸ್ಕುಲೇನ್ಟಸ,അബേലമൌസ്കസ ഏസ്കുലേന്ടസ,அபேலமௌஸ்கஸ ஏஸ்குலேந்டஸ,అబేలమౌస్కస ఏస్కులేన్టస,ابیلماسکس ایسکولینٹس,অবলমস্কস স্কুলন্টস,ଅବେଲମୌସ୍କସ ଏସ୍କୁଲେନ୍ଟସ,अबेलमॉस्कस एस्कुलेन्टस
Aberration,विपथन,વિપથન,विपथन,ਰਾਹ ਭਟਕਣ ਜਾਂ ਮਾਰਗ ਭਿਰਸ਼ਟਤਾ,বিপথন,विपथन,"ವಿಪಥನ, ಭ್ರಂಶ",വിപഥന,விபதந,విపథన,فتور,িপথন,ବିପଥନ,विपथन
Abies,ऐबीज (बलूत),ઐબીજ (બલૂત),ऐबीज (बलूत),ਐਬੀਜ (ਬਲੂਤ),ঐবীজ (বলূত),ऐबीज (बलूत),ಐಬೀಜ (ಬಲೂತ),ഐബീജ (ബലൂത),ஐபீஜ (பலூத),ఐబీజ (బలూత),ایبیج (بلوت),ঐবীজ (বলূত),ଐବୀଜ (ବଲୂତ),ऐबीज (बलूत)
Abingdon tortoise,ऐबिंग्डन कछुआ,ઐબિંગ્ડન કછુઆ,ऐबिंग्डन कछुआ,ਐਬਿਂਗ੍ਡਨ ਕਛੁਆ,ঐবিংগ্ডন কছুআ,ऐबिंग्डन कछुआ,ಐಬಿಂಗ್ಡನ ಕಛುಆ,ഐബിംഗ്ഡന കഛുആ,ஐபிங்க்டந கசுஆ,ఐబింగ్డన కఛుఆ,ایبنگڈن کچھوا,ঐবিংগ্ডন কছুআ,ଐବିଂଗ୍ଡନ କଛୁଆ,ऐबिंग्डन कछुआ
Abiogenesis,अजीवात्जनन,અજીવાત્જનન,अजीवात्जनन,ਅਜੀਵਾਤ੍ਜਨਨ,অজীবাত্জনন,अजीवात्जनन,"ಅಜೈವಿಕ ಜನನ, ಅಜೀವ ಜನ್ಯತೆ, ಅಜೀವೋತ್ಪತ್ತಿ",അജീവാത്ജനന,அஜீவாத்ஜநந,అజీవాత్జనన,اجیواتجنن,অজীাত্জনন,"ଅଜୀବୀୟ ଜନନ, ଅଜୀବ - ଜନନ",अजीवात्जनन
Abiotic,अजीवीय,અજીવીય,अजीवीय,ਅਜੀਵੀਯ,অজীবীয,अजीवीय,"ಅಜೈವಿಕ, ಅಜೈವ",അജീവീയ,அஜீவீய,అజీవీయ,اجیویہ,অজীীয,"ଅଜୀବୀୟ, ଅଜୈବ",अजीवीय
Abiotic factor,"अजीवीय कारक, अजैव कारक","અજીવીય કારક, અજૈવ કારક","अजीवीय कारक, अजैव कारक","ਅਜੀਵੀਯ ਕਾਰਕ, ਅਜੈਵ ਕਾਰਕ","অজীবীয কারক, অজৈব কারক","अजीवीय कारक, अजैव कारक",ನಿರ್ಜೀವಾಂಶ,"അജീവീയ കാരക, അജൈവ കാരക","அஜீவீய காரக, அஜைவ காரக","అజీవీయ కారక, అజైవ కారక",اجیویہ کارک، اجیو کارک,"অজীীয কারক, অজৈ কারক","ଅଜୀବୀଯ କାରକ, ଅଜୈବ କାରକ","अजीवीय कारक, अजैव कारक"
Abnormal urine,अपसामानय मूत्र,અપસામાનય મૂત્ર,अपसामानय मूत्र,ਅਪਸਾਮਾਨਯ ਮੂਤ੍ਰ,অপসামানয মূত্র,अपसामानय मूत्र,ಅಪಸಾಮಾನಯ ಮೂತ್ರ,അപസാമാനയ മൂത്ര,அபஸாமாநய மூத்ர,అపసామానయ మూత్ర,اپسامانیہ موتر,অপসামানয মূত্র,ଅପସାମାନଯ ମୂତ୍ର,अपसामानय मूत्र
ABO blood group,ए.बी.ओ. रुधिर वर्ग,એ.બી.ઓ. રુધિર વર્ગ,ए.बी.ओ. रुधिर वर्ग,ਏ.ਬੀ.ਓ. ਰੁਧਿਰ ਵਰ੍ਗ,এ.বী.ও. রুধির বর্গ,ए.बी.ओ. रुधिर वर्ग,ಏ.ಬೀ.ಓ. ರುಧಿರ ವರ್ಗ,ഏ.ബീ.ഓ. രുധിര വര്ഗ,ஏ.பீ.ஓ. ருதிர வர்க,ఏ.బీ.ఓ. రుధిర వర్గ,ای۔بی۔او۔ ردھر ورگ,.বী.. রুধির র্গ,ଏ.ବୀ.ଓ. ରୁଧିର ବର୍ଗ,ए.बी.ओ. रुधिर वर्ग
Abscisic acid,एब्सिसिक अम्ल,એબ્સિસિક અમ્લ,एब्सिसिक अम्ल,ਏਬ੍ਸਿਸਿਕ ਅਮ੍ਲ,এব্সিসিক অম্ল,एब्सिसिक अम्ल,ಏಬ್ಸಿಸಿಕ ಅಮ್ಲ,ഏബ്സിസിക അമ്ല,ஏப்ஸிஸிக அம்ல,ఏబ్సిసిక అమ్ల,ایبسسک عمل,ব্সিসিক অম্ল,ଏବ୍ସିସିକ ଅମ୍ଲ,एब्सिसिक अम्ल
Abscission,विलगन,વિલગન,विलगन,ਵਿਲਗਨ,বিলগন,विलगन,ಅಪಛೇದನ,വിലഗന,விலகந,విలగన,لگن,িলগন,ବିଲଗନ,विलगन
Absorb,अवशोषण करना,અવશોષણ કરના,अवशोषण करना,"ਰਚਾ ਲੈਣ , ਚੂਸਣਾ ,ਮਗਨ ਹੋਣਾ, ਕਿਸੇ ਕੰਮ ਵਿੱਚ ਲੱਗਣਾ",অবশোষণ করনা,अवशोषण करना,ಹೀರು ಅಪಕರ್ಷಿಸು,അവശോഷണ കരനാ,அவசோஷண கரநா,అవశోషణ కరనా,جذب کرنا,অশষণ করনা,ଅବଶୋଷଣ କରନା,अवशोषण करना
Absorption peak,अवशोषण शिखर,અવશોષણ શિખર,अवशोषण शिखर,ਅਵਸ਼ੋ਷ਣ ਸ਼ਿਖਰ,অবশোষণ শিখর,अवशोषण शिखर,ಅವಶೋಷಣ ಶಿಖರ,അവശോഷണ ശിഖര,அவசோஷண சிகர,అవశోషణ శిఖర,اوشوشن شکھر,অশষণ শিখর,ଅବଶୋଷଣ ଶିଖର,अवशोषण शिखर
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Acacia catechu,अकेशिया कैटेच्यू,અકેશિયા કૈટેચ્યૂ,अकेशिया कैटेच्यू,ਅਕੇਸ਼ਿਯਾ ਕੈਟੇਚ੍ਯੂ,অকেশিযা কৈটেচ্যূ,अकेशिया कैटेच्यू,ಅಕೇಶಿಯಾ ಕೈಟೇಚ್ಯೂ,അകേശിയാ കൈടേച്യൂ,அகேசியா கைடேச்யூ,అకేశియా కైటేచ్యూ,اکیشیا کیٹیچیو,অকশিযা কৈটচ্যূ,ଅକେଶିଯା କୈଟେଚ୍ଯୂ,अकेशिया कैटेच्यू
Acaria arabica,अकेशिया अरेबिका (बबूल),અકેશિયા અરેબિકા (બબૂલ),अकेशिया अरेबिका (बबूल),ਅਕੇਸ਼ਿਯਾ ਅਰੇਬਿਕਾ (ਬਬੂਲ),অকেশিযা অরেবিকা (ববূল),अकेशिया अरेबिका (बबूल),ಅಕೇಶಿಯಾ ಅರೇಬಿಕಾ (ಬಬೂಲ),അകേശിയാ അരേബികാ (ബബൂല),அகேசியா அரேபிகா (பபூல),అకేశియా అరేబికా (బబూల),اکیشیا اریبکا (ببول),অকশিযা অরবিকা (ববূল),ଅକେଶିଯା ଅରେବିକା (ବବୂଲ),अकेशिया अरेबिका (बबूल)
Acaprin,ऐकैप्रिन,ઐકૈપ્રિન,ऐकैप्रिन,ਐਕੈਪ੍ਰਿਨ,ঐকৈপ্রিন,ऐकैप्रिन,ಐಕೈಪ್ರಿನ,ഐകൈപ്രിന,ஐகைப்ரிந,ఐకైప్రిన,ایکیپرن,ঐকৈপ্রিন,ଐକୈପ୍ରିନ,ऐकैप्रिन
Acceptable sexual behaviour,स्वीकार्य लैंगिक व्यवहार,સ્વીકાર્ય લૈંગિક વ્યવહાર,स्वीकार्य लैंगिक व्यवहार,ਸ੍ਵੀਕਾਰ੍ਯ ਲੈਂਗਿਕ ਵ੍ਯਵਹਾਰ,স্বীকার্য লৈংগিক ব্যবহার,स्वीकार्य लैंगिक व्यवहार,ಸ್ವೀಕಾರ್ಯ ಲೈಂಗಿಕ ವ್ಯವಹಾರ,സ്വീകാര്യ ലൈംഗിക വ്യവഹാര,ஸ்வீகார்ய லைங்கிக வ்யவஹார,స్వీకార్య లైంగిక వ్యవహార,سویکاریہ لینگک ویوہار,স্ীকার্য লৈংগিক ্যহার,ସ୍ବୀକାର୍ଯ ଲୈଂଗିକ ବ୍ଯବହାର,स्वीकार्य लैंगिक व्यवहार
Accessory gland,सहायक ग्रंथि,સહાયક ગ્રંથિ,सहायक ग्रंथि,ਸਹਾਯਕ ਗ੍ਰਂਥਿ,সহাযক গ্রংথি,सहायक ग्रंथि,ಆನುಷಂಗಿಕ ಗ್ರಂಥಿ,സഹായക ഗ്രംഥി,ஸஹாயக க்ரங்தி,సహాయక గ్రంథి,سہایک گرنتھی,সহাযক গ্রংথি,ସହାୟକ ଗ୍ରନ୍ଥୀ,सहायक ग्रंथि
Accessory gland,अतिरिक्त ग्रंथि,અતિરિક્ત ગ્રંથિ,अतिरिक्त ग्रंथि,ਅਤਿਰਿਕ੍ਤ ਗ੍ਰਂਥਿ,অতিরিক্ত গ্রংথি,अतिरिक्त ग्रंथि,ಆನುಷಂಗಿಕ ಗ್ರಂಥಿ,അതിരിക്ത ഗ്രംഥി,அதிரிக்த க்ரங்தி,అతిరిక్త గ్రంథి,اترکت گرنتھی,অতিরিক্ত গ্রংথি,ସହାୟକ ଗ୍ରନ୍ଥୀ,अतिरिक्त ग्रंथि
Accessory organ,सहायक अंग,સહાયક અંગ,सहायक अंग,ਸਹਾਯਕ ਅਂਗ,সহাযক অংগ,सहायक अंग,ಸಹಾಯಕ ಅಂಗ,സഹായക അംഗ,ஸஹாயக அங்க,సహాయక అంగ,سہایک انگ,সহাযক অংগ,ସହାୟକ ଅଙ୍ଗ,सहायक अंग
Acclimatization,"पर्यनुकूलन, दशानुकूलन","આબોહવા-અનુકૂલન, પરિસ્થિતિ-અનુકૂલન","वातावरणात रुळवणे, वातावरणात रुळणे",ਵਾਤਾਵਰਨ ਅਨੁਸਾਰੀ,পরিবেশানুকূল,वातावरणाची संवकळ,"ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ, ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ, ಒಗ್ಗಣೆ, ಒಗ್ಗಿಕೆ","പദ്യനുകൂലനം, കാലാവസ്ഥയുമായി പൊരുത്തപ്പെടുക","நிலையொத்துப்போதல், இணக்கப்பாடு",వాతావరణాను కూలం చేయు,آب و ہواسے خو گری,"অভ্যস্তকৰণ, সহ্যকৰিবপৰাকৰণ","ଅବସ୍ଥାନୁକୂଳନ, ଭିନ୍ନ ଜଳବାୟୁରେ ଅଭ୍ୟସ୍ତ ହେବା","मौसमानुकूलन, हावापानीमा मिल्नु"
Acclimatize,"पर्यनुकूलित करना, दशानुकूलित करना","પર્યનુકૂલિત કરના, દશાનુકૂલિત કરના","पर्यनुकूलित करना, दशानुकूलित करना","ਪਰ੍ਯਨੁਕੂਲਿਤ ਕਰਨਾ, ਦਸ਼ਾਨੁਕੂਲਿਤ ਕਰਨਾ","পর্যনুকূলিত করনা, দশানুকূলিত করনা","पर्यनुकूलित करना, दशानुकूलित करना","ಪರ್ಯನುಕೂಲಿತ ಕರನಾ, ದಶಾನುಕೂಲಿತ ಕರನಾ","പര്യനുകൂലിത കരനാ, ദശാനുകൂലിത കരനാ","பர்யநுகூலித கரநா, தசாநுகூலித கரநா","పర్యనుకూలిత కరనా, దశానుకూలిత కరనా",پرینکولت کرنا، دشانکولت کرنا,"পর্যনুকূলিত করনা, দশানুকূলিত করনা","ପର୍ଯନୁକୂଲିତ କରନା, ଦଶାନୁକୂଲିତ କରନା","पर्यनुकूलित करना, दशानुकूलित करना"
Accommodation (focusing),समंजन (फोकसन),સમંજન (ફોકસન),समंजन (फोकसन),ਸਮਂਜਨ (ਫੋਕਸਨ),সমংজন (ফোকসন),समंजन (फोकसन),ಸಮಂಜನ (ಫೋಕಸನ),സമംജന (ഫോകസന),ஸமங்ஜந (போகஸந),సమంజన (ఫోకసన),سمنجن (فوکسن),সমংজন (ফকসন),ସମଂଜନ (ଫୋକସନ),समंजन (फोकसन)
Accommodation of eye,नेत्र की समंजन क्षमता,નેત્ર કી સમંજન ક્ષમતા,नेत्र की समंजन क्षमता,ਨੇਤ੍ਰ ਕੀ ਸਮਂਜਨ ਕ੍਷ਮਤਾ,নেত্র কী সমংজন ক্ষমতা,नेत्र की समंजन क्षमता,ನೇತ್ರ ಕೀ ಸಮಂಜನ ಕ್ಷಮತಾ,നേത്ര കീ സമംജന ക്ഷമതാ,நேத்ர கீ ஸமங்ஜந க்ஷமதா,నేత్ర కీ సమంజన క్షమతా,نیتر کی سمنجن شمتا,নত্র কী সমংজন ক্ষমতা,ଚକ୍ଷୁ ସମଞ୍ଜନ କ୍ଷମତା,नेत्र की समंजन क्षमता
Accretionary growth,अभिवर्धी वृद्धि,અભિવર્ધી વૃદ્ધિ,अभिवर्धी वृद्धि,ਅਭਿਵਰ੍ਧੀ ਵ੃ਦ੍ਧਿ,অভিবর্ধী বৃদ্ধি,अभिवर्धी वृद्धि,ಅಭಿವರ್ಧೀ ವೃದ್ಧಿ,അഭിവര്ധീ വൃദ്ധി,அபிவர்தீ வ்ருத்தி,అభివర్ధీ వృద్ధి,ابھوردھی وردھی,অভির্ধী ৃদ্ধি,ଅଭିବର୍ଧୀ ବୃଦ୍ଧି,अभिवर्धी वृद्धि
Accumulation,"संचय, संचयन","સંચય, સંગ્રહ","संचय, संचयन, साचणे","ਸੰਚਯ, ਸੰਚਿਤ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","পুঞ্জীকরণ,জড়োকরা","साठो,संचय","ಸಂಗ್ರಹ, ಶೇಖರಣೆ, ಕೂಡಿಹಾಕುವಿಕೆ","സഞ്ചയനം, ശേഖരം","குவிதல், சேர்தல்","పోగు,పెంపు,వృద్ధి,రాశి",تجمع۔ انبوہ,"পুঞ্জীকৰণ, সঞ্চয়ণ","ଠୁଳୀକୀରଣ, ସଞ୍ଚୟ","सञ्चय,थुपार्नु अचूक"
Accumulation of organic matter,कार्बनिक पदार्थों का एकत्रीकरण,કાર્બનિક પદાર્થોં કા એકત્રીકરણ,कार्बनिक पदार्थों का एकत्रीकरण,ਕਾਰ੍ਬਨਿਕ ਪਦਾਰ੍ਥੋਂ ਕਾ ਏਕਤ੍ਰੀਕਰਣ,কার্বনিক পদার্থোং কা একত্রীকরণ,कार्बनिक पदार्थों का एकत्रीकरण,ಕಾರ್ಬನಿಕ ಪದಾರ್ಥೋಂ ಕಾ ಏಕತ್ರೀಕರಣ,കാര്ബനിക പദാര്ഥോം കാ ഏകത്രീകരണ,கார்பநிக பதார்தோங் கா ஏகத்ரீகரண,కార్బనిక పదార్థోం కా ఏకత్రీకరణ,کاربنک پدارتھوں کا ایکتریکرن,কার্বনিক পদার্থং কা কত্রীকরণ,କାର୍ବନିକ ପଦାର୍ଥୋଂ କା ଏକତ୍ରୀକରଣ,कार्बनिक पदार्थों का एकत्रीकरण
Accumulation of soil,मृदा संचयन,મૃદા સંચયન,मृदा संचयन,ਮ੃ਦਾ ਸਂਚਯਨ,মৃদা সংচযন,मृदा संचयन,ಮೃದಾ ಸಂಚಯನ,മൃദാ സംചയന,ம்ருதா ஸங்சயந,మృదా సంచయన,مردا سنچین,মৃদা সংচযন,ମୃଦା ସଂଚଯନ,मृदा संचयन
Acellular,अकोशिकीय,અકોશિકીય,अकोशिकीय,ਅਕੋਸ਼ਿਕੀਯ,অকোশিকীয,अकोशिकीय,ಅಕೋಶಿಕೀಯ,അകോശികീയ,அகோசிகீய,అకోశికీయ,اکوشکیہ,অকশিকীয,ଅକୋଶିକୀଯ,अकोशिकीय
Acellular organism,अकोशिकीय जीव,અકોશિકીય જીવ,अकोशिकीय जीव,ਅਕੋਸ਼ਿਕੀਯ ਜੀਵ,অকোশিকীয জীব,अकोशिकीय जीव,ಅಕೋಶಿಕೀಯ ಜೀವ,അകോശികീയ ജീവ,அகோசிகீய ஜீவ,అకోశికీయ జీవ,اکوشکیہ جیو,অকশিকীয জী,ଅକୋଷୀୟ ଜୀବ,अकोशिकीय जीव
Acetabulum,"श्रोणिउलूखल, ऐसीटैबुलम","શ્રોણિઉલૂખલ, ઐસીટૈબુલમ","श्रोणिउलूखल, ऐसीटैबुलम","ਸ਼੍ਰੋਣਿਉਲੂਖਲ, ਐਸੀਟੈਬੁਲਮ","শ্রোণিউলূখল, ঐসীটৈবুলম","श्रोणिउलूखल, ऐसीटैबुलम","ಶ್ರೋಣಿಉಲೂಖಲ, ಐಸೀಟೈಬುಲಮ","ശ്രോണിഉലൂഖല, ഐസീടൈബുലമ","ச்ரோணிஉலூகல, ஐஸீடைபுலம","శ్రోణిఉలూఖల, ఐసీటైబులమ",شرونلوکھل، ایسیٹیبلم,"শ্রণিউলূখল, ঐসীটৈবুলম","ଆସିଟାବୁଲମ, ଶ୍ରୋଣୀଉଲୁଖଳ ଚୂଷକ","श्रोणिउलूखल, ऐसीटैबुलम"
Acetaldehyde,ऐसीटेल्डिहाइड,ઐસીટેલ્ડિહાઇડ,ऐसीटेल्डिहाइड,ਐਸੀਟੇਲ੍ਡਿਹਾਇਡ,ঐসীটেল্ডিহাইড,ऐसीटेल्डिहाइड,ಐಸೀಟೇಲ್ಡಿಹಾಇಡ,ഐസീടേല്ഡിഹാഇഡ,ஐஸீடேல்டிஹாஇட,ఐసీటేల్డిహాఇడ,ایسیٹیلڈیہائڈ,ঐসীটল্ডিহাইড,ଐସୀଟେଲ୍ଡିହାଇଡ,ऐसीटेल्डिहाइड
Acetyl coenzyme,ऐसीटिल सह-ऐंजाइम,ઐસીટિલ સહ-ઐંજાઇમ,ऐसीटिल सह-ऐंजाइम,ਐਸੀਟਿਲ ਸਹ-ਐਂਜਾਇਮ,ঐসীটিল সহ-ঐংজাইম,ऐसीटिल सह-ऐंजाइम,ಐಸೀಟಿಲ ಸಹ-ಐಂಜಾಇಮ,ഐസീടില സഹ-ഐംജാഇമ,ஐஸீடில ஸஹ-ஐங்ஜாஇம,ఐసీటిల సహ-ఐంజాఇమ,ایسیٹل سہہ-اینجائم,ঐসীটিল সহ-ঐংজাইম,ଐସୀଟିଲ ସହ-ଐଂଜାଇମ,ऐसीटिल सह-ऐंजाइम
Achatina,ऐकेटाइना,ઐકેટાઇના,ऐकेटाइना,ਐਕੇਟਾਇਨਾ,ঐকেটাইনা,ऐकेटाइना,ಐಕೇಟಾಇನಾ,ഐകേടാഇനാ,ஐகேடாஇநா,ఐకేటాఇనా,ایکیٹائنا,ঐকটাইনা,ଐକେଟାଇନା,ऐकेटाइना
Achene type,ऐकीन प्रकार,ઐકીન પ્રકાર,ऐकीन प्रकार,ਐਕੀਨ ਪ੍ਰਕਾਰ,ঐকীন প্রকার,ऐकीन प्रकार,ಐಕೀನ ಪ್ರಕಾರ,ഐകീന പ്രകാര,ஐகீந ப்ரகார,ఐకీన ప్రకార,ایکین پرکار,ঐকীন প্রকার,ଐକୀନ ପ୍ରକାର,ऐकीन प्रकार
Achene,ऐकीन,ઐકીન,ऐकीन,ਐਕੀਨ,ঐকীন,ऐकीन,ಅಕೀನ್ ಫಲ (ಹಣ್ಣಿನಂತೆ ತೋರುವ ಬೀಜ),ഐകീന,ஐகீந,ఐకీన,ایکین,ঐকীন,ଐକୀନ,ऐकीन
Achlamydosporeae,ऐक्लेमाइडोस्पोरी,ઐક્લેમાઇડોસ્પોરી,ऐक्लेमाइडोस्पोरी,ਐਕ੍ਲੇਮਾਇਡੋਸ੍ਪੋਰੀ,ঐক্লেমাইডোস্পোরী,ऐक्लेमाइडोस्पोरी,ಐಕ್ಲೇಮಾಇಡೋಸ್ಪೋರೀ,ഐക്ലേമാഇഡോസ്പോരീ,ஐக்லேமாஇடோஸ்போரீ,ఐక్లేమాఇడోస్పోరీ,ایکلیمائڈوسپوری,ঐক্লমাইডস্পরী,ଐକ୍ଲେମାଇଡୋସ୍ପୋରୀ,ऐक्लेमाइडोस्पोरी
Acid rain,अम्ल वर्षा,અમ્લ વર્ષા,अम्ल वर्षा,ਅਮ੍ਲ ਵਰ੍਷ਾ,অম্ল বর্ষা,अम्ल वर्षा,"ಆಮ್ಲ ವೃಷ್ಟಿ, ಮಳೆ",അമ്ല വര്ഷാ,அம்ல வர்ஷா,అమ్ల వర్షా,عمل ورشہ,অম্ল র্ষা,ଅମ୍ଲ ବର୍ଷା,अम्ल वर्षा
Acidic,अम्लीय,અમ્લીય,अम्लीय,ਅਮ੍ਲੀਯ,অম্লীয,अम्लीय,ಆಮ್ಲೀಯ,അമ്ലീയ,அம்லீய,అమ్లీయ,املیہ,অম্লীয,ଅମ୍ଲୀଯ,अम्लीय
Acidic gas,अम्लीय गैस,અમ્લીય ગૈસ,अम्लीय गैस,ਅਮ੍ਲੀਯ ਗੈਸ,অম্লীয গৈস,अम्लीय गैस,ಅಮ್ಲೀಯ ಗೈಸ,അമ്ലീയ ഗൈസ,அம்லீய கைஸ,అమ్లీయ గైస,املیہ گیس,অম্লীয গৈস,ଅମ୍ଲୀଯ ଗୈସ,अम्लीय गैस
Acidity,अम्लता,અમ્લતા,अम्लता,ਅਮ੍ਲਤਾ,অম্লতা,अम्लता,ಆಮ್ಲೀಯತೆ,അമ്ലതാ,அம்லதா,అమ్లతా,تیزا بیت,অম্লতা,ଅମ୍ଲତା,अम्लता
Acinar cell,गुच्छकोष्ठक कोशिका,ગુચ્છકોષ્ઠક કોશિકા,गुच्छकोष्ठक कोशिका,ਗੁਚ੍ਛਕੋ਷੍ਠਕ ਕੋਸ਼ਿਕਾ,গুচ্ছকোষ্ঠক কোশিকা,गुच्छकोष्ठक कोशिका,ಗುಚ್ಛಕೋಷ್ಠಕ ಕೋಶಿಕಾ,ഗുച്ഛകോഷ്ഠക കോശികാ,குச்சகோஷ்டக கோசிகா,గుచ్ఛకోష్ఠక కోశికా,گچھکوشٹھک کوشکا,গুচ্ছকষ্ঠক কশিকা,ଗୁଚ୍ଛକୋଷ୍ଠକ କୋଶିକା,गुच्छकोष्ठक कोशिका
Acoelomate,अगुहिक,અગુહિક,अगुहिक,ਅਗੁਹਿਕ,অগুহিক,अगुहिक,ಅಗುಹಿಕ,അഗുഹിക,அகுஹிக,అగుహిక,اگہک,অগুহিক,ଶରୀର - ଗହ୍ଵର ହୀନ,अगुहिक
Aconitum,ऐकोनिटम,ઐકોનિટમ,ऐकोनिटम,ਐਕੋਨਿਟਮ,ঐকোনিটম,ऐकोनिटम,ಐಕೋನಿಟಮ,ഐകോനിടമ,ஐகோநிடம,ఐకోనిటమ,ایکونٹم,ঐকনিটম,ଐକୋନିଟମ,ऐकोनिटम
Acorn worm,"एकॉर्न कृमि, बंजुक कृमि","એકૉર્ન કૃમિ, બંજુક કૃમિ","एकॉर्न कृमि, बंजुक कृमि","ਏਕ੉ਰ੍ਨ ਕ੃ਮਿ, ਬਂਜੁਕ ਕ੃ਮਿ","একৌর্ন কৃমি, বংজুক কৃমি","एकॉर्न कृमि, बंजुक कृमि","ಏಕೌರ್ನ ಕೃಮಿ, ಬಂಜುಕ ಕೃಮಿ","ഏകൌര്ന കൃമി, ബംജുക കൃമി","ஏகௌர்ந க்ருமி, பங்ஜுக க்ருமி","ఏకౌర్న కృమి, బంజుక కృమి",ایکارن کرمی، بنجک کرمی,"কর্ন কৃমি, বংজুক কৃমি","ଏକୌର୍ନ କୃମି, ବଂଜୁକ କୃମି","एकॉर्न कृमि, बंजुक कृमि"
