Kannada,Malayalam
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,നിബാക്സിയൽ ഉപരിതലം
ಹೊಟ್ಟೆ,അടിവയറ്
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,വയറുവേദന അയോട്ടോ
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,വയറിലെ ഗാംഗ്ലിയ
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,Abelmoschus എസ്സുലന്റസ്
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,വെറുക്കല്
ಅಬ್ಬರ,അബി)
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,അബിങ്ഡൺ ആമ
ಕ್ಷು ತನ್ನತೆ,അബിയോജെനിസിസ്
ಅಸಹ್ಯವಾದ,അബിയോട്ടിക്
ಉದಾಸೀಯ ಅಂಶ,അശുഭാപ്തി ഘടകം
ಅಸಹಜ ಮೂತ್ರ,അസാധാരണമായ മൂത്രം
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,അബോ രക്തം ഗ്രൂപ്പ്
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,അബ്സിസിക് ആസിഡ്
ಕಂದಿಸುವುದು,നിര്വഹണം
ಹೀರಿಕೊಳ್ಳಿ,ഉള്ക്കൊള്ളുക
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,ആഗിരണം കൊടുമുടി
ಹೀರುವಿಕೆ,ആഗിരണം
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,അക്കേഷ്യ കാറ്റെച്ചു
ಅಕ್ಯಾಬಿಕಾ,അക്കാര്യ അറബിക്ക
ಅಣಕಾದ,അകാപ്രിൻ
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
ಪರಿಕರ ಗ್ರಂಥಿ,ആക്സസറി ഗ്രന്ഥി
ಪರಿಕರ ಗ್ರಂಥಿ,ആക്സസറി ഗ്രന്ഥി
ಪರಿಕರ ಅಂಗ,ആക്സസറി അവയവം
