Assamese,Bengali
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,A B শ্রেণীর পরিবর্ধক
বিচ্যুতি,বিকৃতি
অস্বাভাৱিক সংক্ৰমণ,অস্বাভাবিক সংক্রমণ
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
অনুপস্থিত বৰ্ণালী,অনুপস্থিত বর্ণালী
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","পরম, পরম, ধ্রুবক, নিখুঁত"
নিৰপেক্ষ আৰ্দ্ৰতা,পরম আর্দ্রতা
নিৰপেক্ষ গতি,পরম গতি
নিৰপেক্ষ পৰ্যবেক্ষণ,পরম পর্যবেক্ষণ
নিৰপেক্ষ উষ্ণতা,পরম তাপমাত্রা
নিৰপেক্ষ শূন্য,পরম শূন্য
শুহি লোৱা,শোষণ করা
"শোষক, শোষক","শোষক, শোষক"
শোষণ ক্ষমতা,শোষণ ক্ষমতা
শোষণ ক্ষমতা,শোষণ
শোষক,শোষক
শোষণ ক্ষমতা,শোষণ
বহুগুণতা অনুপাত,বহুগুণ অনুপাত
ত্বৰান্বিত কৰক,ত্বরান্বিত করা
খৰধৰকৈ উঠিল,তাড়াতাড়ি
বেগ বৃদ্ধি,ত্বরণ
মাধ্যাকৰ্ষণৰ ত্বৰণ,অভিকর্ষের ত্বরণ
ত্বৰণকাৰী,এক্সিলারেটর
ত্বৰণকাৰী,এক্সিলারেটর
এক্সিলেৰমিটাৰ,অ্যাক্সিলোমিটার
প্ৰিষ্ট্ৰেছাৰ,prestresser
গ্ৰহণযোগ্য পৰীক্ষা,গ্রহণযোগ্য পরীক্ষা
গ্ৰহণকাৰী,গ্রহণকারী
দাতা অণু,দাতা অণু
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
অভিগম্যতা,অ্যাক্সেসযোগ্যতা
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
প্ৰৱেশ সময়,প্রবেশাধিকার সময়
দৰ্শকৰ ভুল,ভিজিটর ত্রুটি
সমন্বয়,সমন্বয়
সঞ্চিত কৰা হৈছে,পুঞ্জীভূত
"সঞ্চয়, সঞ্চয়","accumulation, accumulation"
এক্যুলেটৰ,সঞ্চয়কারী
শুদ্ধতা,সঠিকতা
বাস্তৱতা,বাস্তবতা
ৰঙীন লেন্স,অ্যাক্রোমেটিক লেন্স
achromatic,অ্যাক্রোমেটিক
achromaticity,বর্ণহীনতা
একাউষ্টিক,শাব্দিক
শব্দ নিবাৰণ,শব্দরোধী
একাউষ্টিক ফ&#39;নন,শাব্দিক ফোনন
শব্দ একক,শব্দ ইউনিট
একাউষ্টিক,শাব্দিক
শব্দ উৎপাদক,শব্দ জেনারেটর
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,কর্ম এবং প্রতিক্রিয়া
সক্ৰিয়কৰণ,সক্রিয়করণ
সক্ৰিয়কৰণ শক্তি,অ্যাক্টিভেশন শক্তি
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","সক্রিয়কারী, সক্রিয়কারী"
সক্ৰিয়,সক্রিয়
সক্ৰিয়তা,সক্রিয়তা
প্ৰকৃত মানসিক চাপ,প্রকৃত চাপ
ফুচফুচাই কোৱা,ফিসফিস
সামৰণিত,যোগফল
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
যোগকৰণ,সংযোজনকারী
আঠাযুক্ততা,আনুগত্য
আঠাযুক্ত শক্তি,আঠালো শক্তি
আদিয়াবাট,adiabat
adiabatic,adiabatic
তাপ নিৰোধক,তাপ নিরোধক
সংলগ্ন কৰা হৈছে,সংযুক্তি
