English,Kannada
Abaxial surface,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
Abdomen,ಹೊಟ್ಟೆ
Abdominal aorta,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
Abdominal ganglia,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
Abelmoschus esculentus,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
Aberration,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
Abies,ಅಬ್ಬರ
Abingdon tortoise,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
Abiogenesis,ಕ್ಷು ತನ್ನತೆ
Abiotic,ಅಸಹ್ಯವಾದ
Abiotic factor,ಉದಾಸೀಯ ಅಂಶ
Abnormal urine,ಅಸಹಜ ಮೂತ್ರ
ABO blood group,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
Abscisic acid,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
Abscission,ಕಂದಿಸುವುದು
Absorb,ಹೀರಿಕೊಳ್ಳಿ
Absorption peak,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
Absorption,ಹೀರುವಿಕೆ
Acacia catechu,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
Acaria arabica,ಅಕ್ಯಾಬಿಕಾ
Acaprin,ಅಣಕಾದ
Acceptable sexual behaviour,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
Accessory gland,ಪರಿಕರ ಗ್ರಂಥಿ
Accessory gland,ಪರಿಕರ ಗ್ರಂಥಿ
Accessory organ,ಪರಿಕರ ಅಂಗ
Acclimatization,ಒಗ್ಗೂಡಿಸುವಿಕೆ
Acclimatize,ಒಗ್ಗಿಸು
Accommodation (focusing),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
Accommodation of eye,ಕಣ್ಣಿನ ವಸತಿ
Accretionary growth,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
Accumulation,ಸಂಗ್ರಹಣೆ
Accumulation of organic matter,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
Accumulation of soil,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
Acellular,ಉಭಯಾಕಾರದ
Acellular organism,ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ
Acetabulum,ಅಸೆಟಾಬುಮ್
Acetaldehyde,ಅಸೆಟಾಲ್ಡಿಹೈಡ್
Acetyl coenzyme,ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್
Achatina,ಕಸ
Achene type,ಮೊಲ ಪ್ರಕಾರ
Achene,ಉಂಗುರ
Achlamydosporeae,ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ
Acid rain,ಆಮ್ಲ ಮಳೆ
Acidic,ಆಮ್ಲೀಯ
Acidic gas,ಆಮ್ಲೀಯ ಅನಿಲ
Acidity,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
Acinar cell,ಅಸಿನಾರ್ ಕೋಶ
Acoelomate,ಜಾಮಕೀಯ
Aconitum,ಅನನಟ
Acorn worm,ಆಕ್ರೋಶದ ಹುಳು
Acoustic zoning,ಅಕೌಸ್ಟಿಕ್ ವಲಯ
Acquired character,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ
Acquired immunity,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
Acquired immuno deficiency syndrome (AIDS),ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್)
Acrania,ಪ್ರಾದೇಶಿಕ
Acridine dye,ಅಣಕಾದ ಬಣ್ಣ
Acrocentric,ವ್ಯಾಪಕವಾದ
Acromion,ಅಕ್ರಾಮನ್
Acropetal sequence,ಸ್ಥಗಿತದ ಅನುಕ್ರಮ
Acropetal order,ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ
Acrosin,ಅಕ್ರೋಸಿನ್
Actin,ಅ ೦ ಗಡಿ
Actin-like protein,ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್
Actinomorphic,ಕ್ರಿಯಾಶೀಲತೆ
Actinomycetes,ಅಂಧ
Action potential,ಕ್ರಿಯಾಶೀಲತೆ
Activated sludge,ಸಕ್ರಿಯ ಕೆತ್ತನೆ
Activated sludge floc,ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್
Activation energy,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
Active absorption,ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Active immunity,ಸಕ್ರಿಯ ವಿನಾಯಿತಿ
Active radiation,ಸಕ್ರಿಯ ವಿಕಿರಣ
Active site,ಸಕ್ರಿಯ ಸೈಟ್
Activin,ದಳ
Acuminate,ವಕ್ರವಳತಿ ಮಾಡು
Adamsia,ಆಡಮ್ಸಿಯಾ
Adaptability,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
Adaptation,ರೂಪಾಂತರ
Adaptation to light regime,ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
Adaptation to water scarcity,ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
Adaptive characteristics,ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು
Adaptive immunity,ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ
Adaptive radiation,ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ
Adaptive trait,ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ
Adaxial surface,ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
Addictive disorder,ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ
Adenine,ತಿಕ್ಕಲು
Adenocorticotropin,ಒಂದು ತತ್ತ್ವ
Adenohypophysis,ತತ್ತ್ವ
Adenosin diphosphate,ತಿರಸ್ಕಾರ
Adenosine deaminase,ಅಂಧ
Adenosine monophosphate,ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್
Adenosine triphosphate (ATP),ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ)
Adenylate cyclase,ತಿರಸ್ಕಾರ
Adhesive force,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
Adipate,ಅಡಿಪಡಿ
Adipocyte (fat cell),ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ)
Adipose tissue,ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ
Adnate,ಮಡಿ
Adjoining community,ಪಕ್ಕದ ಸಮುದಾಯ
Adrenal,ಮೂತ್ರಜನಕಾಂಗ
Adrenal gland,ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ
Adrenocorticotropic hormone (ACTH),ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್)
Adrenocorticotropic releasing hormone (ACTRH),ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್)
Adsorbent,ಹೊರಹೀರುವ
Adsorption,ಹೊರಹೀರತೆ
Advanced chordate,ಸುಧಾರಿತ ಸ್ವರಮೇಳ
Advantageous mutation,ಅನುಕೂಲಕರ ರೂಪಾಂತರ
Adventitial,ಸಾಹಸದ
Adventitious root,ಸಾಹಸಿ ಮೂಲ
Adverse effect,ದುಷ್ಪರಿಣಾಮ
Aedes,ಈಡಿಸ್
Aeration of culture,ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ
Aerenchyma,ವಾಮಪಂಥೀಯ
Aerial,ವೈಮಾನಿಕ
Aerial root,ವೈಮಾನಿಕ ಮೂಲ
Aerial shoot,ವೈಮಾನಿಕ ಚಿಗುರು
Aerobic respiration,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
Aerobic respiration,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
Aesthetics,ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
Aestivation,ಅಸ್ವಸ್ಥತೆ
Aestivation,ಅಸ್ವಸ್ಥತೆ
Afferent,ವಿಪರೀತ
Affinity chromatography,ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
Afflicted organ,ಪೀಡಿತ ಅಂಗ
Afforestation,ಸಂಯಮ
Agamospermy,ಗಗನಯ
Agar,ಗಾಡಿ
Agarose,ಜನಗಮಣ
Agarose gel eletrophoresis,ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್
Agarose polymer gel,ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್
Agast,ಚೂರುಪಾರು
Agave,ಭೂತಾಳೆ
Age distribution,ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ
Age pyramid,ವಯಸ್ಸು ಪಿರಮಿಡ್
Agglutination,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
Aggregate,ಒಟ್ಟು
Aggregate of follicle,ಕೋಶಕ ಒಟ್ಟು
Aggregate of follicle,ಕೋಶಕ ಒಟ್ಟು
Aggregation,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
Aggressiveness,ಆಕ್ರಮಣಶೀಲತೆ
Agitator system,ಚಮತ್ಕಾರ
Agnatha,ಅಜ್ಞಾತ
Agouti,ಗಾಡಿ
Agranal chloroplast,ಪಂಥದ
Agranular,ಕೃಪಣದ
Agranulocyte,ಪಂಥಿ
Agriculture,ಕೃಷಿ
Agroforestry,ಕೃಚಾರಕ
Agrobacterium mediated,ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ
Agrobacterium tumefaciens,ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್
Agrochemical,ಕೃಷಿ ರಾಸಾಯನಿಕ
Agrochemical,ಕೃಷಿ ರಾಸಾಯನಿಕ
Agroclimatic zone,ಕೃಷಿ ವಲಯ
Agronomic trait,ಕೃಷಿ ಲಕ್ಷಣ
Agronomy,ಕೃಷಿ ವಿಜ್ಞಾನ
AIDS,ನೆರಳು
Air bladder,ಗಾಳಿಗೊಡೆ
Air conditioner,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
Air passage,ಗಾಳಿಯ ಮಾರ್ಗ
Air pollution,ವಾಯು ಮಾಲಿನ್ಯ
Air sac,ಗಾಳಿಯ ಚೀಲ
Air vacuole,ವಿಮಾನ ನಿರ್ವಾತ
Air-breathing,ಗಾಳಿ ಮರೆಯುವ
Alain,ತಲ್ಲಣ
Alary muscle,ಅಲರಿ ಸ್ನಾಯು
Alaskan brown bear,ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ
Albino,ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ
Albugo,ದಾಸ್ಯ
Albumin,ಉಣ್ಣೆಯಂಥ
Albuminous seed,ಉಬ್ಬು ಬೀಜದ ಬೀಜ
Albuminuria,ಬಿಲ್ಲಿನ
Alburnum,ಪಾರಾಗಲಿ
Alcedae,ಹದಮುದಾಯಿ
Aldehyede,ಆಲ್ಡಿಹ್ಯೀಡ್
Aldosterone system,ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ
Aldosterone,ಆಲ್ಡೋಸ್ಟಲಿಗೆ
Aleurone layer,ಅಲ್ಯೂರೋನ್ ಪದರ
Aleuroplast,ಕಣ್ಣುಹಾಯ
Alfalfa,ಉಚ್ಚಾರಣಾ
Algal bloom,ಪಾಚಿಯ ಹೂವು
Algin,ಪಾರಿಗೊಣ
Alien DNA,ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ
Alien species,ಅನ್ಯ
Alignment,ಜೋಡಣೆ
Alignment,ಜೋಡಣೆ
Alimentary canal,ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ
Alimentary system,ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ
Alismaceace,ಮಿತ್ರತತ್ವ
Alkaloid,ಕ್ಷಾರೀಯ
Alkaline,ಕ್ಷಾರೀಯ
Alkaptonuria,ಕ್ಷಾರೀಯ
Allantois,ನಾರು
Allele frequency,ಆಲೀಲ್ ಆವರ್ತನ
Allele,ಇಳಿಜಾರು
Allelomorphic pair,ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ
Allergen,ಅಲರ್ಜಾಟ
Alligator,ಅಲಿಗ್ನ
Allium cepa,ಆಲಿಯಂ ಸೆಪಾ
Allogamy,ಅಲೋಗಮಿ
Allograft,ಅರಿಯುವವಳು
Allopatric speciation,ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್
Allopolyploid,ಸೂತ್ರ
Allosteric effect,ಅಲೀರಿಕ್ ಪರಿಣಾಮ
Allosteric enzyme,ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ
Allosteric inhibitor,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ
Allosteric modulation,ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್
Allosteric site,ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್
Allosteric inhibition,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ
Allotetraploid,ತಟೆಾತ್ರಾ
Alnus,ದಾಸ್ಯ
Aloe,ಅಡೆ
Along the axon,ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ
Alpha-antitrypsin,ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್
Alpha-lactalbumin,ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್
Alpine climate condition,ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ
Alpine meadow,ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು
Alpine zone,ಆಲ್ಪೈನ್ ವಲಯ
Alstonia,ಆಲ್ಸ್ಟೋನಿಯಾ
Alternaria,ಪರ್ಯೇಡು
Alternate,ಪರ್ಯಾಯ
Alternation of generation,ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ
Altitude sickness,ಎತ್ತರ ಕಾಯಿಲೆ
Altitude,ಎತ್ತರ
Alveolar duct,ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ
Alytes,ಮಣ್ಣು
Alzheimer's disease,ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ
Amacrine cell,ಅಮಾಮಿನ ಕೋಶ
Amaranthaceae,ಹುಳ
Amaranthus,ಹುಳಿ
Ambient osmotic concentration,ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ
Ambystoma,ಅಂಬಿಸ್ಟೋಮ
Amide,ಅಸ್ಫುಲ್
Amino acid,ಅಮೈನೊ ಆಸಿಡ್
Amino acid acceptor,ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ
Aminoacyl t RNA synthetase,ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್
Aminoacylation,ಅಮೈನೊಅಸಿಲೇಷನ್
Amitosis,ಅಮೀಟಾಸಿ
Ammonia,ಅಮೋನಿಯ
Ammonification,ಅಮೋನೀಕರಣ
Ammonotelism,ಅಮ್ಮನೋಟೆಲಿಸಂ
Amniocentesis,ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್
Amniocentesis technique,ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ
Amniocyte,ಅಮ್ನಿಯೈಟ್
Amnion,ಮಂಕಾದ
Amniotic fluid,ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ
Amniotic membrane,ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್
Amniotic sac,ಜಾಮಿಕಾಟದ ಚೀಲ
Amoeba,ಅಮೀಬ
Amoebocyte,ಅಮೀಬೋಸೈಟ್
Amoeboid,ಅಮೀಬಯುಡಿ
Amoeboid lymphocyte,ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್
Amoeboid movement,ಅಮೀಬಯಿಡ್ ಚಲನೆ
Amorphous,ಅರೂಪದ
Amount,ಮೊತ್ತ
Amphetamine,ಆಭರಣ
Amphibia,ಉಭಯಚರ
Amphibian,ಉಭಯಚರ
Amphibian,ಉಭಯಚರ
Amphioxus,ಉಲ್ಬಣ
Amphioxus lanceolatus,ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್
Amphipathic,ಉಭಯಪಕ್ಷೀಯ
Amphipathic lipid,ಉಭಯಚರ ಲಿಪಿಡ್
Amphisarca,ಉಚ್ಚಾರೆ
Ampicillin,ಲೋಕದ
Ampulla,ಹಲ್ಲು
Ampullary gland,ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ
Amygdal,ಅಮಿಗ್ಡಾಲ್
Amygdale,ಬಾಚು
Amygdalin,ಅಮಿಗ್ಲಿನ್
Amylase,ಮಂಕಾದ
Amyloplast,ಅಮಿಲೋಪ್ಲಾಸ್ಟ್
Anabaena,ಅ ೦ ಗಡಿ
Anabas,ಹಳ್ಳ
Anabolic pathways,ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು
Anabolism,ಅನಾಬಾಲಿಸಂ
Anacardiaceae,ಅನಾಕಾರ್ಡಿಯಾಸಿ
Anaemia,ರಕ್ತಹೀನತೆ
Anaerobe,ಬಯೆರೋಲೆ
