Hindi,Malayalam
"1.एबेकस ,2. गिनतारा",അബാക്കസ്
असामान्य समापन,അസാധാരണമായ അവസാനിപ്പിക്കൽ
अवरोधन,ഉപേക്ഷിക്കുക
"1. निरपेक्ष ,2. परम",കേവല
निरपेक्ष पता,സമ്പൂർണ്ണ വിലാസം
निरपेक्ष पताभिगमन,സമ്പൂർണ്ണ അഭിസംബോധന
निरपेक्ष कोडांतरक,കേവല അസംബ്ലർ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",കേവല കോഡ്
निरपेक्ष समादेश,സമ്പൂർണ്ണ കമാൻഡ്
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",സമ്പൂർണ്ണ ഡാറ്റ
निरपेक्ष अनुदेश,സമ്പൂർണ്ണ നിർദ്ദേശം
निरपेक्ष विधा,കേവല മോഡ്
निरपेक्ष पथ,കേവല പാത
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
अमूर्त वर्ग,അമൂർത്ത ക്ലാസ്
अमूर्त आंकड़ा प्रकार,അമൂർത്ത ഡാറ്റ തരം
अमूर्त मशीन,അമൂർത്ത യന്ത്രം
अमूर्त प्रतीक,അമൂർത്ത ചിഹ്നം
अमूर्त वाक्य विन्यास,അമൂർത്തമായ വാക്യഘടന
स्वीकृति परीक्षण,സ്വീകാര്യത പരിശോധന
अभिगम प्रमाणन,ആക്സസ് പ്രാമാണീകരണം
"1. अभिगम कूट ,2. अभिगम कोड",പ്രവേശന കോഡ്
अभिगम नियंत्रण,പ്രവേശന നിയന്ത്രണം
अभिगम क्रमवीक्षण,ആക്സസ് സ്കാൻ
सहयंत्र,ഉപസാധനം
लेखा,അക്കൗണ്ട്
"1. एकाउंट आई डी ,2. लेखा पहचान",അക്കൗണ്ട് ID
संचायक,ശേഖരണം
"1. विशुद्धता ,2. यर्थाथता",കൃത്യത
अभिगम,പ്രവേശനം
अभिगम नियंत्रण बाइट,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
अभिगम सूचक,പ്രവേശന സൂചിക
अभिगम कुंजी,ആക്സസ് കീ
