Odiya,Assamese
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,অজৈৱিক প্ৰজনন
ପରମାନନ୍ଦ,অস্বাভাৱিক
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,১/ চতুৰ্থ পেট ২) ইভ’মাজম
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,ষ্টোমেটাল বৃদ্ধিৰ অংগ
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,স্তব্ধ বৃদ্ধিৰ বীজ
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,শোষিত কেটিয়ন
ଅବଶୋଷଣ,শোষণ
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,এবিচিনিয়ান সৰিয়হ
1. ଆକାରିସାଇଡ୍ |,১.একেৰিচাইড
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,centripetal
ବୃଦ୍ଧି (କକ୍ଷ),বৃদ্ধি (কোষ)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,অনুমোদিত সহনশীলতা
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
ଆଡାପ୍ଟେସନ୍,অভিযোজন
ଜମା,সঞ্চয়
1. ସଠିକତା 2. ସଠିକତା |,1.vaccuracy 2. নিখুঁততা
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,১.এচিডিকৰণ ২.এচিডিকৰণ
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
ଅମ୍ଳତା |,এচিডিটি
ଏସିଡୋଫାଇଲ୍ |,এচিডোফাইল
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,এচিডিফাইড ৰক ফছফেট
ଅମ୍ଳଯୁକ୍ତ |,এচিডিফাইড
ଜଳଜଳ,জলধাৰা
ଅଧିଗ୍ରହଣ,অধিগ্ৰহণ
ଏକର,একৰ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,শেষ বিন্দু ক্ৰম’জম
ଆଗକୁ ଦେଖିବା,আগলৈ চাই থকা
ଆକ୍ରୋସୋମ୍ |,acrosome
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,actinomycetes
ସକ୍ରିୟ କୋର୍ |,সক্ৰিয় কোৰ
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. উত্তেজিত 2. তীব্ৰ
ଅନୁକୂଳତା,অভিযোজন ক্ষমতা
କଷ୍ଟମାଇଜେସନ୍,কাষ্টমাইজেচন
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,১.আঠাযুক্ততা ২.আঠাযুক্ততা
sebaceous,তৈলাক্ত
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,সমন্বয় সমীকৰণ
ଆଡୋବ ମାଟି |,এডোব মাটি
ବ୍ୟଭିଚାର,ব্যভিচাৰী
ଏକ୍ଟୋପିକ୍,এক্ট&#39;পিক
Isidiospore Isidium Spore |,Isidiospore Isidium বিজাণু
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,বায়ুগতিশীল প্ৰক্ৰিয়া
ଭେଣ୍ଟ୍ରାଲ୍ |,ventral
ବିମାନକୁ,বায়ুমণ্ডলীয় কৰা
1. ବାୟୁ 2. ଆକାଶୀ |,১.বায়ু ২.আকাশী
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
ଏରୋସୋଲ୍ |,এৰ&#39;ছল
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
ରୋଗ ବିଜ୍ଞାନ,ৰোগৰ বিজ্ঞান
ବୃକ୍ଷରୋପଣ,বনানীকৰণ
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,১.আন্দোলন ২.অস্থিৰতা
ଆଗମାର୍କ |,আগমাৰ্ক
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
କୃଷି ଚିକିତ୍ସାଳୟ,কৃষি ক্লিনিক
