Punjabi,Bengali
ਅਸਧਾਰਨ,অস্বাভাবিক
ਅਧੂਰਾ ਛੱਡਣਾ,গর্ভপাত
ਘ੍ਰਿਣਾ,ঘর্ষণ
ਅਚਾਨਕ,আকস্মিক
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,পরম ক্ষেত্র শক্তি
ਪੂਰਨ ਤਾਪਮਾਨ,পরম তাপমাত্রা
ਸਹੀ ਮੁੱਲ,পরম মান
ਸੋਖਣਾ,শোষণ
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,শোষণ গুণাঙ্ক
ਸਮਾਈ ਨੁਕਸਾਨ,শোষণ ক্ষতি
ਸਾਰ,বিমূর্ত
ਐਕਸੀਲਾਮੀਟਰ,অ্যাক্সিলোমিটার
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,স্বীকৃতি পরীক্ষা
ਪਹੁੰਚ,অ্যাক্সেস
ਐਕਸੈਸ ਕੰਟਰੋਲ,প্রবেশাধিকার নিয়ন্ত্রণ
ਐਕਸੈਸ ਪੁਆਇੰਟ,এক্সেস পয়েন্ট
ਐਕਸੈਸ ਟਾਈਮ,প্রবেশাধিকার সময়
ਪਹੁੰਚਯੋਗਤਾ,অ্যাক্সেসযোগ্যতা
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,একুমুলেটর সেল
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਸਹੀ,নির্ভুল
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,অ্যাক্রোমেটিক লেন্স
ਐਸਿਡ,অ্যাসিড
ਐਸਿਡ ਦਾ ਸਬੂਤ,অ্যাসিড প্রুফ
ਐਸਿਡਿਟੀ,অম্লতা
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,স্বীকৃতি বিট
ਧੁਨੀ,অ্যাকোস্টিক
ਧੁਨੀ ਸੰਚਾਰ,অ্যাকোস্টিক যোগাযোগ
ਧੁਨੀ ਫੈਲਾਉਣ,অ্যাকোস্টিক প্রসারণ
ਧੁਨੀ ਬਰਾਬਰੀ,অ্যাকোস্টিক ইকুয়ালাইজার
ਧੁਨੀ ਫੀਡਬੈਕ,অ্যাকোস্টিক প্রতিক্রিয়া
ਧੁਨੀ ਫਿਲਟਰ,অ্যাকোস্টিক ফিল্টার
ਧੁਨੀ ਰੁਕਾਵਟ,শব্দের সংরোধ
ਧੁਨੀ ਮਾਸਕਿੰਗ,অ্যাকোস্টিক মাস্কিং
ਧੁਨੀ ਸ਼ਕਤੀ,অ্যাকোস্টিক শক্তি
ਧੁਨੀ ਸੰਪਤੀ,অ্যাকোস্টিক সম্পত্তি
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,অ্যাকোস্টিক রিফ্লেক্স
ਧੁਨੀ ਟਾਈਲ,অ্যাকোস্টিক টাইল
ਧੁਨੀ ਲਹਿਰ,অ্যাকোস্টিক তরঙ্গ
ਧੁਨੀ ਸਮਾਈ,শাব্দিক শোষণ
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,শাব্দিক মনোযোগ ধ্রুবক
ਧੁਨੀ ਗਿੱਲੀ,শাব্দিক স্যাঁতসেঁতে
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,শাব্দিক বিলম্ব লাইন
ਧੁਨੀ ਵਿਗਾੜ,শাব্দিক বিকৃতি
ਧੁਨੀ ਨਲੀ,শাব্দিক নালী
ਧੁਨੀ energy ਰਜਾ,শাব্দিক শক্তি
ਧੁਨੀ ਫੀਡਬੈਕ,শাব্দিক প্রতিক্রিয়া
ਧੁਨੀ ਫਿਲਟਰ,শাব্দিক ফিল্টার
ਧਾਰਨਾ,শাব্দিক প্রতিবন্ধকতা
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,শাব্দিক প্রচার ধ্রুবক
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,শাব্দিক প্রতিরোধের
ਧੁਨੀ,শাব্দিকভাবে অন্তরক
ਧੁਨੀ,অ্যাকোস্টিকস
ਗ੍ਰਹਿਣ,অধিগ্রহণ
ਐਕਰੋਨਾਈਮ,সংক্ষিপ্ত বিবরণ
ਕਾਰਵਾਈ ਖੇਤਰ,অ্যাকশন এরিয়া
ਸਰਗਰਮ ਤੰਦ,সক্রিয় ফিলামেন্ট
ਕਿਰਿਆਸ਼ੀਲ,সক্রিয়
ਐਕਟਿਵ ਖੇਤਰ,সক্রিয় এলাকা
ਐਕਟਿਵ ਵਿੰਡੋ,সক্রিয় উইন্ডো
ਅਨੁਕੂਲਤਾ,অভিযোজনযোগ্যতা
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),অ্যাডাপ্টার (অ্যাডাপ্টার)
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
ਐਡਰੈੱਸ ਬੁੱਕ,ঠিকানা বই
ਪਤਾ ਬੱਸ,ঠিকানা বাস
ਪਤਾ ਹੱਲ,ঠিকানা রেজোলিউশন
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,সংলগ্ন চ্যানেল হস্তক্ষেপ
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,সংলগ্ন চ্যানেল নির্বাচন
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,সংলগ্ন ফ্রিকোয়েন্সি
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,সংলগ্ন ছবি ক্যারিয়ার
