Bengali,Hindi
"1.অ্যাবাকাস, 2. গণনা","1.एबेकस, 2. गिनतारा"
অস্বাভাবিক সমাপ্তি,असामान्य समापन
পথিমধ্যে রোধ করা,अवरोधन
"1. পরম, 2. সর্বোচ্চ","1. निरपेक्ष, 2. परम"
পরম ঠিকানা,निरपेक्ष पता
পরম ঠিকানাযোগ্যতা,निरपेक्ष पताभिगमन
পরম সংযোজনকারী,निरपेक्ष कोडांतरक
"1. পরম কোড, 2. পরম কোড","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
পরম আদেশ,निरपेक्ष समादेश
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
পরম নির্দেশ,निरपेक्ष अनुदेश
পরম মোড,निरपेक्ष विधा
পরম পথ,निरपेक्ष पथ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
বিমূর্ত ক্লাস,अमूर्त वर्ग
বিমূর্ত তথ্য প্রকার,अमूर्त आंकड़ा प्रकार
বিমূর্ত মেশিন,अमूर्त मशीन
বিমূর্ত প্রতীক,अमूर्त प्रतीक
বিমূর্ত বাক্য গঠন,अमूर्त वाक्य विन्यास
স্বীকৃতি পরীক্ষা,स्वीकृति परीक्षण
অ্যাক্সেস সার্টিফিকেশন,अभिगम प्रमाणन
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. अभिगम कूट, 2. अभिगम कोड"
প্রবেশাধিকার নিয়ন্ত্রণ,अभिगम नियंत्रण
অ্যাক্সেস স্ক্যানিং,अभिगम क्रमवीक्षण
আনুষাঙ্গিক,सहयंत्र
অ্যাকাউন্টিং,लेखा
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. एकाउंट आई डी, 2. लेखा पहचान"
সঞ্চয়কারী,संचायक
"1. নির্ভুলতা, 2. সঠিকতা","1. विशुद्धता, 2. यर्थाथता"
অ্যাক্সেস,अभिगम
অ্যাক্সেস নিয়ন্ত্রণ বাইট,अभिगम नियंत्रण बाइट
অ্যাক্সেস সূচক,अभिगम सूचक
অ্যাক্সেস কী,अभिगम कुंजी
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
অ্যাক্সেস মোড,अभिगम विधा
সুযোগ সুবিধা,अभिगम विशेषाधिकार
অ্যাক্সেস নিরাপত্তা,अभिगम सुरक्षा
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
প্রবেশাধিকার সময়,अभिगम काल
স্বীকৃতি,अभिस्वीकृति
ধ্বনিবিদ্যা,ध्वनिकी
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
কর্ম বার্তা,क्रिया संदेश
সক্রিয়করণ,सक्रियण
সক্রিয় সার্ভার পৃষ্ঠা,सक्रिय सर्वर पृष्ठ
সক্রিয় সংস্করণ,सक्रिय वर्जन
অ্যাসাইক্লিক,अचक्रीय
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,एडा कंप्यूटर भाषा
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. अनुकूलक, 2. अनुकूलित्र"
যোগ করা),योग (करना)
সমষ্টি ফাইল,योग संचिका
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. जोड़ संक्रिया, 2. योग संक्रिया"
যোগকারী,योजक
জানি,पता
ঠিকানা বাস,पता बस
ঠিকানা ফাইল,पता संचिका
ঠিকানা বিন্যাস,पता आरूप
ঠিকানা জেনারেটর,पता जनक
ঠিকানা লাইন,पता पंक्ति
ঠিকানা ম্যাপিং,पता प्रतिचित्रण
ঠিকানা নির্দেশক,पता संकेतक
ঠিকানা রেজিস্টার,पता पंजी
ঠিকানা ভাঙ্গন,पता विघटन
ঠিকানা অনুবাদ,पता अनुवाद
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
সম্বোধন,पताभिगमन
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
সংযুক্তি,संलग्न
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. प्रबंधन, 2. नियंत्रण"
"1. ম্যানেজার, 2. নিয়ামক","1. प्रबंधक, 2. नियंत्रक"
অ্যাডোবি অ্যাক্রোব্যাট,ऐडोब एक्रोबेट
অ্যাডোবি ফটোশপ,ऐडोब फोटोशोप
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
উন্নত তথ্য সিস্টেম,उन्नत सूचना तंत्र
উন্নত প্রযুক্তি (AT),उन्नत प्रौद्योगिकी (ए टी)
কর্ম,कर्मक
