Punjabi,Malayalam
ਪਰੇਸ਼ਾਨੀ,ശീതീകരണം
ਸੰਖੇਪ,ചുരുക്കല്
ਅਗਵਾ,പിടിച്ചുകൊണ്ടുപോകല്
ਧਾਰਨਾ,Aveyne
ਯੋਗਤਾ,കഴിവ്
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,Ab initio
ਯੋਗ,കഴിവുള്ള
ਅਸਧਾਰਨ,വിലക്ഷണമായ
ਖਤਮ,നിർത്തലാക്കൽ
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,നിർത്തലാക്കൽ പോസ്റ്റ്
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,മുകളിൽ സൂചിപ്പിച്ച
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,മുകളിൽ ഉദ്ധരിച്ചത്
ਉਪਰੋਕਤ ਕਿਹਾ,മുകളിൽ പറഞ്ഞത്
ਗੈਰਹਾਜ਼ਰੀ,അസാന്നിദ്ധം
ਗੈਰਹਾਜ਼ਰ,ഹാജരാകാത്ത
ਗੈਰਹਾਜ਼ਰ,ഹാജരാകാത്തീയത
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,ഹാജരാകാതിരിക്കുക
ਅਸੀਮ,കേശവം
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,കേവല കുത്തക
ਸੰਪੂਰਨ ਮਾਲਕੀ,കേവല ഉടമസ്ഥാവകാശം
ਸਮਾਈ,ആഗിരണം
ਸਾਰ,വേര്പെട്ടുനില്ക്കുന്ന
ਸੰਖੇਪ,അനുഗമിക്കുന്നു
ਬੇਹੂਦਾ,അസംബന്ധം
ਬਹੁਤਾਤ,സമൃദ്ധി
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,അധികാര ദുരുപയോഗം
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,അധിക്ഷേപകരമായ ഭാഷ
ਅਕਾਦਮਿਕ,പണ്ഡിതോചിതമായ
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,അക്കാദമിക് ചർച്ച
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,അക്കാദമിക് അവധി
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,വിദ്യാഭ്യാസ യോഗ്യത
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,അക്കാദമിക് റെക്കോർഡ്
ਐੱਸ,നിര്വഹിക്കുക
ਸਵੀਕਾਰ ਕਰੋ,അംഗീകരിക്കുക
ਮਨਜ਼ੂਰ,കൈക്കൊള്ളല്
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ഓഫീസിന്റെ സ്വീകാര്യത
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ടെണ്ടർ സ്വീകാര്യത
ਪਹੁੰਚ,പ്രവേശനം
ਐਕਸੈਸਿੰਗ,അപേക്ഷ
ਸਹਾਇਕ,ഉപസാധനം
ਹਾਦਸਾ,ആകസ്മികത
ਅਨੁਕੂਲਤਾ,ACCLIMATIES
ਰਿਹਾਇਸ਼,സ്ഥലസൗകരം
ਦੇ ਨਾਲ,അനുഗമിച്ചു
ਸਮਝੌਤਾ,അക്കോര്
ਦੇ ਅਨੁਸਾਰ,അഭാവം
ਇਸ ਅਨੁਸਾਰ,അക്കാരണത്താല്
ਖਾਤਾ,കണക്ക്
ਜਵਾਬਦੇਹੀ,ഉത്തരവാദിത്തം
ਜਵਾਬਦੇਹ,ഉത്തരവാദിയായ
ਖਾਤੇ ਦੀ,അക്കൗണ്ടൻസി
ਲੇਖਾਕਾਰ,കണക്കെഴുത്തുകാരി
ਲਈ ਖਾਤਾ,അക്കൗണ്ട്
ਖਾਤਾ ਸਿਰ,അക്കൗണ്ട് തല
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,വർദ്ധിച്ച ആനുകൂല്യം
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,വർദ്ധിച്ച പെൻഷൻ
ਇਕੱਠਾ,കൂന്വാരം
ਸ਼ੁੱਧਤਾ,കൃതത
ਸਹੀ,സൂക്ഷ്മമായ
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,ബോധിപ്പിക്കുന്ന
ਦੋਸ਼ੀ,കുറ്റക്കാരന്
ਪ੍ਰਾਪਤੀ,നേട്ടം
ਪ੍ਰਵਾਨਗੀ,അംഗീകാരം
ਬਣ ਰਹੇ,അംഗീകാരത്തിന്റെ
ਜਾਣ-ਪਛਾਣ,പരിചയം
ਗ੍ਰਹਿਣ,കൈവശപ്പെടുത്തൽ
ਬਰੀ,കുറ്റപാട്വിൽപ്പന
ਐਕਟ,പവര്ത്തിക്കുക
ਅਦਾਕਾਰੀ ਭੱਤਾ,അഭിനയ അലവൻസ്
ਕਾਰਵਾਈ,പവര്ത്തി
ਕਾਰਵਾਈ ਜੁਗਤ,പ്രവർത്തന പദ്ധതി
ਕਿਰਿਆਸ਼ੀਲ,സജീവമായ
ਸਰਗਰਮੀ ਨਾਲ,സജീവമായി
ਕਾਰਜਕਰਤਾ,ചുറുചുറുക്കുള്ളവള്
ਰੱਬ ਦਾ ਕੰਮ,ദൈവിക പ്രവൃത്തി
