English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abbreviation,संक्षिप्ति,"સંક્ષેપાક્ષર, સંક્ષિપ્ત રૂપ, શબ્દ-સંક્ષેપ","संक्षेप, संक्षेपाक्षर",ਸਾਰ,"সংক্ষেপন,সংক্ষিপ্তরূপ","संक्षेप,संक्षेपीकरण","ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು","സംക്ഷേപം, സംക്ഷേപണം, സംക്ഷേപം","சுருக்கம், சுருக்கக் குறியீடு","సంక్షిప్తం, సంక్షిప్త రూపం",اختصار,"সংক্ষিপ্তকৰণ,হ্রস্বকৰণ","ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି","संक्षेप, छोटकरी रूप"
abscissa,भुज,ભુજ,भुज,ਭੁਜ,ভুজ,भुज,ಭುಜ,ഭുജ,புஜ,భుజ,افقی قدر,ভুজ,ଭୁଜ,भुज
absolute frequency,निरपेक्ष बारंबारता,નિરપેક્ષ બારંબારતા,निरपेक्ष बारंबारता,ਨਿਰਪੇਕ੍਷ ਬਾਰਂਬਾਰਤਾ,নিরপেক্ষ বারংবারতা,निरपेक्ष बारंबारता,ನಿರಪೇಕ್ಷ ಬಾರಂಬಾರತಾ,നിരപേക്ഷ ബാരംബാരതാ,நிரபேக்ஷ பாரங்பாரதா,నిరపేక్ష బారంబారతా,نرپیکش بارمبارتا,নিরপক্ষ বারংবারতা,ବିଶୁଦ୍ଧ ବାରମ୍ବାରତା,निरपेक्ष बारंबारता
accelerated testing,त्वरित परीक्षण,ત્વરિત પરીક્ષણ,त्वरित परीक्षण,ਤ੍ਵਰਿਤ ਪਰੀਕ੍਷ਣ,ত্বরিত পরীক্ষণ,त्वरित परीक्षण,ತ್ವರಿತ ಪರೀಕ್ಷಣ,ത്വരിത പരീക്ഷണ,த்வரித பரீக்ஷண,త్వరిత పరీక్షణ,تورت پریکشن,ত্রিত পরীক্ষণ,ତ୍ବରିତ ପରୀକ୍ଷଣ,त्वरित परीक्षण
accept number,स्वीकरण सख्या,સ્વીકરણ સખ્યા,स्वीकरण सख्या,ਸ੍ਵੀਕਰਣ ਸਖ੍ਯਾ,স্বীকরণ সখ্যা,स्वीकरण सख्या,ಸ್ವೀಕರಣ ಸಖ್ಯಾ,സ്വീകരണ സഖ്യാ,ஸ்வீகரண ஸக்யா,స్వీకరణ సఖ్యా,سویکرن سکھیا,স্ীকরণ সখ্যা,ସ୍ବୀକରଣ ସଖ୍ଯା,स्वीकरण सख्या
acceptability,स्वीकार्यता,સ્વીકાર્યતા,स्वीकार्यता,ਸ੍ਵੀਕਾਰ੍ਯਤਾ,স্বীকার্যতা,स्वीकार्यता,ಸ್ವೀಕಾರ್ಯತಾ,സ്വീകാര്യതാ,ஸ்வீகார்யதா,స్వీకార్యతా,قبولیت,স্ীকার্যতা,ସ୍ବୀକାର୍ଯତା,स्वीकार्यता
acceptability criteria,स्वीकार्यता निकष,સ્વીકાર્યતા નિકષ,स्वीकार्यता निकष,ਸ੍ਵੀਕਾਰ੍ਯਤਾ ਨਿਕ਷,স্বীকার্যতা নিকষ,स्वीकार्यता निकष,ಸ್ವೀಕಾರ್ಯತಾ ನಿಕಷ,സ്വീകാര്യതാ നികഷ,ஸ்வீகார்யதா நிகஷ,స్వీకార్యతా నికష,سویکاریتا نکش,স্ীকার্যতা নিকষ,ସ୍ବୀକାର୍ଯତା ନିକଷ,स्वीकार्यता निकष
acceptable quality level,स्वीकार्य गुणता स्तर,સ્વીકાર્ય ગુણતા સ્તર,स्वीकार्य गुणता स्तर,ਸ੍ਵੀਕਾਰ੍ਯ ਗੁਣਤਾ ਸ੍ਤਰ,স্বীকার্য গুণতা স্তর,स्वीकार्य गुणता स्तर,ಸ್ವೀಕಾರ್ಯ ಗುಣತಾ ಸ್ತರ,സ്വീകാര്യ ഗുണതാ സ്തര,ஸ்வீகார்ய குணதா ஸ்தர,స్వీకార్య గుణతా స్తర,سویکاریہ گنتا سطر,স্ীকার্য গুণতা স্তর,ଗ୍ରହଣୀୟ ଗୁଣ ସ୍ତର,स्वीकार्य गुणता स्तर
acceptable quality region,स्वीकार्य गुणता प्रदेश,સ્વીકાર્ય ગુણતા પ્રદેશ,स्वीकार्य गुणता प्रदेश,ਸ੍ਵੀਕਾਰ੍ਯ ਗੁਣਤਾ ਪ੍ਰਦੇਸ਼,স্বীকার্য গুণতা প্রদেশ,स्वीकार्य गुणता प्रदेश,ಸ್ವೀಕಾರ್ಯ ಗುಣತಾ ಪ್ರದೇಶ,സ്വീകാര്യ ഗുണതാ പ്രദേശ,ஸ்வீகார்ய குணதா ப்ரதேச,స్వీకార్య గుణతా ప్రదేశ,سویکاریہ گنتا پردیش,স্ীকার্য গুণতা প্রদশ,ସ୍ବୀକାର୍ଯ ଗୁଣତା ପ୍ରଦେଶ,स्वीकार्य गुणता प्रदेश
acceptance,स्वीकरण,"સ્વીકાર, સ્વીકૃતિ","स्वीकृति, स्वीकार","ਮੰਜੂਰੀ, ਗਰਹਿਣ ਕਰਨਾ(ਕਨੂੰਨ) ਸਵੀਕਾਰਨ, ਪ੍ਰਵਾਗੀਤ","স্বীকার(-পত্র),গ্রহণ,স্বীকৃতি,প্রাপ্তিস্বীকার","स्विकार,हयकार/मान्यताय","ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ, ಒಪ್ಪಿಗೆ","സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം","ஏற்றுக்கொள்ளுதல், ஒப்புக்கொள்ளுதல்","స్వీకృతి,అంగీకారం,స్వీకారం",منظوری,"গ্রহণ, স্বীকৃতি",ସ୍ୱୀକୃତି,"मञ्जूरी, मान्यता, स्वीकृति"
