Gujarati,Punjabi
મહારમાન સપાટી,ਐਬੈਕਸਿਅਲ ਸਤਹ
પેટ,ਪੇਟ
પેટનો એરોર્ટા,ਪੇਟ AORTA
આધાર ગેંગલિયા,ਪੇਟ ਗੰਗਾਲੀਆ
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
વિપુલતા,ਅਸਧਾਰਨ
નાજુક,ਅੱਛਾ
એબિંગ્ડન કાચબો,ਅਬਿੰਗਡਨ ਕਛੂਆ
સ્વત્વાર્પણ,ਅਬੀਓਜੀਨੇਸਿਸ
અહંકારી,ਅਬੀਓਟਿਕ
અભણ પરિબળ,ਅਬੀਓਟਿਕ ਕਾਰਕ
અસામાન્ય પેશાબ,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
એબીઓ રક્ત જૂથ,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
સદસ્યાટ,Abscisic ਐਸਿਡ
વિકલાંગતા,ਵਿਵੇਕ
શોષવું,ਸੋਖਣਾ
શોષણ ટોચ,ਸਮਾਈ ਪੀਕ
સમાવેશ,ਸਮਾਈ
બાવળ,ਅੱਕੀਆ ਕੈਟੂਯੂ
એકરિયા અરબીકા,ਅਕਾਰੀਆ ਅਰਬੀ
એકર,ਐਕਾਪ੍ਰਿਨ
સ્વીકાર્ય જાતીય વર્તન,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
સહાયક ગ્રંથિ,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
સહાયક ગ્રંથિ,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
સહાયક અંગ,ਸਹਾਇਕ ਅੰਗ
સ્વાર્થીકરણ,ਅਨੁਕੂਲਤਾ
મામૂલી કરવું,ਅਹਿਮ
આવાસ (ધ્યાન કેન્દ્રિત),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
આંખનું સ્થાન,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
પરિધિ,ਅਦਭੁਤ ਵਾਧਾ
સંચય,ਇਕੱਠਾ
કાર્બનિક પદાર્થનું સંચય,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
જમીનનો સંચય,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
મધ્યમ,ਐਸੀਲੂਲਰ
મધ્ય જીવ,ਐਸੀਲੂਲਰ ਜੀਵ
અકારો,ਐਸੀਟੌਮੂਲਮ
Ecetaldehyde,ਐਸੀਟਲਾਈਡਾਈਡ
એસીટીલ કોએન્ઝાઇમ,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
એકલતા,ਅਮੀਥਿਨਾ
અચેન પ્રકાર,ਅੱਕੇ
અહંકાર,ਅਕੇਸ਼ੀ
આચ્છાદન,AchlamyDosporeae
એસિડ વરસાદ,ਐਸਿਡ ਬਾਰਸ਼
અમ્દિન,ਤੇਜਾਬ
અમ્બલિક ગેસ,ਤੇਜ਼ਾਬ ਗੈਸ
અમલ્ય,ਐਸਿਡਿਟੀ
કોતરણીનો કોષ,ਐਕਸੀਨਰ ਸੈੱਲ
Acાંકણ,ਆਕੋਲੀਓਮੈਟ
એક જાતની કળા,ਐਕੋਨਿਟਮ
એકોખી,ਐਕੋਰਨ ਕੀੜਾ
ધ્વનિ ક્ષેત્ર,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
પ્રાપ્ત કરેલું પાત્ર,ਪਾਤਰ ਪਾਤਰ
હસ્તગત પ્રતિરક્ષા,ਸੀਮਤ ਸੀਮਤ
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
ક્રોધાવેશ,ਅਰੇਂੀਆ
એસિડાઇન રંગ,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
અતિશય,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
કરચલી,ਐਕਰੋਮਰ
સર્કરો,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
સરકરાનો હુકમ,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
ગળાશ,ਐਕਰੋਸਿਨ
કાર્ય,ਐਕਟਿਨ
કૃત્ય,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
અભિપ્રાયનું,ਐਕਟਿਨੀਮੋਰਿਕ
કૃત્ય,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
કાર્ય માટેની ક્ષમતા,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
સક્રિય કાદવ,ਸਰਗਰਮ ਸਲੱਜ
સક્રિય કાદવ ફ્લોક,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
સક્રિય energyર્જા,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
સક્રિય શોષણ,ਐਕਟਿਵ ਸਮਾਈ
સક્રિય પ્રતિરક્ષા,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
સક્રિય કિરણોત્સર્ગ,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
સક્રિય સ્થળ,ਐਕਟਿਵ ਸਾਈਟ
સક્રિય,ਐਕਟੀਵੇਟ
અણીદાર,ਅਮੀਮਿਨੇਟ
એડ્મસિયા,ਐਡਮਜ਼ੀਆ
અનુકૂલનક્ષમતા,ਅਨੁਕੂਲਤਾ
અનુકૂલન,ਅਨੁਕੂਲਤਾ
પ્રકાશ શાસન માટે અનુકૂલન,ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ
પાણીની અછતને અનુકૂલન,ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ
અનુકૂલનશીલ લાક્ષણિકતાઓ,ਅਨੁਕੂਲ ਗੁਣ
અનુકૂલનશીલ પ્રતિરક્ષા,ਅਨੁਕੂਲ ਛੋਟ
અનુકૂલનશીલ કિરણોત્સર્ગ,ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ
અનુકૂલન લક્ષણ,ਅਨੁਕੂਲ ਗੁਣ
ઉપદેશક,ਏਕੈਕਸੀਅਲ ਸਤਹ
વ્યસનકારક વિકાર,ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ
એક જાતની adાળ,ਐਡੀਨੇਨ
એડોનોકોર્ટિકોટ્રોપિન,ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ
એનોહિપોફિસીસ,ਐਡੀਨੋਹਾਇਪਿਸਿਸ
એડેનોસિન ડિફોસ્ફેટ,ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ
એમેનોસિન,ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ
એનોસિન મોનોફોસ્ફેટ,ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ)
સાયક્લેઝ,ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ
