Tamil,English
கைவிடப்பட்ட உறுப்பு,Aborted organ
நிறுத்தப்பட்ட விதை,Aborted seed
கருக்கலைப்பு,Abortion
முழுமையான களை,Absolute weed
உறிஞ்சப்பட்ட கேஷன்,Absorbed cation
உறிஞ்சுதல்,Absorption
அபிசீனிய கடுகு,Abyssinian mustard
அகரைடு,Acaricide
உச்சரிப்பு,Accentric
உச்சநிலை (செல்),Accentuate (cell)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,Accepted tolerance
துணை,Accessory
பழக்கவழக்கமயமாக்கல்,Acclimatization
குவிப்பு,Accumulation
துல்லியம்,Accuracy
அசெருலஸ்,Acervulus
அசிடிபிகேஷன்,Acetification
அமிலமயமாக்கல்,Acidification
அமிலமீட்டர்,Acidimeter
அமிலத்தன்மை,Acidity
அமிலத்தன்மை கொண்ட,Acidophilic
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,Acidulated rock phosphate
அமிலத்தன்மை,Aciduric
நீர்வாழ்,Aquifer
கையகப்படுத்தல்,Acquisition
ஏக்கர்,Acre
ஏக்கர் தூரம்,Acreage
அக்ரோசென்ட்ரிக் குரோமோசோம்,Acrocentric chromosome
அக்ரோபெட்டல்,Acropetal
சக்ரோசோம்,Acrosome
ஆக்டினோமைசீட்கள்,Actinomycetes
செயலில் ரூட் மண்டலம்,Active root zone
கடுமையான,Acute
தகவமைப்பு,Adaptability
தழுவல்,Adaptation
ஒட்டுதல்,Adhesion
கொழுப்பு,Adipose
சரிசெய்தல் சமன்பாடு,Adjustment equation
அடோப் மண்,Adobe soil
கலப்படம்,Adulterant
சாகச,Adventitious
Aecidiospore,Aecidiospore
ஏலியன் செயல்முறை,Aeolian process
ஏயோலியன்,Aeolian
காற்றோட்டம்,Aerate
வான்வழி,Aerial
ஏரோமானி,Aerometer
ஏரோசோல்,Aerosol
அவதூறு,Aestivation
ஏட்டாலஜி (நோயியல்,Aetiology (etiology)
காடு வளர்ப்பு,Afforestation
கிளர்ச்சி,Agitation
அக்மார்க்,Agmark
விவசாய,Agrarian
வேளாண் மருத்துவமனை,Agricultural clinic
விவசாய உழைப்பு,Agricultural labour
விவசாய சந்தைப்படுத்தல்,Agricultural marketing
விவசாய தொழில்நுட்பம்,Agricultural technology
வேளாண்மை,Agriculture
வேளாண் வளர்ப்பை,Agrisilviculture
வேளாண் பன்முகத்தன்மை,Agrobiodiversity
வேளாண் வியாபார குறைபாடுகள்,Agrobiological defects
வேளாண்வியல்,Agrobiology
வேளாண் பன்முகத்தன்மை,Agroclimatic diversity
வேளாண் மண்டல,Agroclimatic zoning
வளர்ப்பு,Agroforestry
விவசாயவியல்,Agrology
வேளாண்,Agronomy
அக்ரோபாஸ்டோரல்,Agropastoral
அக்ரோபிராசெசிங்,Agroprocessing
அக்ரோஸ்டாலஜி,Agrostology
வேளாண் வகை,Agrotype
விமான ஆலை,Air plant
அகியோச்சி மண்,Akiochi soil
ஆல்பினிசம்,Albinism
அல்பிசோல்ஸ்,Alfisols
பாசி,Algae
பாசி நோய்,Algal disease
கார நீர்,Alkali water
கார,Alkaline
அல்லீல்,Allele
அல்லீல கெமிக்கல்ஸ்,Allelochemicals
அல்லீலோமார்ப்,Allelomorph
அலெலோபதி,Allelopathy
சந்து பயிர்,Alley cropping
ஒதுக்கீடு,Allocarpy
Allocamy,Allogamy
அலோமெட்ரி,Allometry
அலோபோலிப்ளோயிட்,Allopolyploid
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),Allosynapsis (allosyndesis)
மாற்று தாங்கி,Alternate bearing
மாற்று நில பயன்பாடு,Alternate land use
சுற்றுப்புறம்,Ambient
அமெலியோரண்ட்,Ameliorant
அமிடோசிஸ்,Amitosis
வெடிமருந்து,Amminization
அம்மோனிகேஃபிகேஷன்,Ammonification
அம்மோனியர்,Ammonifier
அமார்,Amorph
ஆம்பிமிக்ஸிஸ்,Amphimixis
ஆம்போடெரிக்,Amphoteric
அனபோலிசம்,Anabolism
காற்றில்லா,Anaerobe
அனூப்ளோயிட்,Aneuploid
கோண நடவு,Angle planting
கால்நடை வளர்ப்பு,Animal husbandry
விலங்கு மறுப்பு,Animal refuse
ஆற்றல் உயிரின,Animate energy
அனிசோப்ளோயிட்,Anisoploid
ஆண்டு ஆலை,Annual plant
ஆண்டு,Annual
ஆன்டெஸிஸ்,Anthesis
ஆந்த்ராக்ஸ்,Anthrax
மானுடவியல் காரணி,Anthropogenic factor
ஆண்டிபியோசிஸ்,Antibiosis
நுண்ணுயிர்க்கொல்லி,Antibiotic
மாற்று,Antidote
ஆக்ஸிஜனேற்றிகள்,Antioxidants
ஆன்டிடாக்சின்,Antitoxin
ANNULUS,Annulus
அஃபிட்,Aphid
அபிகல் மொட்டு,Apical bud
நுனி ஆதிக்கம்,Apical dominance
Apulcalure (தேனீ வைத்திருத்தல்),Apiculture (bee keeping)
Apomixis,Apomixis
அப்போப்டொசிஸ்,Apoptosis
இணைப்பு,Appendage
பசி,Appetizer
பயன்படுத்தப்பட்டது,Applied
நீர்வாழ் களை,Aquatic weed
ஆர்போரியல்,Arboreal
ஆர்பரைசேஷன்,Arborization
தொல்பொருள்-பொட்டானியல் பதிவுகள்,Archaeo-botanical records
பகுதி புள்ளிவிவரங்கள்,Area statistics
பகுதி,Area
வறண்ட சுற்றுச்சூழல் அமைப்பு,Arid ecosystem
Aril,Aril
நறுமணம்,Aroma
நறுமண ஆலை,Aromatic plant
நறுமண அரிசி,Aromatic rice
அம்பு,Arrowing
அசெப்ஸிஸ்,Asepsis
அசெப்டிக்,Aseptic
ஓரினச்சேர்க்கை பரப்புதல்,Asexual propagation
மதிப்பீடு,Assay
சொத்துக்கள்,Assets
ஒருங்கிணைப்பு,Assimilation
தொடர்பு,Association
ஆஸ்ட்ரிஜென்ட்,Astringent
அசினாப்சிஸ்,Asynapsis
