English,Hindi
Abaction,पशुहरण
Abandoned channel,परित्यक्त चैनल
Abandoned cliff,परित्यक्त भृगु
Abandoned meander,परित्यक्त विसर्प
Abandoned waterfall,परित्यक्त जलप्रपात
Aber,सरितामुख
Aberrant,विपथी
Ablation,"अपक्षरण, अपक्षरणावशेष"
Ablation moraine,अपक्षरण हिमोढ़
Abney level,ऐबनी लेवेल
Abney mounting,ऐबनी आरोपण
Abnormal,"अपसामान्य, अप्रसामान्य"
Aboral,अपमुख
Aboral side,अपमुख पार्श्व
Abrade,अपघर्षण
Abrasion,"अपघर्षण, खरोंच"
Abrasion index,अपघर्षणांक
Abrasive,"अपघर्षी, अपघर्षक"
Abrupt mountain,खड़ा पहाड़
Absolute,"निरपेक्ष, परम, अचर, परिशुद्ध"
Absolute movement,निरपेक्ष संचलन
Absolute vorticity,निरपेक्ष भ्रमिलता
Absorbed,अवशोषित
Absorption coefficient,अवशोषण-गुणांक
Absorption factor,अवशोषण गुणक
Abstraction,"संक्षिप्तिकरण, अपाहरण, साराहरण"
Abysmal,नितलीय
Abysmal area,नितल क्षेत्र
Abysmal basin,नितलीय बेसिन
Abysmal sea,नितल सागर
Abyss,"वितल, अतल"
Abyssal (oceanog),"वितल, वितलीय"
Abyssal current,वितलीय धारा
Abyssal plain,"वितलीय मैदान, वितल मैदान"
Accelerated erosion,त्वरित अपरदन
Acceleration,त्वरण
Accidental,"संयोगी, आकस्मिक, आगंतुक"
Accidented,"ऊबड़खाबड़, विषम"
Accidented relief,विषम उच्चावच
Accordance,उच्चतासंगति
Accordance of summit-level,शिखर उच्चतासंगति
Accordant-junction,संगत-संगम
Accordion meterorite,एकॉर्डियन उल्कापिंड
Accreting plate boundary,अभिवर्धी प्लेट परिसीमा
Accretion,अभिवृद्धि
Accumulated,संचित
Accumulation,"संचय, संचयन"
Accumulation hypothesis,संचयन परिकल्पना
Accumulation zone (glacier),हिमसंचयन-प्रदेश
Acheulian implements,अशूली उपकरण
Acid fumarole,अम्ल वाष्पमुख
Acidulant,"आम्लक, आम्लीकारक"
Acieral,एसीरल
Acreage,क्षेत्रफल (एकड़ो में)
Acre foot,एकड़-फुट
Acre-inch,एकड़ इंच
Action,"क्रिया, कर्म"
Activate,सक्रिया करना
Activated,"सक्रियित,सक्रियकृत"
Active,सक्रिय
Active cave,सक्रिय गुहा
Active distributary,सक्रिय जलवितरिका
Active dune,सक्रिय टिब्बा
Active layer,सक्रिय परत
Active region,सक्रिय क्षेत्र
Active section,सक्रिय खंड
Active volcano,सक्रिय ज्वालामुखी
Activity,सक्रियता
Actualistic principle,यथार्थवादी सिद्धांत
Additive,"योज्य, योगात्मक"
Additive process,योज्य प्रक्रम
Adhesion,आसंजन
Adhesive,"आसंजनशील, आसंजक, आसंजी"
Adhesive property,आसंजक गुणधर्म
Adiabatic,रूद्धोष्म
Adjacent,"संलग्न, निकटवर्ती, आसन्न"
Adjacent stream,संलग्न सरिता
Adjustment,समायोजन
Adjustment of instrument,यंत्र समायोजन
Adobe flat,ऐडोब मैदान
Adobe soil,ऐडोब मृदा
Adolescence,पाकपूर्वावस्था
Adolescent,"पाकपूर्व, किशोर"
Adolescent river,पाकपूर्व नदी
Adolescent stage,पाक पूर्वीवस्था
Adsorption,अधिशोषण
Adventive crater,अपस्थानिक क्रेटर
