Bengali,Punjabi
অ্যাবাকাস,abacus
অস্বাভাবিক সমাপ্তি,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
গর্ভপাত,ਅਧੂਰਾ ਛੱਡੋ
পরম,ਅਸੀਮ
পরম ঠিকানা,ਪੂਰਾ ਪਤਾ
পরম ঠিকানা,ਪੂਰਨ ਸੰਬੋਧਨ
পরম সংযোজনকারী,ਪੂਰਨ ਅਸੈਂਬਲਰ
পরম কোড,ਪੂਰਨ ਕੋਡ
পরম আদেশ,ਪੂਰਨ ਹੁਕਮ
পরম তথ্য,ਪੂਰਨ ਡਾਟਾ
পরম নির্দেশ,ਪੂਰਨ ਹਿਦਾਇਤ
পরম মোড,ਪੂਰਨ ਮੋਡ
পরম পথ,ਪੂਰਨ ਮਾਰਗ
পরম প্রোগ্রামিং,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
বিমূর্ত ক্লাস,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
বিমূর্ত তথ্য প্রকার,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
বিমূর্ত মেশিন,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
বিমূর্ত প্রতীক,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
বিমূর্ত বাক্য গঠন,ਸੰਖੇਪ ਸੰਟੈਕਸ
স্বীকৃতি যাচাইকরণ,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
অ্যাক্সেস প্রমাণীকরণ,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
প্রবেশাধিকার কোড,ਐਕਸੈਸ ਕੋਡ
প্রবেশাধিকার নিয়ন্ত্রণ,ਪਹੁੰਚ ਕੰਟਰੋਲ
অ্যাক্সেস স্ক্যান,ਐਕਸੈਸ ਸਕੈਨ
আনুষঙ্গিক,ਸਹਾਇਕ
অ্যাকাউন্ট,ਖਾਤਾ
অ্যাকাউন্ট আইডি,ਖਾਤਾ ID
সঞ্চয়কারী,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
সঠিকতা,ਸ਼ੁੱਧਤਾ
অ্যাক্সেস,ਪਹੁੰਚ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
অ্যাক্সেস সূচক,ਐਕਸੈਸ ਇੰਡੈਕਸ
অ্যাক্সেস কী,ਪਹੁੰਚ ਕੁੰਜੀ
অ্যাক্সেস ম্যাট্রিক্স,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
অ্যাক্সেস মোড,ਪਹੁੰਚ ਮੋਡ
প্রবেশাধিকার,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
অ্যাক্সেস নিরাপত্তা,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
অ্যাক্সেস সার্ভার,ਪਹੁੰਚ ਸਰਵਰ
অ্যাক্সেস সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
স্বীকৃতি,ਮਾਨਤਾ
ধ্বনিবিদ্যা,ਧੁਨੀ ਵਿਗਿਆਨ
সংক্ষিপ্ত রূপ,ਸੰਖੇਪ ਸ਼ਬਦ
কর্ম বার্তা,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
সক্রিয়করণ,ਸਰਗਰਮੀ
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
সক্রিয় সংস্করণ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
অ্যাসাইক্লিক,acyclic
অ্যাসাইক্লিক গ্রাফ,acyclic ਗ੍ਰਾਫ਼
অ্যাডা ভাষা,ਅਦਾ ਭਾਸ਼ਾ
অ্যাডাপ্টার,ਅਡਾਪਟਰ
যোগ করুন,ਸ਼ਾਮਲ ਕਰੋ
ফাইল যুক্ত কর,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
অপারেশন যোগ করুন,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
যোগকারী,ਜੋੜਨ ਵਾਲਾ
ঠিকানা,ਪਤਾ
