Punjabi,English
ਪਰੇਸ਼ਾਨੀ,Abatement
ਸੰਖੇਪ,Abbreviation
ਅਗਵਾ,Abduction
ਧਾਰਨਾ,Abeyance
ਯੋਗਤਾ,Ability
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,Ab initio
ਯੋਗ,Able
ਅਸਧਾਰਨ,Abnormal
ਖਤਮ,Abolition
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,Abolitionof post
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,Above mentioned
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,Above quoted
ਉਪਰੋਕਤ ਕਿਹਾ,Above said
ਗੈਰਹਾਜ਼ਰੀ,Absence
ਗੈਰਹਾਜ਼ਰ,Absentee
ਗੈਰਹਾਜ਼ਰ,Absenteeism
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,Absentee statement
ਅਸੀਮ,Absolute
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,Absolute monopoly
ਸੰਪੂਰਨ ਮਾਲਕੀ,Absolute ownership
ਸਮਾਈ,Absorption
ਸਾਰ,Abstract
ਸੰਖੇਪ,Abstractstatement
ਬੇਹੂਦਾ,Absurd
ਬਹੁਤਾਤ,Abundance
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,Abuse of power
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,Abusive language
ਅਕਾਦਮਿਕ,Academic
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,Academic discussion
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,Academic leave
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,Academic qualification
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,Academic record
ਐੱਸ,Accede
ਸਵੀਕਾਰ ਕਰੋ,Accept
ਮਨਜ਼ੂਰ,Acceptance
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,Acceptance of office
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,Acceptance of tender
ਪਹੁੰਚ,Access
ਐਕਸੈਸਿੰਗ,Accession
ਸਹਾਇਕ,Accessory
ਹਾਦਸਾ,Accident
ਅਨੁਕੂਲਤਾ,Acclimatization
ਰਿਹਾਇਸ਼,Accommodation
ਦੇ ਨਾਲ,Accompanist
ਸਮਝੌਤਾ,Accord
ਦੇ ਅਨੁਸਾਰ,Accordance
ਇਸ ਅਨੁਸਾਰ,Accordingly
ਖਾਤਾ,Account
ਜਵਾਬਦੇਹੀ,Accountability
ਜਵਾਬਦੇਹ,Accountable
ਖਾਤੇ ਦੀ,Accountancy
ਲੇਖਾਕਾਰ,Accountant
ਲਈ ਖਾਤਾ,Account for
ਖਾਤਾ ਸਿਰ,Account head
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,Accrued benefit
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,Accrued pension
ਇਕੱਠਾ,Accumulation
ਸ਼ੁੱਧਤਾ,Accuracy
ਸਹੀ,Accurate
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,Accuse
ਦੋਸ਼ੀ,Accused
ਪ੍ਰਾਪਤੀ,Achievement
ਪ੍ਰਵਾਨਗੀ,Acknowledgement
ਬਣ ਰਹੇ,Acknowledgement due
ਜਾਣ-ਪਛਾਣ,Acquaintance
ਗ੍ਰਹਿਣ,Acquisition
ਬਰੀ,Acquittance
ਐਕਟ,Act
ਅਦਾਕਾਰੀ ਭੱਤਾ,Acting allowance
ਕਾਰਵਾਈ,Action
