Marathi,Punjabi
अँपिअर (युनिट),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
angstrum,angstrum
ए-क्लास अॅम्प्लिफायर,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
एएन रेडिओ सहाय,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
एक-स्कॅनिंग सादरीकरण,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
a-darsh,a-ਦਰਸ਼
ए-स्कोप कामगिरी,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T वक्र क्रिस्टल,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
आहे,am
AMU (अणु वस्तुमान एकक),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
आर्ड-वार्क*,ਆਰਡ-ਵਰਕ*
ab-ampere,ਐਬ-ਐਂਪੀਅਰ
A-B वर्ग अॅम्प्लिफायर,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
adah,adah
A-B शक्ती पिटक,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = संरेखन चार्ट = nomograph,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
अबे क्रमांक (अबे स्थिरांक),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
abe refractometer,abe refractometer
अबे साइन राज्य,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
स्वयंचलित पूर्वाग्रह भरपाई,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
विकृती,ਵਿਗਾੜ
विकृती सुधारक लेन्स,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
आकाश विकृती,ਅਸਮਾਨ ਵਿਕਾਰ
abfarad,abfarad
एबेनरी,ਈਬੇਨਰੀ
इबोनी प्रभाव,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
असामान्य ध्रुवीकरण,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
असामान्य प्रसार,ਅਸਧਾਰਨ ਸੰਚਾਰ
अलौकिक प्रतिबिंब,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
असामान्य अपवर्तन*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
अलौकिक प्रतिकार,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"प्राबल्य, अपयश","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"संलग्न, सहसा, उभे, विभक्त, खंडित","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
अनेकदा उडी मारते,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
हात*,ਹੱਥ*
हरवलेले प्रतिबिंब,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
गहाळ स्पेक्ट्रम,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
परिपूर्ण प्रवेग,ਪੂਰਨ ਪ੍ਰਵੇਗ
परिपूर्ण वास्तव,ਪੂਰਨ ਅਸਲੀਅਤ
परिपूर्ण पत्ता,ਪੂਰਾ ਪਤਾ
भौगोलिक उच्चांक,ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ
भौगोलिक उंची,ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ
परिपूर्ण अँपिअर,ਪੂਰਨ ਐਂਪੀਅਰ
परिपूर्ण उकळत्या बिंदू,ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ
परिपूर्ण प्रकाश,ਪੂਰਨ ਪ੍ਰਕਾਸ਼
परिपूर्ण क्षमता,ਪੂਰਨ ਸਮਰੱਥਾ
परिपूर्ण उंची,ਪੂਰਨ ਉਚਾਈ
परिपूर्ण रंगद्रव्य,ਪੂਰਨ ਰੰਗ
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ"
परिपूर्ण कूलॉम्ब,ਪੂਰਨ ਕੂਲੰਬ
पूर्ण अंधार,ਪੂਰਾ ਹਨੇਰਾ
परिपूर्ण वेळापत्रक,ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ
परिपूर्ण घनता*,ਸੰਪੂਰਨ ਘਣਤਾ*
पूर्ण निचरा,ਪੂਰਨ ਡਰੇਨੇਜ
संपूर्ण EMU (विद्युत चुंबकीय एकक),ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ)
संपूर्ण ESU (स्थिर एकक),ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ)
परिपूर्ण कार्यक्षमता,ਪੂਰਨ ਕੁਸ਼ਲਤਾ
परिपूर्ण इलेक्ट्रोमीटर,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ
परिपूर्ण आर्द्रता,ਪੂਰਨ ਨਮੀ
परिपूर्ण घटना,ਸੰਪੂਰਨ ਘਟਨਾ
परिपूर्ण अपवर्तक निर्देशांक,ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ
पूर्ण अस्थिरता,ਪੂਰਨ ਅਸਥਿਰਤਾ
पूर्ण अस्थिरता,ਪੂਰਨ ਅਸਥਿਰਤਾ
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ"
अस्थेनियाची परिपूर्ण मर्यादा,ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ
परिपूर्ण प्रकाश वक्र,ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ
परिपूर्ण परिमाण,ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ
परिपूर्ण बॅरोमीटर,ਪੂਰਨ ਬੈਰੋਮੀਟਰ
सर्वोच्च सर्वोच्च,ਪਰਮ ਸਰਵਉੱਚ
पूर्ण टोक,ਪੂਰਨ ਅਤਿ
परिपूर्ण सर्वात कमी,ਸਭ ਤੋਂ ਘੱਟ
