Gujarati,Kannada
મહારમાન સપાટી,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
પેટ,ಹೊಟ್ಟೆ
પેટનો એરોર્ટા,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
આધાર ગેંગલિયા,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
વિપુલતા,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
નાજુક,ಅಬ್ಬರ
એબિંગ્ડન કાચબો,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
સ્વત્વાર્પણ,ಕ್ಷು ತನ್ನತೆ
અહંકારી,ಅಸಹ್ಯವಾದ
અભણ પરિબળ,ಉದಾಸೀಯ ಅಂಶ
અસામાન્ય પેશાબ,ಅಸಹಜ ಮೂತ್ರ
એબીઓ રક્ત જૂથ,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
સદસ્યાટ,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
વિકલાંગતા,ಕಂದಿಸುವುದು
શોષવું,ಹೀರಿಕೊಳ್ಳಿ
શોષણ ટોચ,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
સમાવેશ,ಹೀರುವಿಕೆ
બાવળ,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
એકરિયા અરબીકા,ಅಕ್ಯಾಬಿಕಾ
એકર,ಅಣಕಾದ
સ્વીકાર્ય જાતીય વર્તન,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
સહાયક ગ્રંથિ,ಪರಿಕರ ಗ್ರಂಥಿ
સહાયક ગ્રંથિ,ಪರಿಕರ ಗ್ರಂಥಿ
સહાયક અંગ,ಪರಿಕರ ಅಂಗ
સ્વાર્થીકરણ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
મામૂલી કરવું,ಒಗ್ಗಿಸು
આવાસ (ધ્યાન કેન્દ્રિત),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
આંખનું સ્થાન,ಕಣ್ಣಿನ ವಸತಿ
પરિધિ,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
સંચય,ಸಂಗ್ರಹಣೆ
કાર્બનિક પદાર્થનું સંચય,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
જમીનનો સંચય,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
મધ્યમ,ಉಭಯಾಕಾರದ
મધ્ય જીવ,ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ
અકારો,ಅಸೆಟಾಬುಮ್
Ecetaldehyde,ಅಸೆಟಾಲ್ಡಿಹೈಡ್
એસીટીલ કોએન્ઝાઇમ,ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್
એકલતા,ಕಸ
અચેન પ્રકાર,ಮೊಲ ಪ್ರಕಾರ
અહંકાર,ಉಂಗುರ
આચ્છાદન,ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ
એસિડ વરસાદ,ಆಮ್ಲ ಮಳೆ
અમ્દિન,ಆಮ್ಲೀಯ
અમ્બલિક ગેસ,ಆಮ್ಲೀಯ ಅನಿಲ
અમલ્ય,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
કોતરણીનો કોષ,ಅಸಿನಾರ್ ಕೋಶ
Acાંકણ,ಜಾಮಕೀಯ
એક જાતની કળા,ಅನನಟ
એકોખી,ಆಕ್ರೋಶದ ಹುಳು
ધ્વનિ ક્ષેત્ર,ಅಕೌಸ್ಟಿಕ್ ವಲಯ
પ્રાપ્ત કરેલું પાત્ર,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ
હસ્તગત પ્રતિરક્ષા,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್)
ક્રોધાવેશ,ಪ್ರಾದೇಶಿಕ
એસિડાઇન રંગ,ಅಣಕಾದ ಬಣ್ಣ
અતિશય,ವ್ಯಾಪಕವಾದ
કરચલી,ಅಕ್ರಾಮನ್
સર્કરો,ಸ್ಥಗಿತದ ಅನುಕ್ರಮ
સરકરાનો હુકમ,ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ
ગળાશ,ಅಕ್ರೋಸಿನ್
કાર્ય,ಅ ೦ ಗಡಿ
કૃત્ય,ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್
અભિપ્રાયનું,ಕ್ರಿಯಾಶೀಲತೆ
