Assamese,English
abeli গ্ৰুপ,Abelian group
abeli গ্ৰুপ,abelian semigroup
হাত,abscissa
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত",absolute
নিৰপেক্ষ অভিসৰণ,absolute convergence
নিৰপেক্ষ ভুল,absolute error
পৰম পৰম,absolute maximum
নিৰপেক্ষ সৰ্বনিম্ন,absolute minimum
নিৰপেক্ষ মূল্য,absolute value
নিৰপেক্ষ বেগ,absolute velocity
বিমূৰ্ত বীজগণিত,abstract algebra
বিমূৰ্ত গোট তত্ত্ব,abstract group theory
বেগ বৃদ্ধি,acceleration
মহাকৰ্ষণীয় ত্বৰণ,acceleration due to gravity
গ্ৰহণযোগ্য নিৰ্বাচক,acceptable choice set
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,acceptable quality level
গ্ৰহণযোগ্য চৌহদ,acceptable range
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,acceptable reliability level
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,acceptable sampling
সঞ্চিত ভুল,accumulated error
শুদ্ধতা,accuracy
প্ৰয়োগ কৰা বল,acting force
"কাৰ্য্য, কাৰ্য্য",action
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,action and reaction
বীমা বিজ্ঞান,acturial science
তীব্ৰ ত্ৰিভুজ,acute angled triangle
অচক্ৰীয়,acyclic
সামৰণিত,add
adder,adder
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)",addition
যোগৰ সূত্ৰ,addition formula
জটিল সংখ্যাৰ যোগফল,addition of complex numbers
ফলনৰ যোগফল,addition of functions
মেট্ৰিক্সৰ যোগফল,addition of matrices
বহুপদৰ যোগফল,addition of polynomials
সম্ভাৱনাৰ যোগফল,addition of probabilities
ভেক্টৰৰ যোগফল,addition of vectors
"যোগ উপপাদ্য, বেৰী তত্ত্ব,",addition theorem
যোগকৰণ গোট,additive group
যোগকৰণৰ বিপৰীত,additive inverse
যোগযোগ্যতা,additive property
যোগযোগ্যতা,additivity
সংলগ্নতা মেট্ৰিক্স,adjacency matrix
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া",adjacent
কাষৰীয়া কোণ,adjacent angles
কাষৰীয়া শিখৰ,adjacent vertex
to associate,adjoin
"সংযুক্ত আবৃত,",adjoining
সাধাৰণ নিৰ্ণায়ক,adjoint determinant
সংযুক্ত অৱভেদ্য সমীকৰণ,adjoint differential equation
সংলগ্ন সমীকৰণ,adjoint equation
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,adjoint matrix
মেট্ৰিক্স সহাৱস্থান,adjoint of matrix
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,adjugate matrix
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,admissible decision function
গ্ৰহণযোগ্য অনুমান,admissible hypothesis
বায়ুগতিবিদ্যা বল,aerodynamic force
বায়ুগতিবিদ্যা,aerodynamics
সমজাতীয় জ্যামিতি,affine geometry
সমজাতীয় মেপিং,affine mapping
সমজাতীয় ৰূপান্তৰ,affine transformation
এগ্ৰিগেট ভেৰিয়েবল,aggregating variables
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত",algebra
"বীজযুক্ত বন্ধ, বীজযুক্ত",algebraically closed
বীজগণিতীয় সমীকৰণ,algebraic equation
বীজগণিতীয় প্ৰকাশ,algebraic expression
বীজগণিতীয় একাকাৰীতা,algebraic form
বীজগণিতীয় ফলন,algebraic function
বীজগণিতীয় জ্যামিতি,algebraic geometry
বীজগণিতীয় বহুত্ব,algebraic multiplicity
বীজগণিতীয় ব্যৱস্থা,algebraic system
সকলো-পূৰ্ণসংখ্যা সমস্যা,all-integer problem
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",allocation problem
বৰ্ণানুক্ৰমিক সংকেত,alphabetical notation
বৰ্ণানুক্ৰমিক আখৰ,alphabetic character
বিকল্প কোণ,alternate angle
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",alternating form
বিকল্প গোট,alternating group
বিকল্প মেট্ৰিক্স,alternating matrix
বিকল্প শৃংখলা,alternating series
বিকল্প অনুমান,alternative hypothesis
বিকল্প অনুকূল,alternative optima
বিকল্প ফলাফল,alternative outcome
এনালগ-ডিজিট ৰূপান্তৰক,analog-to-digital converter
"এনালগ কম্পিউটাৰ,",analogue computer
বিশ্লেষণ,analysis
সহাৱস্থান বিশ্লেষণ,analysis of covariance
গণনা-তথ্য বিশ্লেষণ,analysis of enumeration data
ভ্যাৰিয়েন্স বিশ্লেষণ,analysis of variance
বিশ্লেষণাত্মক জ্যামিতি,analytic geometry
বিশ্লেষণাত্মক কাৰ্য্য,analytic function
কোণ,angle
স্পৰ্শক কোণ,angle of contact
বিক্ষেপণ কোণ,angle of deflection
ডিপ্ৰেছন এংগেল,angle of depression
বিচ্যুতি কোণ,angle of deviation
বিবৰ্তন কোণ,angle of diffraction
উচ্চতা কোণ,angle of elevation
প্ৰাদুৰ্ভাৱৰ কোণ,angle of incidence
প্ৰক্ষেপণৰ কোণ,angle of projection
প্ৰতিফলনৰ কোণ,angle of reflection
বিবৰ্তনৰ কোণ,angle of refraction
ঘূৰ্ণন কোণ,angle of rotation
