Kannada,Hindi
ಅಬೆಲಿ ಗುಂಪು,आबेली समूह
ಅಬೆಲಿ ಗುಂಪು,आबेली सामिसमूह
ಕೈ,भुज
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","निरपेक्ष, परम, अचर, परिशुद्‌ध"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,निरपेक्ष अभिसरण
ಸಂಪೂರ್ಣ ದೋಷ,निरपेक्ष त्रुटि
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,परम उच्चिष्ठ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,परम निम्निष्ठ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,निरपेक्ष मान
ಸಂಪೂರ್ಣ ವೇಗ,निरपेक्ष वेग
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,अमूर्त बीजगणित
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,अमूर्त समूह सिद्‌धांत
ವೇಗವರ್ಧನೆ,त्वरण
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,गुरुत्वीय त्वरण
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,स्वीकार्य वरण-समुच्चय
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,स्वीकार्य गुणता स्तर
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,स्वीकार्य परिसर
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,मान्य विश्वसनीयता स्तर
ಸ್ವೀಕಾರ ಮಾದರಿ,स्वीकरण-प्रतिचयन
ಸಂಚಿತ ದೋಷ,संचित त्रुटि
ನಿಖರತೆ,यथार्थता
ಅನ್ವಯಿಸಿದ ಬಲ,लगा हुआ बल
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","क्रिया, कर्म"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया और प्रतिक्रिया
ವಿಮಾ ವಿಜ್ಞಾನ,बीमा विज्ञान
ತೀವ್ರ ತ್ರಿಕೋನ,न्यूनकोण त्रिभुज
ಅಸೈಕ್ಲಿಕ್,अचक्रीय
ಒಟ್ಟುಗೂಡಿಸಲು,"योग करना, जोड़ना"
ಸೇರಿಸುವವನು,योजक
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ಯೋಗದ ಸೂತ್ರ,योग का सूत्र
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,सम्मिश्र संख्याओं का योग
ಕಾರ್ಯಗಳ ಮೊತ್ತ,फलनों का योग
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,आव्यूहों का योग
ಬಹುಪದಗಳ ಮೊತ್ತ,बहुपदों का योग
