Gujarati,English
અબેલી જૂથ,Abelian group
અબેલી જૂથ,abelian semigroup
હાથ,abscissa
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ",absolute
સંપૂર્ણ સંકલન,absolute convergence
સંપૂર્ણ ભૂલ,absolute error
સર્વોચ્ચ સર્વોચ્ચ,absolute maximum
એકદમ નીચું,absolute minimum
સંપૂર્ણ મૂલ્ય,absolute value
સંપૂર્ણ વેગ,absolute velocity
અમૂર્ત બીજગણિત,abstract algebra
અમૂર્ત જૂથ સિદ્ધાંત,abstract group theory
પ્રવેગ,acceleration
ગુરુત્વાકર્ષણ પ્રવેગક,acceleration due to gravity
સ્વીકાર્ય પસંદગીકાર,acceptable choice set
સ્વીકાર્ય ગુણવત્તા સ્તર,acceptable quality level
સ્વીકાર્ય જગ્યા,acceptable range
માન્ય વિશ્વસનીયતા સ્તર,acceptable reliability level
સ્વીકૃતિ નમૂના,acceptable sampling
સંચિત ભૂલ,accumulated error
ચોકસાઈ,accuracy
બળ લાગુ કર્યું,acting force
"ક્રિયા, ખત",action
ક્રિયા અને પ્રતિક્રિયા,action and reaction
વીમા વિજ્ઞાન,acturial science
તીવ્ર ત્રિકોણ,acute angled triangle
એસાયક્લિક,acyclic
સારાંશ માટે,add
ઉમેરનાર,adder
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)",addition
યોગનું સૂત્ર,addition formula
જટિલ સંખ્યાઓનો સરવાળો,addition of complex numbers
કાર્યોનો સરવાળો,addition of functions
મેટ્રિસિસનો સરવાળો,addition of matrices
બહુપદીનો સરવાળો,addition of polynomials
સંભાવનાઓનો સરવાળો,addition of probabilities
વેક્ટરનો સરવાળો,addition of vectors
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,",addition theorem
ઉમેરણ જૂથ,additive group
ઉમેરણ વ્યસ્ત,additive inverse
ઉમેરણ,additive property
ઉમેરણ,additivity
સંલગ્નતા મેટ્રિક્સ,adjacency matrix
"અડીને, અડીને, અડીને",adjacent
અડીને કોણ,adjacent angles
અડીને શિરોબિંદુ,adjacent vertex
સાંકળવું,adjoin
"જોડાયેલ બંધ,",adjoining
સામાન્ય નિર્ણાયક,adjoint determinant
જોડાયેલ વિભેદક સમીકરણ,adjoint differential equation
જોડાયેલ સમીકરણ,adjoint equation
કોહોમોજીનીયસ મેટ્રિક્સ,adjoint matrix
મેટ્રિક્સ સહપ્રવૃત્તિ,adjoint of matrix
કોહોમોજીનીયસ મેટ્રિક્સ,adjugate matrix
સ્વીકાર્ય નિર્ણય કાર્ય,admissible decision function
સ્વીકાર્ય પૂર્વધારણા,admissible hypothesis
એરોડાયનેમિક બળ,aerodynamic force
એરોડાયનેમિક્સ,aerodynamics
સજાતીય ભૂમિતિ,affine geometry
સજાતીય મેપિંગ,affine mapping
સજાતીય પરિવર્તન,affine transformation
એકંદર ચલ,aggregating variables
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત",algebra
"સીડી બંધ, બીજરૂપે",algebraically closed
બીજગણિતીય સમીકરણ,algebraic equation
બીજગણિતીય અભિવ્યક્તિ,algebraic expression
બીજગણિત એકરૂપતા,algebraic form
બીજગણિત કાર્ય,algebraic function
બીજગણિત ભૂમિતિ,algebraic geometry
બીજગણિત બહુમતી,algebraic multiplicity
બીજગણિત સિસ્ટમ,algebraic system
તમામ પૂર્ણાંક સમસ્યા,all-integer problem
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",allocation problem
આલ્ફાબેટીકલ નોટેશન,alphabetical notation
આલ્ફાબેટીક અક્ષર,alphabetic character
વૈકલ્પિક ખૂણા,alternate angle
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",alternating form
વૈકલ્પિક જૂથ,alternating group
વૈકલ્પિક મેટ્રિક્સ,alternating matrix
વૈકલ્પિક શ્રેણી,alternating series
વૈકલ્પિક પૂર્વધારણા,alternative hypothesis
વૈકલ્પિક શ્રેષ્ઠ,alternative optima
વૈકલ્પિક પરિણામ,alternative outcome
એનાલોગ-અંક કન્વર્ટર,analog-to-digital converter
"એનાલોગ કમ્પ્યુટર,",analogue computer
વિશ્લેષણ,analysis
સહપ્રવર્તન વિશ્લેષણ,analysis of covariance
ગણતરી-માહિતી વિશ્લેષણ,analysis of enumeration data
વિચલન વિશ્લેષણ,analysis of variance
વિશ્લેષણાત્મક ભૂમિતિ,analytic geometry
વિશ્લેષણાત્મક કાર્ય,analytic function
કોણ,angle
સ્પર્શકોણ,angle of contact
વિચલન કોણ,angle of deflection
હતાશા કોણ,angle of depression
વિચલન કોણ,angle of deviation
વિવર્તન કોણ,angle of diffraction
એલિવેશન એંગલ,angle of elevation
ઘટના કોણ,angle of incidence
પ્રક્ષેપણ કોણ,angle of projection
પ્રતિબિંબ કોણ,angle of reflection
રીફ્રેક્શન કોણ,angle of refraction
પરિભ્રમણ કોણ,angle of rotation
પ્રતિબિંબનો સંપૂર્ણ કોણ,angle of total reflection
કોણીય પ્રવેગક,angular acceleration
કોણીય વેગ,angular motion
કોણીય ઝડપ,angular speed
કોણીય વેગ,angular velocity
રિંગ આંગળી,annulus
જવાબ આપો,answer
પ્રતિ વ્યુત્પન્ન,anti – derivative
આઇસોમેટ્રિક કાર્ય,antisymmetric function
"આવરી લેવા યોગ્ય, લાગુ, લાગુ",applicable
"અરજી અરજી,",application
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,applied dynamic programming
લાગુ ભૂમિતિ,applied geometry
લાગુ ગણિત,applied mathematics
લાગુ આંકડા,applied statistics
"લગભગ, લગભગ",approximately
લગભગ સતત કાર્ય,approximately continuous function
"મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ",approximate method
અંદાજિત ઉકેલ,approximate solution
અંદાજની સમસ્યા,approximation problem
અંદાજિત મિલકત,approximation property
અભિરુચિ કસોટી,aptitude test battery
આર્ગોન ડાયાગ્રામ,Argand diagram
સ્વૈચ્છિક,arbitrarily chosen
"રેન્ડમ, રેન્ડમ",arbitrary
મનસ્વી સતત,arbitrary constant
મફત તત્વ,arbitrary element
મનસ્વી બિંદુ,arbitrary point
આર્કિમિડીનો કાયદો,Archemedean law
આર્કિમિડીઝનો કાયદો,Archimedes principle
"ચાપ-લંબાઈ, ચાપ-લંબાઈ",arc length
વર્તુળ ચાપ,arc of circle
વ્યસ્ત સાઈન વિતરણ,arc sine distribution
વ્યસ્ત સાઈન રૂપાંતરણ,arc sine transformation
"વિસ્તાર, વિસ્તાર",area
પ્રાદેશિક રૂપરેખાંકન,areal texture
જટિલ સંખ્યાનો કોણ,argument of complex number
અંકગણિત સરેરાશ,arithmetic mean
ડિજિટલ કામગીરી,arithmetic operation
ડિજિટલ એકમ,arithmetic unit
"ગોઠવણી, ગોઠવણી",arrangement
"એરે, એરે",array
કૃત્રિમ ઉપગ્રહ,artificial satellite
કૃત્રિમ ચલ,artificial variable
ચઢવું,ascend
ચડતા,ascending
તીવ્રતાનો ચડતો ક્રમ,ascending order of magnitude
ચડતા ગ્રેડ,ascending series
એસેમ્બલર ભાષા,assembler language
"સોંપણી સમસ્યા સોંપણી પ્રશ્ન,",assignment problem
સહયોગી નિયમ,associative law
ઓપરેટરોનો સહયોગી નિયમ,associative law of operators
સહયોગી કામગીરી,associative operation
સોબત,associativity
ધાર્યું સરેરાશ,assumed mean
અનુમાનિત સંભાવના વિતરણ,assumed probability distribution
"કલ્પના, સ્વીકાર્યું,",assumption
જ્યોતિષશાસ્ત્ર,astrology
"એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર,",astronautical engineer
ખગોળશાસ્ત્રી*,astronomer
ખગોળશાસ્ત્રીય ઘડિયાળ,astronomical clock
ખગોળશાસ્ત્ર,astronomy
અસમપ્રમાણ વળાંક,asymmetrical curve
અસમપ્રમાણતા,asymmetry
એસિમ્પટોટિક,asymptote
ઉત્તેજક,asymptotic
પ્રગતિશીલ અંદાજકાર,asymptotically efficient estimator
પૂર્વગ્રહ પક્ષપાતી અંદાજકાર,asymptotically unbiased estimator
પૂર્વવર્તી આચરણ,asymptotic behavior
આક્રમક વિતરણ કાર્ય,asymptotic distribution function
ઉપરની તરફ ફેલાવો,asymptotic expansion
વાતાવરણ નુ દબાણ,atmospheric pressure
"અવ્યવસ્થિત રીતે,",at random
મિલકત*,attribute
એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ,attributes sampling procedure
સંવર્ધિત મેટ્રિક્સ,augmented matrix
સ્વતઃસંબંધ ગુણાંક,autocorrelation coefficient
સ્વતઃસંબંધ કાર્ય,autocorrelation function
સહપ્રવૃત્તિ,autocovariance
સ્વચાલિત કમ્પ્યુટર,automatic computer
ઓટોરીગ્રેશન,autoregression
સહાયક સમીકરણ,auxiliary equation
મીન સેમ્પલ નંબર કર્વ (MPC કર્વ),average sample number curve (A.S.N. Curve)
"axiom, axiom",axiom
સ્વયંસિદ્ધ અભિગમ,axiomatic approach
સંભાવના સ્વયંસિદ્ધ,axiom of probability
ધરી,axis
ભુજક્ષા,axis of abscissa
પૃથ્વીની ધરી,axis of earth
પરિભ્રમણ અક્ષ,axis of revolution
પરિભ્રમણ અક્ષ,axis of rotation
સ્પિન અક્ષ,axis of spin
પોસ્ટ રિપ્લેસમેન્ટ,back-substitution
પાછળથી,backward difference
પાછા નિવેશ સૂત્ર,backward-interpolation formula
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન",balance
સંતુલિત ડિઝાઇન,balanced design
સરવૈયા,balance sheet
મિસાઇલ,ballistic missile
"બેલિસ્ટિક્સ, હથિયાર",ballistics
"કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર",bar
"આધાર, આધાર, આધાર, આધાર, આધાર",base
આધાર કોણ,base angle
"લઘુગણકનો આધાર, લઘુગણકનો આધાર",base of logarithm
"મૂળભૂત, મૂળભૂત,",basic
આધાર સુસંગત ઉકેલ,basic feasible solution
આધાર ઉકેલ,basic solution
આધાર ચલ,basic variable
પાયો,basis
આધાર તત્વ,basis element
આધાર મેટ્રિક્સ,basis matrix
વેક્ટર જગ્યાનો આધાર,basis of a vector space
પેટા-વસ્તીનો આધાર,basis of subspace
અનૈતિક,Bayesian estimate
bez-નિયમ,Bayes' law
bez-પ્રમેય,Bayes' theorem
bernoulli-વિતરણ,Bernoulli distribution
બર્નોલી નંબરો,Bernoulli number
Bernoulli સંભાવના કાર્ય,Bernoulli probability function
બર્નોલી-સમીકરણ,Bernoulli's equation
બેરી કાર્ય,Berry function
શ્રેષ્ઠ સંલગ્નતા,best fit
શ્રેષ્ઠ સંલગ્નતા રેખા,best - fit line
શ્રેષ્ઠ ઉકેલ,best solution
શ્રેષ્ઠ ટીપ્સ,best strategies
બીટા વિતરણ,beta distribution
"પૂર્વગ્રહ, પૂર્વગ્રહ",bias
પક્ષપાતી આકારણી,biased estimate
દ્વિપદી સમીકરણ,biharmonic equation
એક કવર,bijection
એક કવર નકશો,bijective map
સિંગલ કવર મેપિંગ,bijective mapping
ચતુર્ભુજ ચતુર્ભુજ,bilinear form
દ્વિરેખીય કાર્ય,bilinear function
દ્વિરેખીય સંન્યાસી એકરૂપતા,bilinear Hermitian form
"દ્વિ-ચલ, દ્વિસંગી, દ્વિ",binary
"બાઈનરી કોડ, બાઈનરી કોડ",binary code
"દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ",binary coded decimal
બાઈનરી એન્કોડિંગ,binary coding
દ્વિસંગી કમ્પ્યુટર,binary computer
દ્વિસંગી સંખ્યાઓ,binary digit
દ્વિસંગી કામગીરી,binary operation
દ્વિસંગી પદ્ધતિ,binary system
દ્વિસંગી ચલ,binary variable
દ્વિપદી ગુણાંક,binomial coefficient
દ્વિપદી વિતરણ,binomial distribution
દ્વિપદી સમીકરણ,binomial equation
દ્વિપદી ભિન્નતા,binomial expansion
દ્વિપદી અભિવ્યક્તિ,binomial expression
દ્વિપદી રેન્ડમ ચલ,binomial random variable
દ્વિપદી પ્રમેય,binomial theorem
"અર્ધ, વિભાજન",bisection
"દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ",bisection method
અડધા દ્વિભાજક,bisector
દ્વિપદી,biserial
"દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક",bit
દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી,bivariate binomial distribution
દ્વિવિધ સહસંબંધ ગુણાંક,bivariate correlation coefficient
દ્વિવિધ વિતરણ,bivariate distribution
બાયવેરિયેટ સામાન્ય-વિતરણ,bivariate normal distribution
બાઇવેક્ટર,bivector
બોલ્ટમેન સમીકરણ,Boltzmann equation
બુલિયન બીજગણિત*,Boolean algebra
બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ,Bose - Einstein statistics
મર્યાદા પ્રતિબંધો,boundary condition
સીમા સ્તર,boundary layer
સીમા રેખા,boundary line
મર્યાદા મૂલ્ય,boundary value
સીમા મૂલ્યની સમસ્યા,boundary value problem
"બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ,",bounded function
"બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ,",bounded matrix
"સીમિત પ્રદેશ સીમિત પ્રદેશ,",bounded region
"બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ,",bounded set
બ્રાઉની ગતિ,Brownian motion
ગણતરી કરવી,calculate
ગણતરી,calculating
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર",calculating machine
ગણતરી*,calculation
કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ,calculational procedure
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર",calculator
"કલન, કલન",calculus
વિભિન્ન કલન,calculus of variation
કેલરી,calorie
નિયમ રદ કરો,cancellation law
પ્રામાણિક સમીકરણ,canonical equation
પ્રમાણભૂત સ્વરૂપ,canonical form
"કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ",canonical matrix
કેન્ટર સેટ,Cantor set
કેન્ટર ત્રિકોણાકાર સમૂહ,Cantor's ternary set
પ્રતિબંધિત પરિવહન સમસ્યા,capacitated transportation problem
ક્ષમતા,capacity
રુધિરકેશિકા બળ,capillary force
"કાઉન્ટ નંબર, કાર્ડિનલ નંબર",cardinal number
કાર્ટેશિયન અક્ષ,Cartesian axes
કાર્ટેશિયન કોઓર્ડિનેટ્સ,Cartesian coordinates
કાર્ટેશિયન ઉત્પાદન,Cartesian product
સમૂહોનું કાર્ટેશિયન ગુણાકાર,Cartesian product of sets
"કેસ સ્ટડી, કેસ સ્ટડી",case study
આપત્તિજનક ભાષણ,catastrophic fluctuation
કેટિનરી,Catenary
કોચી વિતરણ,Cauchy distribution
કૌશીનું સૂત્ર,Cauchy formula
કૌશી-ગુર્સા-પ્રમેય,Cauchy Goursat theorem
કૌશી-રીમેન-બાન,Cauchy Riemann conditions
કોચી ક્રમ,Cauchy sequence
કૌશી અભિન્ન,Cauchy integral
કૌશી મુખ્ય-મૂલ્ય,Cauchy principal value
કોચી શેષ પ્રમેય,Cauchy residue theorem
કેલે-હેમિલ્ટન-પ્રમેય,Cayley Hamilton theorem
અવકાશી પદાર્થ,celestial body
ખગોળશાસ્ત્રીય માપન,celestial measurement
અવકાશી મિકેનિક્સ,celestial mechanics
અવકાશી પદાર્થ,celestial object
સેલ આવર્તન,cell frequency
"વસ્તી ગણતરી, વસ્તી ગણતરી",census
ટકાવારી,centile
સેન્ટીમીટર,centimeter
સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ,centimeter gram second system
"કેન્દ્રિય, કેન્દ્રિત",central
કેન્દ્રીય અક્ષ,central axis
કેન્દ્રીય અંતર,central difference
કેન્દ્રીય તફાવત સૂત્ર,central difference formula
કેન્દ્રીય વિભેદક કોષ્ટક,central difference table
કેન્દ્રીય મર્યાદા પ્રમેય,central limit theorem
કેન્દ્રીય ક્ષણ,central moment
કેન્દ્રીય સંસાધન એકમ,central processing unit (C.P.U)
કેન્દ્રીય વૃત્તિ,central tendency
કેન્દ્ર*,centre
ગુરુત્વાકર્ષણ કેન્દ્ર,centre of gravity
જૂથ કેન્દ્ર,centre of group
સમૂહ કેન્દ્ર,centre of mass
સમપ્રમાણતાનું કેન્દ્ર,centre of symmetry
કેન્દ્રત્યાગી બળ,centrifugal force
