Punjabi,Gujarati
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,વેસ્ટમિન્સ્ટરના એબી
ਨਿਮਰਤਾ,ત્યાગી
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,ગુલામી નાબૂદી
ਆਦਿਵਾਸੀ,એબોરિજિનલ
ਅਬਰਾਹਮ ਯੁੱਗ,અબ્રાહમ યુગ
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,ગેરહાજર મકાનમાલિકો
ਅਕੈਡਮੀ,એકેડમી
ਅਕਰਾ ਕਾਨਫਰੰਸ,અકરા કોન્ફરન્સ
ਪ੍ਰਾਪਤੀ,સંસાધનો
ਐਕਲਚਰੇਸ਼ਨ,સંવર્ધન
ਐਸੇਲਡਾਮਾ,એસેલડામા
ਅਚੀਅਨ (=ਅਚੀਅਨ),અચેઅન (=અચિયન)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),આચિયન લીગ (=એચિયન લીગ)
ਐਕ੍ਰੋਪੋਲਿਸ,એક્રોપોલિસ
ਐਕਟਾ ਦਿਉਰਨਾ,એક્ટા દીર્ના
ਐਕਟਾ ਸੇਨੇਟਸ,એક્ટા સેનાટસ
ਐਕਟ ਐਡੀਸ਼ਨਲ,એક્ટ એડિશનલ
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,પ્રાપ્ત કરનારનું કાર્ય
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,સમાધાનનો અધિનિયમ
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,જાહેરાત કરાર સીલ
ਅਦੁਲਾਮਾਈਟਸ,અદુલ્લામાઈટસ
ਵਿਰੋਧੀ,વિરોધી
ਵਿਰੋਧੀ,વિરોધી
ਏਯੋਨ,એઓન
ਏਰੈਰੀਅਮ,એરેરિયમ
ਹਵਾਈ ਜੰਗ,હવાઈ યુદ્ધ
ਏਟੋਲੀਅਨ ਲੀਗ,એટોલિયન લીગ
ਉਮਰ,ઉંમર
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),વૃદ્ધત્વ (=વૃદ્ધત્વ)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,વૃદ્ધત્વ પ્રક્રિયા
ਅਗੇਲੈ,અગેલાઈ
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,શૌર્યની ઉંમર
ਗਿਆਨ ਦੀ ਉਮਰ,જ્ઞાનની ઉંમર
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,પેરિકલ્સની ઉંમર
ਕਾਰਨ ਦੀ ਉਮਰ,કારણની ઉંમર
ਖੇਤੀਵਾਦ,કૃષિવાદ
ਖੇਤੀ ਅੰਦੋਲਨ,કૃષિ આંદોલન
ਐਲਬੀਅਨ,એલ્બિયન
ਐਲਬਮ,આલ્બમ
ਐਲਡਰਮੈਨ,એલ્ડરમેન
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,મોહક શસ્ત્રો
ਦੋਸਤੀ,સૌમ્યતા
Amphictyonic ਕੌਂਸਲ,એમ્ફિક્ટિઓનિક કાઉન્સિલ
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,એમ્ફિક્ટિઓનિક લીગ
ਅਖਾੜਾ,એમ્ફીથિયેટર
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),અમરી નલ જૂથ (માટીના વાસણો)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,અનાક્રોનિઝમ
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,એનાક્રોનિસ્ટિક
ਪੂਰਵਜ,પૂર્વજ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,પૂર્વજની પૂજા
ਵੰਸ਼,વંશ
ਵੰਸ਼,વંશ
ਵੰਸ਼,વંશ
ਵੰਸ਼,વંશ
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,પ્રાચીન શાસન
ਪ੍ਰਾਚੀਨ,પ્રાચીન
ਪ੍ਰਾਚੀਨ ਗੀਤ,પ્રાચીન લોકગીત
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,પ્રાચીન માન્યતા
