Hindi,Assamese
एसीडायड,এচিড’ইড
जलोढ़ मृदा,ইঅ’লিয়ান মাটি
समुच्चय,গোট খোৱা
समुच्चयन,সংগ্ৰহ
सस्य मृदा विज्ञान,কৃষি বিজ্ঞান
सस्य विज्ञान,কৃষি বিজ্ঞান
"A-संस्तर, A-होराइजन",এ-দিগন্ত
Ao-संस्तर/Ao-होराइजन,আও-দিগন্ত
Aoo-संस्तर/होराइजन,আও-দিগন্ত
मृदा की वायु धारिता,মাটিৰ বায়ু ক্ষমতা
मृदा का वायु अंग,মাটিৰ বায়ুৰ পৰিমাণ
वायु पिक्नोमीटर,এয়াৰ পিকনোমিটাৰ
एलीटिक मृदा,এলিটিক মাটি
जलोढ़ मृदा,জলজ মাটি
एम्फोलीटायड,এম্ফোলাইট’ইড
ऋणायन,এনিয়ন
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
कोर,আৰিছ
बारीक वराश्म चिनाई,আছলাৰ মিহি শিলৰ কাম
वराश्म चिनाई,আছলাৰ শিলৰ কাম
अस्तरीय मृदा/अक्षेत्रीय मृदा,এজ’নেল মাটি
कर्ष खनित्र,পিঠিৰ অভিনেতা
पश्च डाट,পিছফালৰ খোলা
पश्च पट्ट,বেক বেণ্ড
उपटा प्रलेप,পিছফালৰ ব্ৰাছ
पश्च रोधक,বেক চেক
पश्च पटल,বেক কাউণ্টাৰ
पश्च कर्तन,পিঠি কাটি থকা
उपटा झोंका अवमंदक,বেক ড্ৰাফ্ট ডেম্পাৰ
पश्च नली,বেক ড্ৰেইন
पश्च पट,বেক ড্ৰপ
पृष्ठ भरण,বেক ফিল
पश्च पट्टिका,পিছফালৰ ফিলেট
पृष्ठ पल्ला कब्जा,বেক ফ্লেপ হিঞ্জ
प्रतीप प्रवाह संयोजन,বেক ফ্ল&#39; সংযোগ
प्रतीप प्रवाह निरोधक,বেক ফ্ল’ প্ৰিভেণ্টাৰ
पश्चांतर,বেক গেজ
पश्च नली,পিছফালৰ নালা
अग्निस्थान पृष्ठ,পিছফালৰ অগ্নিকুণ্ড
पीठ/पृष्ठ भाग,বেকিং
पिछला तख्ता,বেকিং বৰ্ড
पश्च दाब,পিঠিৰ চাপ
पश्च टेक,বেক প্ৰপ
पश्चावलोकन,পিছফালৰ দৃষ্টি
पश्चजल,পিছফালৰ পানী
व्यारोध,বেফেল
थैला पुशताबंदो,বেগৱৰ্ক
गिट्टी,বেলেষ্ট
बॉल मृत्तिका,বল মাটি
बॉल शंकुआकार शिकंजा,বল কন ক্লেম্প
काँटेदार तार,কাঁইটীয়া তাঁৰ
छड़ कुत्ता,বাৰ কুকুৰ
त्रयंकी पार्श्व फलक,বাৰ্জ বৰ্ড
बेरियम सल्फेट परीक्षण,বেৰিয়াম ছালফেট পৰীক্ষা
बैराज,বেৰেজ
बरेट,বেৰেট
क्षार,ভেঁটি
बेस विनिमय,ভিত্তি বিনিময়
आधार रेखा,ভিত্তি লাইন
तहखाना/अधोभवन,বেছমেণ্ট
अधोगृह भित्ति,বেছমেণ্টৰ দেৱাল
आधार पट्टिका,বেচ প্লেট
समायोज्य आधार पट्टिका,"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
क्षार संतृप्ति,ভিত্তি পৰিপূৰকতা
बेसाइड,বেছ’ইড
रोड़ा,বেট
स्नानागर व शौच कुण्ड,বাথ আৰু ডব্লিউ চি
सलामी खूँटी,বেটাৰ পেগ
सलामी पाया,বেটাৰ ঘাট
सलामी नियम,বেটাৰৰ নিয়ম
बॉक,Baulk (বালক)
खंडक,উপসাগৰ
धारक,বাহক
धारण क्षमता,বহন ক্ষমতা
धारक पाइल,বেয়াৰিং পাইল
धारक स्तर,বহন স্তৰ
आधार तल,বিছনা
संस्तरण तल,বিচনাৰ বিমান
पड़ी दरज,বিচনাৰ সংযোগ
अश्माधार,বিচনাৰ শিল
शयन कक्ष,শোৱনি কোঠা
मधुमोम,মৌমাখিৰ মোম
