English,Malayalam
Abatement,കുറയ്ക്കൽ
ABC Screw thread,എബിസി സ്ക്രൂ ത്രെഡ്
Abney clinometer,അബ്നി ക്ലിനോമീറ്റർ
Abrasion,അബ്രേഷൻ
Abrasive,ഉരച്ചിലുകൾ
Abrasive belt,അബ്രസീവ് ബെൽറ്റ്
Abrasive finishing,അബ്രസീവ് ഫിനിഷിംഗ്
Abrasive grinding wheel,ഉരച്ചിലുകൾ അരക്കൽ ചക്രം
Abrupt clinometer,പെട്ടെന്നുള്ള ക്ലിനോമീറ്റർ
Abrupt enlargement,പെട്ടെന്നുള്ള വിപുലീകരണം
Absolute,സമ്പൂർണ്ണ
Absolute,സമ്പൂർണ്ണ
Absolute,സമ്പൂർണ്ണ
Absolute,സമ്പൂർണ്ണ
Absolute,സമ്പൂർണ്ണ
Absolute,സമ്പൂർണ്ണ
Absolute constant,കേവല സ്ഥിരം
Absolute error,സമ്പൂർണ്ണ പിശക്
Absolute humidity,സമ്പൂർണ്ണ ഈർപ്പം
Absolute instrument,കേവല ഉപകരണം
Absolute pressure,സമ്പൂർണ്ണ സമ്മർദ്ദം
Absolute stiffness,സമ്പൂർണ്ണ കാഠിന്യം
Absolute temperature,കേവല താപനില
Absolute unit,സമ്പൂർണ്ണ യൂണിറ്റ്
Absolute velocity,കേവല വേഗത
Absolute viscosity,സമ്പൂർണ്ണ വിസ്കോസിറ്റി
Absolute zero,കേവല പൂജ്യം
Absorb,ആഗിരണം ചെയ്യുക
Absorber,അബ്സോർബർ
Absorber circuit,അബ്സോർബർ സർക്യൂട്ട്
Absorber factor,ആഗിരണം ചെയ്യുന്ന ഘടകം
Absorption,ആഗിരണം
Absorption co-efficient,ആഗിരണം കോ-എഫിഷ്യന്റ്
Absorption dynamometer,ആഗിരണം ഡൈനാമോമീറ്റർ
Absorption factor,ആഗിരണം ഘടകം
Absorption filter,ആഗിരണം ഫിൽട്ടർ
Absorption modulation,ആഗിരണം മോഡുലേഷൻ
Absorption resistance,ആഗിരണം പ്രതിരോധം
Absorption spectrum,ആഗിരണം സ്പെക്ട്രം
Absorptivity,ആഗിരണം
Absorptivity equilibrium,ആഗിരണം സന്തുലിതാവസ്ഥ
Abstract,അമൂർത്തമായ
Accelerated draft,ത്വരിതപ്പെടുത്തിയ ഡ്രാഫ്റ്റ്
Accelerating flow,ഒഴുക്ക് ത്വരിതപ്പെടുത്തുന്നു
Accelerating force,ത്വരിതപ്പെടുത്തുന്ന ശക്തി
Accelerating head,ത്വരിതപ്പെടുത്തുന്ന തല
Acceleration,ത്വരണം
Acceleration curve,ആക്സിലറേഷൻ കർവ്
Acceleration damper,ആക്സിലറേഷൻ ഡാംപർ
Acceleration diagram,ആക്സിലറേഷൻ ഡയഗ്രം
Acceleration pick-up,ത്വരിതപ്പെടുത്തൽ പിക്ക്-അപ്പ്
Accelerator,ആക്സിലറേറ്റർ
Accelerogram,ആക്സിലറോഗ്രാം
Accelerometer,ആക്സിലറോമീറ്റർ
Accessory,ഉപസാധനം
Accident,അപകടം
Accommodation co-efficient,താമസ കോ-എഫിഷ്യന്റ്
Accumulator,അക്യുമുലേറ്റർ
Accumulator,അക്യുമുലേറ്റർ
Accumulator,അക്യുമുലേറ്റർ
Accuracy,കൃത്യത
Accuracy,കൃത്യത
Acetylene,അസറ്റലീൻ
Acicular cast iron,അക്യുലാർ കാസ്റ്റ് ഇരുമ്പ്
Acid cleaning,ആസിഡ് വൃത്തിയാക്കൽ
Acidity,അസിഡിറ്റി
Acme thread,അക്മി ത്രെഡ്
Acoustic current meter,അക്കോസ്റ്റിക് കറന്റ് മീറ്റർ
Acoustic current meter excitation,അക്കോസ്റ്റിക് കറന്റ് മീറ്റർ ആവേശം
Acoustic current meter impedance,അക്കോസ്റ്റിക് കറന്റ് മീറ്റർ ഇം‌പെഡൻസ്
Acoustic current meter memory,അക്കോസ്റ്റിക് കറന്റ് മീറ്റർ മെമ്മറി
Acoustic labyrinth,അക്കോസ്റ്റിക് ലാബിരിന്ത്
Acoustical barrier,ശബ്ദ തടസ്സം
Acoustics,അക്കോസ്റ്റിക്സ്
Action gyrator,ആക്ഷൻ ഗൈറേറ്റർ
Action network,പ്രവർത്തന ശൃംഖല
Action network element,പ്രവർത്തന നെറ്റ്‌വർക്ക് ഘടകം
Activated aeration,സജീവമാക്കിയ വായുസഞ്ചാരം
Activated,സജീവമാക്കി
Activated,സജീവമാക്കി
Activator,ആക്റ്റിവേറ്റർ
Active force,സജീവ ശക്തി
Active inductor simulation,സജീവ ഇൻഡക്റ്റർ സിമുലേഷൻ
Active network analysis,സജീവ നെറ്റ്‌വർക്ക് വിശകലനം
Activity transducer,ആക്റ്റിവിറ്റി ട്രാൻസ്ഡ്യൂസർ
Actual indicator diagram,യഥാർത്ഥ സൂചക ഡയഗ്രം
Adaptation,അഡാപ്റ്റേഷൻ
Adapter,അഡാപ്റ്റർ
"Adapter, on-line","അഡാപ്റ്റർ, ഓൺലൈൻ"
Addendum circle,അനുബന്ധ വൃത്തം
Adhesion coefficient,അഡീഷൻ കോഫിഫിഷ്യന്റ്
Adiabatic,അഡിയബാറ്റിക്
Adiabatic compression,അഡിയാബാറ്റിക് കംപ്രഷൻ
Adiabatic cooling,അഡിയബാറ്റിക് തണുപ്പിക്കൽ
Adiabatic curve,അഡിയബാറ്റിക് കർവ്
Adiabatic efficiency,അഡിയബാറ്റിക് കാര്യക്ഷമത
Adiabatic energy dissipation,അഡിയാബാറ്റിക് എനർജി ഡിസ്പേഷൻ
Adiabatic equation,അഡിയാബാറ്റിക് സമവാക്യം
Adiabatic expansion,അഡിയാബാറ്റിക് വിപുലീകരണം
Adiabatic factor,അഡിയാബാറ്റിക് ഘടകം
Adiabatic flow,അഡിയബാറ്റിക് ഒഴുക്ക്
Adiabatic heatdrop,അഡിയബാറ്റിക് ഹീറ്റ്ഡ്രോപ്പ്
Adiabatic reaction,അഡിയബാറ്റിക് പ്രതികരണം
Adiabatic saturation,അഡിയബാറ്റിക് സാച്ചുറേഷൻ
Adiabatic temperature,അഡിയബാറ്റിക് താപനില
Adjustable angle plate,ക്രമീകരിക്കാവുന്ന ആംഗിൾ പ്ലേറ്റ്
Adjustable collar,ക്രമീകരിക്കാവുന്ന കോളർ
Adjustable swivel bearing,ക്രമീകരിക്കാവുന്ന സ്വിവൽ ബെയറിംഗ്
Adjustable swivel trestle,ക്രമീകരിക്കാവുന്ന സ്വിവൽ ട്രെസിൽ
Adjustment,അഡ്ജസ്റ്റ്മെന്റ്
Adjustment of machine,യന്ത്രത്തിന്റെ ക്രമീകരണം
Admiralty metal,അഡ്മിറൽറ്റി മെറ്റൽ
Adptability,പൊരുത്തപ്പെടുത്തൽ
Adsorption,അഡോർപ്ഷൻ
Advance,അഡ്വാൻസ്
Advanced ignition,വിപുലമായ ജ്വലനം
Adze,അഡ്സെ
Aeration,വായുസഞ്ചാരം
Aerator,എയറേറ്റർ
"Aerator, nozzle","എയറേറ്റർ, നോസൽ"
Aerial,ഏരിയൽ
Aerodynamic,എയറോഡൈനാമിക്
Aerodynamic efficiency,എയറോഡൈനാമിക് കാര്യക്ഷമത
Aerodynamic heating,എയറോഡൈനാമിക് ചൂടാക്കൽ
Aerodynamically smooth,വായുചലനപരമായി മിനുസമാർന്ന
Aeroengine,എയറോഎൻജിൻ
