Kannada,Malayalam
ಅಬ್ಯಾಕಸ್,അബാക്കസ്
ಅಸಹಜ ಮುಕ್ತಾಯ,അസാധാരണമായ അവസാനിപ്പിക്കൽ
ಸ್ಥಗಿತಗೊಳಿಸು,ഉപേക്ഷിക്കുക
ಸಂಪೂರ್ಣ,കേവല
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ വിലാസം
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ അഭിസംബോധന
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,കേവല അസംബ്ലർ
ಸಂಪೂರ್ಣ ಕೋಡ್,കേവല കോഡ്
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,സമ്പൂർണ്ണ കമാൻഡ്
ಸಂಪೂರ್ಣ ಡೇಟಾ,സമ്പൂർണ്ണ ഡാറ്റ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,സമ്പൂർണ്ണ നിർദ്ദേശം
ಸಂಪೂರ್ಣ ಮೋಡ್,കേവല മോഡ്
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,കേവല പാത
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
ಅಮೂರ್ತ ವರ್ಗ,അമൂർത്ത ക്ലാസ്
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,അമൂർത്ത ഡാറ്റ തരം
ಅಮೂರ್ತ ಯಂತ್ರ,അമൂർത്ത യന്ത്രം
ಅಮೂರ್ತ ಚಿಹ್ನೆ,അമൂർത്ത ചിഹ്നം
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,അമൂർത്തമായ വാക്യഘടന
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,സ്വീകാര്യത പരിശോധന
ಪ್ರವೇಶ ದೃಢೀಕರಣ,ആക്സസ് പ്രാമാണീകരണം
ಪ್ರವೇಶ ಕೋಡ್,പ്രവേശന കോഡ്
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,പ്രവേശന നിയന്ത്രണം
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ആക്സസ് സ്കാൻ
ಪರಿಕರ,ഉപസാധനം
ಖಾತೆ,അക്കൗണ്ട്
ಖಾತೆ ID,അക്കൗണ്ട് ID
ಸಂಚಯಕ,ശേഖരണം
ನಿಖರತೆ,കൃത്യത
ಪ್ರವೇಶ,പ്രവേശനം
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,പ്രവേശന സൂചിക
ಪ್ರವೇಶ ಕೀ,ആക്സസ് കീ
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ആക്സസ് മാട്രിക്സ്
ಪ್ರವೇಶ ಮೋಡ್,ആക്സസ് മോഡ്
ಪ್ರವೇಶ ಸವಲತ್ತು,ആക്സസ് പ്രിവിലേജ്
ಪ್ರವೇಶ ಭದ್ರತೆ,ആക്സസ് സുരക്ഷ
ಪ್ರವೇಶ ಸರ್ವರ್,ആക്സസ് സെർവർ
ಪ್ರವೇಶ ಸಮಯ,പ്രവേശന സമയം
ಸ್ವೀಕೃತಿ,അംഗീകാരം
ಅಕೌಸ್ಟಿಕ್ಸ್,ശബ്ദശാസ്ത്രം
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,സംക്ഷേപം
ಕ್ರಿಯೆಯ ಸಂದೇಶ,പ്രവർത്തന സന്ദേശം
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,സജീവമാക്കൽ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),സജീവ സെർവർ പേജ് (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,സജീവ പതിപ്പ്
ಅಸೈಕ್ಲಿಕ್,അസൈക്ലിക്
