Kannada,English
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,Abbey of Westminster
ವ್ಯಭಿಚಾರ,Abditory
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,Abolition of slavery
ಮೂಲನಿವಾಸಿಗಳು,Aboriginal
ಅಬ್ರಹಾಂ ಯುಗ,Abraham Era
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,Absentee landlords
ಅಕಾಡೆಮಿ,Academy
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,Accra conference
ಸಂಚಯಗಳು,Accruals
ಸಂಸ್ಕಾರ,Acculturation
ಅಸೆಲ್ಡಾಮಾ,Aceldama
ಅಚೆಯನ್ (=ಅಚಿಯನ್),Achaean (=Achian)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),Achaean League (=Achian League)
ಆಕ್ರೊಪೊಲಿಸ್,Acropolis
ಆಕ್ಟಾ ಡೈರ್ನಾ,Acta Diurna
ಆಕ್ಟಾ ಸೆನಾಟಸ್,Acta Senatus
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,Acte Additionel
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),Active record (=current record)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,Act of attainder
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,Act of Indemnity and oblivion
ವಸಾಹತು ಕಾಯಿದೆ,Act of Settlement
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,Ad contractus seal
ಅಡುಲಮೈಟ್ಸ್,Adullamites
ಎದುರಾಳಿ,Adversary
ಎದುರಾಳಿ,Adversary
ಏಯಾನ್,Aeon
ಏರೋರಿಯಮ್,Aerarium
ವೈಮಾನಿಕ ಯುದ್ಧ,Aerial warfare
ಏಟೋಲಿಯನ್ ಲೀಗ್,Aetolian League
ವಯಸ್ಸು,Age
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),Ageing (=aging)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,Ageing process
ಅಗೆಲೈ,Agelai
ಅಶ್ವದಳದ ವಯಸ್ಸು,Age of chivalry
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,Age of Englightment
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,Age of Pericles
ಕಾರಣದ ವಯಸ್ಸು,Age of reason
ಕೃಷಿಧರ್ಮ,Agrarianism
ಕೃಷಿ ಚಳುವಳಿ,Agrarian movement
ಅಲ್ಬಿಯಾನ್,Albion
ಆಲ್ಬಮ್,Album
ಆಲ್ಡರ್ಮನ್,Alderman
ಸೂಚಿಸುವ ತೋಳುಗಳು,Allusive arms
ಸೌಹಾರ್ದತೆ,Amity
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್,Amphictyonic Council
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್,Amphictyonic League
ಆಂಫಿಥಿಯೇಟರ್,Amphitheatre
ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ),Amri Nal group (of pottery)
ಅನಾಕ್ರೊನಿಸಂ,Anachronism
ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್,Anachronistic
ಪೂರ್ವಜ,Ancestor
ಪೂರ್ವಜರ ಆರಾಧನೆ,Ancestor Worship
ಪೂರ್ವಜರು,Ancestry
ಪೂರ್ವಜರು,Ancestry
ಪೂರ್ವಜರು,Ancestry
ಪೂರ್ವಜರು,Ancestry
ಪ್ರಾಚೀನ ಆಡಳಿತ,Ancien regime
ಪ್ರಾಚೀನ,Ancient
ಪ್ರಾಚೀನ ಲಾವಣಿ,Ancient ballad
ಪ್ರಾಚೀನ ನಂಬಿಕೆ,Ancient belief
ಪ್ರಾಚೀನ ಪದ್ಧತಿ,Ancient custom
ಪುರಾತನ ಇತಿಹಾಸ,Ancient history
ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು,Ancient monuments
ಉಪಾಖ್ಯಾನ,Anecdote
ಏಂಜೆಲೋಟ್,Angelot
ಏಂಜೆಲಸ್,Angelus
ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್),Angevin (=anjevin)
ಕೋನಗಳು,Angles
ಆಂಗ್ಲಿಕನ್,Anglican
ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್,Anglican Communion
ಆಂಗ್ಲಿಕನಿಸಂ,Anglicanism
ಆಂಗ್ಲೋ-ಫೋಬ್,Anglo-phobe
ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ,Anglo-phobia
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್,Anglo-Saxon
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ,Anglo-Saxonism
ಅನಾಲಿಸ್ಟ್,Annalist
ಆನಲ್ಸ್,Annals
ಅನುಬಂಧ,Annexation
ಆಂಟೆ-ಬೆಲ್ಲಮ್,Ante-bellum
ಹಿಂದಿನ ದಿನಾಂಕ,Ante date
ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ,Anti-clericalism
ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ,Anti-clerical legislation
ಪ್ರಾಚೀನತೆ,Antiquity
ಬಾಡಿಗೆ ವಿರೋಧಿ,Anti-rent
ಬಾಡಿಗೆ ವಿರೋಧಿ,Anti-rent
ಯೆಹೂದ್ಯ ವಿರೋಧಿ,Anti Semitism
ಅಂಜಾಕ್,Anzac
ಅಪೆಲ್ಲಾ,Apella
ಅರಳು,Aralu
ಆರ್ಚ್ ಬಿಷಪ್,Arch bishop
ಆರ್ಚ್ ಡಚಿ,Arch duchy
ಆರ್ಚ್ ಡ್ಯೂಕ್,Arch duke
ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ),Archief (=archival collection)
ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್,Archiepiscopate
ಶ್ರೀಮಂತವರ್ಗ,Aristocracy
ಶ್ರೀಮಂತ,Aristocrat
ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ,Aristocratic snobbery
ಅರಿಸ್ಟಾಟಲ್,Aristotelian
ನೌಕಾಪಡೆ,Armada
ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ),Armada (=The Spanish Armada)
