Odiya,Tamil
ଆବେଲି ଗୋଷ୍ଠୀ |,அபேலி குழு
ଆବେଲି ଗୋଷ୍ଠୀ |,அபேலி குழு
ହାତ,கை
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,முழுமையான ஒருங்கிணைப்பு
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,முழுமையான பிழை
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,உச்ச உச்ச
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,முற்றிலும் குறைந்த
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,துல்லியமான மதிப்பு
ସଂପୂର୍ଣ୍ଣ ବେଗ,முழுமையான வேகம்
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,சுருக்க இயற்கணிதம்
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,சுருக்க குழு கோட்பாடு
ତ୍ୱରଣ,முடுக்கம்
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,ஈர்ப்பு முடுக்கம்
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ଗ୍ରହଣୀୟ ପରିସର,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,சரியான நம்பகத்தன்மை நிலை
ଗ୍ରହଣ ନମୁନା,ஏற்பு மாதிரி
ସଂଗୃହିତ ତ୍ରୁଟି |,திரட்டப்பட்ட பிழை
ସଠିକତା,துல்லியம்
ପ୍ରୟୋଗ ଶକ୍ତି,பயன்படுத்தப்படும் சக்தி
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ","செயல், செயல்"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,செயல் மற்றும் எதிர்வினை
ବୀମା ବିଜ୍ଞାନ |,காப்பீட்டு அறிவியல்
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,கடுமையான முக்கோணம்
acyclic,அசைக்ளிக்
ସଂକ୍ଷେପରେ,மொத்தத்தில்
ଆଡର୍,சேர்ப்பான்
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
ଯୋଗର ସୂତ୍ର,யோகா சூத்திரம்
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,கலப்பு எண்களின் கூட்டுத்தொகை
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,செயல்பாடுகளின் கூட்டுத்தொகை
ମାଟ୍ରିକ୍ସର ରାଶି,மெட்ரிக்குகளின் கூட்டுத்தொகை
ବହୁଜନର ସମଷ୍ଟି |,பல்லுறுப்புக்கோவைகளின் தொகை
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,நிகழ்தகவுகளின் கூட்டுத்தொகை
ଭେକ୍ଟରର ରାଶି,திசையன்களின் தொகை
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,சேர்க்கை குழு
ଯୋଗୀ ଓଲଟା |,தலைகீழ் சேர்க்கை
ଯୋଗନୀୟତା |,சேர்க்கை
ଯୋଗନୀୟତା |,சேர்க்கை
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,அருகாமை அணி
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","அருகாமை, அருகாமை, அருகாமை"
ସଂଲଗ୍ନ କୋଣ,அருகில் உள்ள கோணம்
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,அருகில் உள்ள உச்சி
ସହଯୋଗ କରିବାକୁ,தொடர்புபடுத்த
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",இணைக்கப்பட்ட உறை
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,பொதுவான தீர்மானிப்பான்
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
ସଂଲଗ୍ନ ସମୀକରଣ,இணைக்கப்பட்ட சமன்பாடு
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,ஒரே மாதிரியான அணி
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,அணி ஒருங்கிணைப்பு
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,ஒரே மாதிரியான அணி
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
ଗ୍ରହଣୀୟ ଅନୁମାନ,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,காற்றியக்க விசை
ଏରୋଡାଇନାମିକ୍ସ |,காற்றியக்கவியல்
ଏକମାତ୍ର ଜ୍ୟାମିତି |,ஒரே மாதிரியான வடிவியல்
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,ஒரே மாதிரியான மேப்பிங்
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,ஒரே மாதிரியான மாற்றம்
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,மொத்த மாறி
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା","இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |","விதை மூடிய, விதை"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,இயற்கணித சமன்பாடு
ବୀଜ ବର୍ଣ୍ଣନା,இயற்கணித வெளிப்பாடு
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,இயற்கணித ஒருமைப்பாடு
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,இயற்கணித செயல்பாடு
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,இயற்கணித வடிவியல்
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,இயற்கணித பன்மை
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,இயற்கணித அமைப்பு
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,அனைத்து முழு எண் பிரச்சனை
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,அகரவரிசைக் குறியீடு
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,அகரவரிசை எழுத்து
ବିକଳ୍ପ କୋଣ,மாற்று கோணங்கள்
"ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ,",மாற்று ஒரே மாதிரியான மாற்று வடிவம்
ବିକଳ୍ପ ଗୋଷ୍ଠୀ |,மாற்று குழு
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,மாற்று அணி
ବିକଳ୍ପ କ୍ରମ |,மாற்று தொடர்
ବିକଳ୍ପ ଅନୁମାନ,மாற்று கருதுகோள்
ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |,மாற்று உகந்தது
ବିକଳ୍ପ ଫଳାଫଳ |,மாற்று முடிவு
analog-digit କନଭର୍ଟର |,அனலாக்-இலக்க மாற்றி
"ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର,",அனலாக் கணினி
ବିଶ୍ଳେଷଣ |,பகுப்பாய்வு
