English,Hindi
Abbreviation,"संक्षेप, संक्षिप्ति"
Abbreviation,संकेताक्षर
Abdominal breathing,उदरीय श्वसन
Abdominal Cavity,"उदर गुहिका, उदर विवर"
A-belian Group,अ-बेली समूह
Aberrant,"विपथी, अपगामी"
Aberration,"विपथन, अपगमन"
Abessive case,बिनावाची कारक
Ablation,अपादान
Ablative case,"अपादान कारक, पंचमी विभक्ति"
Ablaut,अवश्रुति
Abnormal,अपसामान्य
Abnormal sibilant,अपसामान्य ऊष्म
Abnormal vowel (=central vowel),मथ्य स्वर
Abridge clause,संक्षिप्त उपवाक्य
Abridgement,संक्षेपण
Abrupt,असंलग्न
Abrupt,स्फोटी
Absolute,निरपेक्ष;पूर्ण
Absolute,विशिष्ट
Absolute,विशेष्यभूत
Absoluter ablative,निरपेक्ष अपादान
Absolute adjective,विशेष्यभूत विशेषण
Absolute case,निरपेक्ष कारक
Absolute Change,पूर्ण परिवर्तन
Absolute complementation,निरपेक्ष पूरकीकरण
Absolute consonant,सहवर्तित व्यंजन
Absolute construction,निरपेक्ष रचना
Absolute duration,निरपेक्ष कालावधि
Absolute equivalent,पूर्ण सम; पूर्ण समानार्थी
Absolute form,निरपेक्ष रूप
Absolute neutralization,पूर्ण निर्विषमीकरण
Absolute pitch,निरपेक्ष स्वराघात
Absolute position,निरपेक्ष स्थिति
Absolute Superlative,"विशिष्ट तम-भाव, विशिष्ट अतिशय कोटि"
Absolute term,निरपेक्ष पद
Absolute Universal,"पूर्ण सार्वभौम, निरपेक्ष सार्वभौम"
Absolutive mood,"निरपेक्षिक क्रियार्थ, निरपेक्षिक वृत्ति"
Absorption,"विलयन, अंतर्लयन, आत्मसात्करण"
Abstract concept,"अमूर्त संप्रत्यय, अमूर्त संकल्पना"
Abstraction,भावानयन
Abstraction,निष्कर्षण
Abstraction,अमूर्तन
Abstract language,अमूर्त भाषा
Abstract meaning,"भाववाचक अर्थ, अमूर्त अर्थ"
Abstract name,"गुणवाचक संज्ञा, गुणवाचक नाम; भाववाचक संज्ञा, भाववाचक नाम"
Abstractness,अमूर्तता
Abstractness,सामान्य धर्म
Abstract noun,"भाववाचक संज्ञा, भाववाचक नाम; गुणवाचक संज्ञा, घुणवाचक नाम"
Abstract phonology,अमूर्त स्वनिमविज्ञान
Abstract subject,अमूर्त कर्ता
Abstract substantive,भाववाचक संज्ञा
Abstract term,भाववाचक शब्द; अमूर्त पद
Abstract vocabulary,सामान्यधर्मी शब्द -समूह
Abstract word,सामान्यधर्मी शब्द
Abutting consonant,संलग्न व्यंजन
Academic language proficiency,शैक्षिक भाषा-प्रवीणता
Accent,आघात; लहजा; बल
Accent affectif,भावात्मक आघात
Accent aiguise,एगिज़े आघात
Accented,आघातित
Accent frappe,फ्रापे आघात
Accentless tone,आघातहीन तान
Accent mark,आघात चिह्न
Accent shift,आघात परिवृत्ति
Accentual phoneme,आघात स्वनिम
Accentuation,आघातन
Accentuation principle,आघातन सिद्धांत
Acceptability,स्वीकार्यता
Acceptability hierarchy,स्वीकार्यता अथिक्रम
Acceptable,स्वीकार्य
Accessibility,अभिगम्यता
Accessory nerve,सहायक तंत्रिका
Accessory word,सहायक शब्द
Accidence,रूपावली
Accidence,रूपप्रक्रिया
Accommodation,आंशिक समीकरण
Accommodative aspect,परस्मै पक्ष
Accord,अन्विति
Accretion,अभिवृद्धि
Accretive element,अभिवर्धक तत्व
Acculturation,परसंस्कृतिग्रहण
Acculturation model,परसंस्कृतिग्रहण मॉडल
Accumulated intension,"संचित अर्थव्याप्ति, संचित आशय"
Accuracy,"परिशुद्धाता, यथार्थता"
Accusative case,"कर्म कारक, द्वितीया विभक्ति"
Accusative system,कर्मकारकीय व्यवस्था
Achievement test,उपलब्धि परीक्षण
Achronistic,एककालिक
Achronological restatement,कालक्रमातीत पुनः कथन
Acme stricture,उच्चतम निकोच
Acoustic,ध्वनिक
Acoustic colouring,"ध्वनिक रंजन, ध्वनिक छाया"
Acoustic cue,ध्वनि अनुसकेंत
Acoustic effect,ध्वनिक प्रभाव
Acoustic energy,ध्वनिक ऊर्जा
Acoustic feature,भौतिक ध्वनि लक्षण
Acoustic impression,"भौतिक ध्वनि-संस्कार, भौतिक ध्वनि-परिणाम"
Acousticist,ध्वनिविज्ञानी
Acoustic nerve,ध्वनि-तंत्रिका
Acoustic phonetics,भौतिक स्वनविज्ञान
Acoustic record,ध्वनि-लेख
Acoustic reflex,ध्वनि-प्रतिवर्त
Acoustics,"ध्वनिविज्ञान, ध्वानिकी"
Acoustic spectrum,ध्वनि-स्पेक्ट्रम
Acoustic technique,ध्वनिक प्रविधि
Acoustic wave,ध्वनि तरंग
Acquired dysfunction,अर्जित अपक्रिया
Acquired dysgraphia,अर्जित अपलेखन
Acquired dyslexia,अर्जित अपपठन
Acquisition of register,प्रयुक्ति अर्जन
Acquisition of vocabulary,"शब्दावली अर्जन, शब्दार्जन"
Acrolect,उच्च भाषिका
Acronym,परिवर्णी शब्द
Acrophonetic Writing,चित्र-स्वन लेखन
Acrophony,चित्र-स्वन प्रयोग
Acrostics,"चित्राक्षर विज्ञान, चित्राक्षरकी"
Actant,कर्तृक
Acteur,संकर्तृक
Action nominal,"क्रिया नामिक, क्रियार्थक संज्ञा, क्रियार्थक नाम"
Action noun,"क्रियार्थक नाम, क्रियार्थक संज्ञा"
Action word,"क्रियावाचक शब्द, क्रियार्थक शब्द"
Active case,"कर्तृ कारक, कर्तृ विभक्ति"
Active chamber,सक्रिय कोष्ठ
Active construction,"कर्तृवाच्य रचना, कर्तृवाचक रचना"
Active imperative,कर्तृवाच्य आज्ञार्थक
Active verb,सकर्मक क्रिया
Active verb,कर्तृ-क्रिया
Active vocabulary,"सक्रिय शब्द-भंडार, सक्रिय शब्दावली, सक्रिय शब्द-समूह"
Active voice,"कर्तृवाच्य, कर्तरि प्रयोग"
Actor,कर्ता
Actor-action-goal,कर्तृ-क्रिया-क्रम
Actualization,प्रत्यक्षीकरण
Acute accent,उदात्त
Acute feature,उदात्त अभिलक्षण
Acute (sound),उदात्त स्वन
Adam's apple,"अवटु-उद्ववर्ध, कंठमणि, टेंटुआ"
Adaptation,अनुकूलन
Adaptation of loans,आगत शब्दों का अनुकूलन
Adaptation theory,अनुकूलन सिद्धांत
Adaptive change,अनुकूली परिवर्तन
Addition modulo,"संकलन मापांक, संकलन मॉडुलो"
Addition rule,"योजन नियम, आगम नियम"
Additive bilingualism,योगात्मक द्विभाषिकता
Additive clause,योगज उपवाक्य
Additive marker,योजक चिह्न
Address,संबोधन
Address diacritics,पता विशेषक चिह्न
Adequacy,"पर्याप्ति, पर्याप्तता"
Adequation,पर्यापन
Adessive case,निकटतावाची कारक
Adherent adjective,सहवर्ती विशेषण
Ad hoc oral translation,तदर्थ मौखिक अनुवाद
Aditive case,अभिमुखार्थ कारक
Adjacency pair,"सहवर्ती युग्म, आसन्न युग्म"
Adjectival case,"विशेषण कारक, विशेषण विभक्ति"
Adjectival clause,विशेषण उपवाक्य
Adjectival phrase,विशेषण पदबंध
Adjective,"विशेषण, गुणवाचक"
Adjective phrase,विशेषण पदबंध
Adjunct,विशेषक
Adjunct,अनुबंध
Adjunct,उद्धेश्य-अनुबंध
Adjunction transformation,अनुबंधी रचनांतरण
Adjunct string,"अनुबंध रज्जु, अनुबंध माला"
Adjustment model,समायोजन प्रतिरूप
Adnex,विधेय-अनुबंध
Adnominal,"संज्ञा संबंधी, नाम संबंधी"
Adopted word,गृहीत शब्द
Adoption,ग्रहण
Adstratum,निकटतल
Adstratum,निकटतल भाषा
Adult misinterpretation adultocentric,वयस्क मिथ्याबोध
Adventitious sound,"आगंतुक स्वन, अस्थानिक स्वन"
Adverb,क्रियाविशेषण
Adverbial,क्रियाविशेषण
Adverbial,क्रियाविशेषणात्मक
Adverbial clause,क्रियाविशेषण-उपवाक्य
Adverbial expression,क्रियाविशेषणात्मक अभिव्यक्ति
Adverbial modifier,क्रियाविशेषणात्मक विशेषक
Adverbial phrase,क्रियाविशेषण पदबंध
Adversative conjunction,विरोधवाची समुच्चयबोधक
Aerodynamic theory of Phonation,वायुगतचिक स्वननवाद
Aesthetic function,सौंदर्यपरक प्रकार्य
Aesthetic object,आस्वाद्य वस्तु
Aesthetic reading,"आस्वाद्य पठन, काव्यार्थबोधक पठन"
Aesthetic symbol,सौंदर्यानुभूति प्रतीक
Aesthetic transfer,"सौंदर्यपरक, अर्थान्तरण, सौंदर्यपरक अर्थविपरिणाम"
Aetiological (etiological),हेतुनिरूपी
Aetiology,"हेतुविज्ञान, कारणाविज्ञान"
Affect (=intonation affective),"भाव, संवेग"
Affection,प्रभावन; स्वनविकार
Affective filter,भावक फिल्टर
Affective language,"भावप्रधान भाषा, संवेगात्मक भाषा"
Affective meaning,भावपरक अर्थ
Affective similarity,भावात्मक सादृश्य
Affective stylistics,प्रभावपरक शैलीविज्ञान
Affective verb,प्रभावी क्रिया
Affectum object,"प्राप्य कर्म, विकार्य कर्म"
Affinity,बंधुता
Affirmation,"अस्ति, सकार"
Affirmative,अस्थिवाचक
Affirmative,स्वरूपवाचक
Affirmative conjunction,स्वरूपवाची समुच्चयबोधक
Affix,प्रत्यय
Affixation,प्रत्यययोजन
Affix formal analogy,प्रत्यय रूप-सादृश्य
Affixing Language,प्रत्ययप्रधान भाषा
Affricate,"स्वर्श-संघर्षी, अनुघर्षी"
Affrication,"स्पर्श-संघर्षण, अनुघर्षण"
After sound,पश्च ध्वनि
Age and area theory,काल-क्षेत्र सिद्धांत
Age-area hypothesis,काल-क्षेत्र प्राक्कल्पना
Agent,"कर्ता, कर्तृ- साधक;अभिकर्ता"
Agent action,कर्तीरे प्रयोग
Agential case,"कर्तृकारक, कर्ताकारक, साधक कारक, कर्तृ विभक्ति, साधक विभक्ति"
Agentive,अभिकर्ता
Agentive nominal,कर्तृ नामिक
Agent noun,"कर्तृ संज्ञा, साधक संज्ञा, कर्तृ नाम, साधक नाम"
Agglomerating language,"समावेशक भाषा, प्रश्लिष्ट योगात्मक भाषा"
Allomorph,उपरूप
Allophone,उपस्वन
Allophonic,उपस्वनिक
Alloseme,उपार्थ
Allo sentence,सहवाक्य
Allotagm,उपबंध
Allotext,उपपाठ
Allusion,संकेतित प्रसंग
Alogism,"चिह्नक, एलोजिज़्म"
Alphabet,वर्णमाला
Alphabetic dictionary,"वर्णक्रमानुसारी कोश, वर्णक्रमिक कोश"
Alphabetic order,"अकारादि क्रम, अनुवर्णिक क्रम"
Alphabetic sound,वर्ण-स्वन
Alphabetic writing,वर्ण-लेखन
Alpha movement,"ऐल्फा संचलन, आद्य संचलन"
Alpha notation,ऐल्फा अंकन
Alpha phone,ऐल्फ़ास्वन
Alpha phoneme,ऐल्फ़ा स्वनिम
Alpha phonoid,ऐल्फ़ास्वनिमायतम् (तमिल)
Alteration,परिवर्तन
Alteration of meaning,अर्थ परिवर्तन
Alternance,"परिवर्तन, विकल्पन, विचरण"
Alternant,"परिवर्त, विकल्प, विचर"
Alternating stress rule,प्रत्यावर्ती बलायात नियम
Alternation,परिवर्तन
Alternation condition,परिवर्तन प्रतिबंध
Alternation morph,परिवर्त-रूप
Alternative,विकल्प (सं.) वैकल्पिक (वि.)
Alternative class,"वैकल्पिक वर्ग, परिवर्तन वर्ग"
Alternative replacement alveolar,वैकल्पिक प्रतिस्थापन
Alveolar,वर्त्स्य
Alveolar arch,वर्त्स्य चाप
Alveolar region (alveolar ridge),वर्त्स्य प्रदेश
Alveolar stop,वर्त्स्य स्पर्श
Alveolus,"वर्त्स, दंत उलूखल, दंत कोष्ठिका"
Alveo-palatal,वर्त्स्य-तालव्य
Amalgam,संलय
Amalgamating language,संलयात्मक भाषा
Amalgamation (=fusion),संलयन
Ambifix,उभयप्रत्यय
Ambiguity,"अनेकार्थकता, संदिग्धार्थकता"
Ambiguity tolerance,अनेकार्थ सहिष्णुता
Ambiguous,"अनेकार्थक, संदिग्धार्थक, अस्पष्ट"
Ambilingual,समद्धिभाषी
Ambisyllabic,"उभयाक्षरिक, उभयाक्षरी"
Ambivalence,उभयभाविता
Ambivalent,उभयभावी
Amelioration,अर्थोत्कर्ष
Ameliorative change,उत्कर्षक परिवर्तन
Ameliorative sense development,अर्थोत्कर्षक विकास
Amnesia,"स्मृतिलोप, स्मृतिभ्रंश"
Ampersad &,"समुच्चयचिह्न, 'और' सूचक, ऐंपरसैन्ड"
Amphibology,"संदिग्धता, अनेकार्थकता"
Amplification,विस्तारण
Amplificative,विस्तारक
Anacoluthon,अर्धोक्ति
Anadiplosis,अंत्य पद आवृत्ति
Anagram,विपर्यय सिद्ध (शब्द)
Analogical change,सादृश्यमूलक परिवर्तन
Analogical creation,सादृश्यमूलक सृष्टि
Analogical extension,सादृश्यमूलक विस्तार
Analogical form,सादृश्यमूलक रूप
Analogical induction,सादृश्यमूलक निवेशन
Analogical levelling,सादृश्यमूलक स्तरीकरण
Analogical sign,सादृश्यमूलक संकेत
Analogist,नियमवादी
Analogous,"सदृश, समान"
Analogous environment,"सदृश परिवेश, समान परिवेश"
Analogous pair,"अल्पदेशीय युग्म, न्यूनकल्प युग्म"
Analogue,सदृश रूप
Analogy,सादृश्य
Analyser,विश्लेषक
Analysis,विश्लेषण
Analysis by analysis,विश्लेषण द्वारा विश्लेषण
Analytic,विश्लेषणात्मक
Analytical approach,विश्लेषणात्मक उपागम
Analyticity,विश्लेषणीयता
Analytic language,विश्लेषणात्मक भाषा
Analytic sentence,"विश्लेषणात्मक वाक्य, विश्लिष्ट वाक्य"
Anaphora,अन्वादेश
Anaphoric,अन्वादेशक
Anaphoric word,अन्वादेशक शब्द
Anaptyctic insertion,"विप्रकर्ष-प्रक्षेप, स्वर-भक्ति"
Anaptyctic vowel,"विप्रकर्षक स्वर, भक्ति स्वर"
Anaptyxis,"विप्रकर्ष, स्वर भक्ति विपर्यय"
Anastrophe,विपर्यय
Anatomy,शरीर रचना
Anatomy,शरीर-रचना विज्ञान
Ancestor note,पूर्वज आसंधि
Anchor,लंगर
Angled brackets (=angular brackets),कोणीय कोष्ठक(<>)
Anglicism,आंग्लता
Anglicization,आंग्लीकरण
Animal cry,पशु विराव
Animate,"सजीव, चेतन"
Animate gender,चेतन लिंग
Animate noun,"सजीव संज्ञा प्राणिवाचक संज्ञा, चेतना संज्ञा"
Annoyers,रोषक
Anomalist,अनियमवादी
Anomalous,असंगत
Anomaly,असंगति
Anomia,"नामन विकार, नामन अक्षमता"
Anomic,"नामन विकारी, नामन अक्षम"
Answer processing,उत्तर संसाधन
Antecedent,पूर्वपर (सं.); पूर्ववर्ती (वि.)
Ante-consonantic,व्यंजनपूर्व
Antepenult,"उपधापूर्व, उपांत्यपूर्व"
Antepenultimate,"उपधापूर्व, उपांत्यपूर्व"
Anteposition,पूर्वस्थिति
Anterior,पूर्ववर्ती;पूर्व
Anterior position,पूर्व स्थान
Anterolingual,पूर्वजिह्वीय
Anthropological linguistics,नृवैज्ञानिक भाषाविज्ञान
Anthropomorphic (term),"मानवत्वारोपित (शब्द), मानवविध (शब्द)"
Anthroponymy,"मानवत्वारोपित (शब्द), मानवविध (शब्द)"
Anthroposophy,मानवविद्या
Anticipation,"पूर्वेक्षा, पूवपिक्षा;पूर्वाभास"
Anticipatory assimilation,पूवपिक्षी समीकरण; पूवपिक्षी समीभवन
Anticipatory coarticulation,पूर्वपेक्षी सह-उच्चारण
Anti-language,अपभाषा
Anti-mentalist,मनोवाद-विरोधी
Antinomy,विरुद्धार्थ
Antipode,विपरीत
Anti-resonance,प्रत्यनुनाद
Anti-sigma,प्रतिसिग्मा
Anti-symmetric relation,प्रतिसममित संबंध
Antithesis,प्रतिपक्ष
Antithesis,"प्रतिस्थापना, प्रतिस्थापन"
Antonomasia,"प्रतिनाम, नामांतरण"
Antonym,"विरुद्धार्थक, विलोम, विपर्याय"
Antonymous Catchword,विरुद्धार्थी सूचक पद
Antonymy,"विरुद्धार्थकता, विलोमता, विपर्यायत्व"
Aorist,अनिर्दिष्ट भूतकाल
A-over-A principle/condition,"अ-उपरि अ सिद्धांत;अवयव स्थानंतारण प्रतिबंध, अवयव स्थानांतरण सिद्धांत"
Apenthesis,मध्यनिहिति
Aperture,रंध्र
Apex,जिह्वाग्र
Aphaeresis (=apheresis),आदि स्वनलोप
Aphasia,"भाषाघात, अफ़ेज़िया"
Aphesis,आदिलोप;आदि स्वरलोप
Aphoristic sentence,"सूत्रात्मक वाक्य, सूक्ति"
Apical,जिह्वाग्रीय
Apical articulation,जिह्वाग्रीय उच्चारण
Apical contact,जिह्वाग्रीय संस्पर्श
Apocope,अंत्यलोप
Apodosis,परिणाम-उपवाक्य; फलवाक्य
Apophony,अवश्रुति
Aposiopesis,वाग्विच्छेद
A posterior language,आश्रित कृत्रिम भाषा
Apostrophe,"अपोस्ट्रोफ़ी चिह्न, लोपचिह्न (, )"
Apostrophe,संबोधन
