Bengali,Malayalam
এসি সমতুল্য সার্কিট,എ.സി തുല്യമായ സർക്യൂട്ട്
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
পরম শূন্য,കേവല പൂജ്യം
শোষণ গুণাঙ্ক,ആഗിരണം ഗുണകം
শোষণ বর্ণালী,ആഗിരണം സ്പെക്ട്രം
রিসেপ্টর পরমাণু,റിസപ്റ്റർ ആറ്റം
বিকল্প বর্তমান যুগল,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ইলেক্ট্রন সংগ্রহ,ഇലക്ട്രോൺ വിളവെടുപ്പ്
গর্ত স্টোরেজ,ദ്വാര സംഭരണം
অ্যাক্টিভেশন শক্তি,സജീവമാക്കൽ ഊർജ്ജം
সক্রিয় পরিবর্ধক,സജീവ ആംപ്ലിഫയർ
সক্রিয় ডায়োড সার্কিট,സജീവ ഡയോഡ് സർക്യൂട്ട്
সক্রিয় ফিল্টার,സജീവ ഫിൽട്ടർ
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
সক্রিয় লোড,സജീവ ലോഡ്
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
সক্রিয় এলাকা,സജീവമായ പ്രദേശം
অভিযোজিত ইলেকট্রনিক্স,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
যোগকারী,ചേർക്കുന്നയാൾ
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
অনুপ্রবেশ,നുഴഞ്ഞുകയറ്റം
এরিয়েল,ഏരിയൽ
পিপ ফ্রিকোয়েন্সি,പെപ് ആവൃത്തി
এয়ার কন্ডিশনার,എയർ കണ്ടീഷണർ
প্রান্তিককরণ,വിന്യാസം
অ্যালগরিদম,അൽഗോരിതം
সমস্ত পাস ফিল্টার,എല്ലാ പാസ് ഫിൽട്ടറും
খাদ জংশন,അലോയ് ജംഗ്ഷൻ
ক্ষয়,ശോഷണം
বিবর্তিত বিদ্যুৎ,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
পরিবেষ্টিত তাপমাত্রা,അന്തരീക്ഷ ഊഷ്മാവ്
বাইপোলার,ബൈപോളാർ
পরিবর্ধন,ആംപ്ലിഫിക്കേഷൻ
পরিবর্ধক,ആംപ്ലിഫയർ
পরিবর্ধক দক্ষতা,ആംപ്ലിഫയർ കാര്യക്ഷമത
মাত্রা,അളവുകൾ
প্রশস্ততা ক্ষয়,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
প্রশস্ততা মডুলেটেড এএম অসিলেটর,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
প্রশস্ততা মড্যুলেশন,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
প্রশস্ততা মডুলেটর,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
অ্যাংস্ট্রম ইউনিট,angstrom യൂണിറ്റ്
এনালগ সার্কিট,അനലോഗ് സർക്യൂട്ട്
এনালগ কম্পিউটার,അനലോഗ് കമ്പ്യൂട്ടർ
এনালগ ফিল্টার,അനലോഗ് ഫിൽട്ടർ
এনালগ মাল্টিমিটার,അനലോഗ് മൾട്ടിമീറ്റർ
এনালগ সুইচ,അനലോഗ് സ്വിച്ച്
এবং গেট,ഒപ്പം ഗേറ്റും
কৌণিক কম্পাংক,കോണീയ ആവൃത്തി
"anion, anion","അയോൺ, അയോൺ"
অ্যানিলিং তাপমাত্রা,അനീലിംഗ് താപനില
অ্যানোড,ആനോഡ്
অ্যানোড পরিবর্ধক,ആനോഡ് ആംപ്ലിഫയർ
anodyne,അനോഡൈൻ
অ্যান্টেনা,ആന്റിന
অ্যান্টেনা উপাদান,ആന്റിന ഘടകം
বিরোধী প্রতিফলিত আবরণ,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
অ্যান্টিলগইন পরিবর্ধক,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
অ্যান্টিরেজোন্যান্ট সার্কিট,antiresonant സർക്യൂട്ട്
দ্বারক যুগ,ദ്വാരക കാലഘട്ടം
ভার্চুয়াল শক্তি,വെർച്വൽ പവർ
তারের সংযোগ,വയർ കണക്ഷൻ
আনুমানিক ভোল্টেজ লাভ,ഏകദേശ വോൾട്ടേജ് നേട്ടം
আর্মস্ট্রং মডুলেটর,ആംസ്ട്രോങ് മോഡുലേറ്റർ
অ্যান্টেনা অ্যারে,ആന്റിന അറേ
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ভাসমান মাল্টিভাইব্রেটর,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
অপ্রতিসম জংশন,അസമമായ ജംഗ്ഷൻ
