Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Abbreviation,"ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି"
Abduction,"ଅପହରଣ, ହରଣଚାଲ"
Abeyance,"ସ୍ଥଗିତ ଅବସ୍ଥା, ସ୍ଥଗନୟ"
Ability,"ସାମର୍ଥ୍ୟ, ଦକ୍ଷତା, ଯୋଗ୍ୟତା"
Ab initio,ଆରମ୍ଭରୁ
Able,"ସମର୍ଥ, କାର୍ଯ୍ୟକ୍ଷମ, ଦକ୍ଷ"
Abnormal,ଅସ୍ୱାଭାବିକ
Abolition,"ଉଚ୍ଛେଦିତ, ଲୋପକୃତ"
Abolitionof post,ଉଚ୍ଛେଦିତ ପଦ
Above mentioned,ଉପରେ ଲିଖିତ
Above quoted,ଉପରେ ଉଦ୍ଦୃତ
Above said,ଉପରେ କଥିତ
Absence,"ଅନୁପସ୍ଥିତି, ଅଭାବ, ଗର୍ହାଜିର"
Absentee,"ଅନୁପସ୍ଥତ ବ୍ୟକ୍ତି, ଅନ୍ୟତ୍ର ବାସୀ"
Absenteeism,କାର୍ଯ୍ୟରୁ ଅନୁପସ୍ଥିତ ରହିବାର କୁ ଅଭ୍ୟାସ
Absentee statement,ଅନୁପସ୍ଥିତ ବ୍ୟକ୍ତିର ବିବୃତି
Absolute,"ସଂପୂର୍ଣ୍ଣ, ଅନପେକ୍ଷିତ, ପରମ, ନିରଙ୍କୁଶ, ଅମିଶ୍ର, ନିର୍ଜଳ, ସ୍ୱତନ୍ତ୍ର, କାଏମ୍, ପକ୍କା"
Absolute monopoly,ସପୂର୍ଣ୍ଣ ସ୍ୱଇଚ୍ଛା
Absolute ownership,ନିରଙ୍କୁଶ ମାଲିକାନା
Absorption,"ବିଶୋଷଣ, ଅନ୍ତର୍ଭୁକ୍ତି"
Abstract,"ସାର ସଂଗ୍ରହ କରିବା, ସଂକ୍ଷେପ କରିବା, ସାର ସଂଗ୍ରହ, ଅମୂର୍ତ୍ତ, ନିଗୂଢ଼"
Abstractstatement,ନିଗୂଢ଼ ବିବୃତି
Absurd,"ଅଯୌକ୍ତିକ, ହାସ୍ୟକର, ଉଦ୍ଭଟ"
Abundance,ପ୍ରାଚୁର୍ଯ୍ୟ
Abuse of power,କ୍ଷମତାର ଅପବ୍ୟବହାର
Abusive language,ଅପବ୍ୟବହାର ଭାଷା
Academic,"ବିଦ୍ୟାଗତ, ସାରସ୍ୱତ, ଏକାଡେମିକ୍"
Academic discussion,ତାତ୍ତ୍ୱିକ ଆଲୋଚନା
Academic leave,"ସାର ସ୍ୱତ ଛୁଟି, ବିଦ୍ୟାଗତ ଛୁଟି"
Academic qualification,ବିଦ୍ୟାଗତ ଯୋଗ୍ୟତା
Academic record,"ବିଦ୍ୟାଗତ ତଥ୍ୟ, ବିଦ୍ୟାଗତ ନଥି, ବିଦ୍ୟାଗତ ସୂଚନା"
Accede,"ପ୍ରବେଶ କରିବା, ସ୍ୱିକାର କରିବା"
Accept,"ସ୍ୱିକାର କରିବା, ଗହଣ କରିବା"
Acceptance,"ସ୍ୱିକାର, ଗ୍ରହଣ, ଅନୁମୋଦନ"
Acceptance of office,କାର୍ଯ୍ୟାଳୟର ଅନୁମୋଦନ
Acceptance of tender,ଟେଣ୍ଡର ଅନୁମୋଦନ
Access,"ପ୍ରବେଶ, ପ୍ରବେଶ ସୁବିଧା, ପହଞ୍ଚି"
Accession,"ସଂଯୋଗ, ଅଭିଷେକ"
Accessory,"ଉପସାଧନ, ସହକାରୀ ସଂଯୋଗ, ଅତିରିକ୍ତ, ସାହାଯ୍ୟକାରୀ, ଆନୁଷଙ୍ଗିକ"
Accident,"ଦୁର୍ଘଟଣା, ସମ୍ଭାବନା"
Acclimatization,"ଅବସ୍ଥାନୁକୂଳନ, ଭିନ୍ନ ଜଳବାୟୁରେ ଅଭ୍ୟସ୍ତ ହେବା"
Accommodation,"ସୁପାରିଶ, ବାସ ସୁବିଧା, ଆସନ ସିବିଧା, ଉପଯୋଗିତା, ଅର୍ଥ ସାହାଯ୍ୟ"
Accompanist,"ଗାୟକ ସହ ବାଦ୍ୟ ବଜାଇବା ବ୍ୟକ୍ତି, ସହଯୋଗୀ ବାଦକ"
Accord,"ଐକ୍ୟ, ମେଳ, ରାଜିନାମା"
Accordance,"ଐକ୍ୟ, ମେଳ, ସମରୂପଡା"
Accordingly,"ତଦନୁସାରେ, ତଦନୁଯାୟୀ"
Account,"ହିସାବ, ବିବରଣ, ଆୟବ୍ୟୟର ହିସାବ ଫର୍ଦ୍ଦ"
Accountability,"ଦାୟିତ୍ବ୍ୱଧୀନତା, ଉତ୍ତରଦାୟିତ୍ୱ"
Accountable,"ଦାୟିତ୍ୱଧୀନ, ଉତ୍ତରଦାୟୀ"
Accountancy,"ହିସାବ ବିଦ୍ୟା, ବିସାବ ଲେଖ କର୍ମ"
Accountant,"ହିସାବରକ୍ଷକ, ହିସାବବିଦ୍, ଆକାଉଣ୍ଟାଣ୍ଟ୍"
Account for,"କାରଣ ଦର୍ଶାଇବା, ହିସାବ ଦେବା"
Account head,ହିସାବ ଶୀର୍ଷ
Accrued benefit,ଅଭିବର୍ଦ୍ଧିତ ଲାଭ
Accrued pension,ଅଭିବର୍ଦ୍ଧିତ ପେନସନ୍
Accumulation,"ପଞ୍ଚାଯକ, ସଞ୍ଚୟକାରୀ ବ୍ୟକ୍ତି"
Accuracy,"ପରିଶୁଦ୍ଧତା, ନିର୍ଭୁଲତା, ଯଥାର୍ଥତା, ସଠିକତା, ଭ୍ରମଣୂନ୍ୟତା"
Accurate,"ନିର୍ଭୁଲ କରିବା, ଅଟକଳ କରିବା"
Accuse,"ଅଭିଯୋଗ କରିବା, ଦୋଷାରୋପ କରିବା, ଅପବାଦ ଦେବା"
Accused,ଅଭିଯୁକ୍ତ
Achievement,"ସଫଳତା, ସିଦ୍ଧି, କୃତି, ଉପଲବ୍ଧି, ସଫଳ ସଂପାଦନ"
Acknowledgement,"ପ୍ରାପ୍ତି ସ୍ୱୀକାର, ସ୍ୱୀକୃତି, ସ୍ୱିକୃତି ପତ୍ର"
Acknowledgement due,ପ୍ରାପ୍ତି ସ୍ୱୀକୃତି
Acquaintance,"ପରିଚିତ କରାଇବା, ଅବଗତ କରାଇବା"
Acquisition,"ଅର୍ଜନ, ଅଧିକାରଭୁକ୍ତ କରଣ"
Acquittance,"ପ୍ରାପ୍ତି ସ୍ୱୀକାରପତ୍ର, ପ୍ରାପ୍ତିସୂଚକ ରସିଦ"
Act,"ଅଧିନିୟମ, କାର୍ଯ୍ୟ, ଅଙ୍କ, କାର୍ଯ୍ୟ କରିବା, ଅଭିନୟ କରିବା, ଆଚରଣ କରିବା"
Acting allowance,କାର୍ଯ୍ୟକାରୀ ଭତ୍ତା
Action,"କାର୍ଯ୍ୟାନୁଷ୍ଠାନ, କ୍ରିୟା, କାର୍ଯ୍ୟ, ବ୍ୟବହାର, ଗତିବିଧି"
Action plan,କାର୍ଯ୍ୟ ଯୋଜନା
