Bengali,Gujarati
অ্যাবাকাস,અબેકસ
অস্বাভাবিক সমাপ্তি,અસામાન્ય સમાપ્તિ
গর্ভপাত,ગર્ભપાત
পরম,સંપૂર્ણ
পরম ঠিকানা,સંપૂર્ણ સરનામું
পরম ঠিকানা,સંપૂર્ણ સંબોધન
পরম সংযোজনকারী,સંપૂર્ણ એસેમ્બલર
পরম কোড,સંપૂર્ણ કોડ
পরম আদেশ,સંપૂર્ણ આદેશ
পরম তথ্য,સંપૂર્ણ ડેટા
পরম নির্দেশ,સંપૂર્ણ સૂચના
পরম মোড,સંપૂર્ણ મોડ
পরম পথ,સંપૂર્ણ માર્ગ
পরম প্রোগ্রামিং,સંપૂર્ણ પ્રોગ્રામિંગ
বিমূর্ত ক্লাস,અમૂર્ત વર્ગ
বিমূর্ত তথ্য প্রকার,અમૂર્ત ડેટા પ્રકાર
বিমূর্ত মেশিন,અમૂર્ત મશીન
বিমূর্ত প্রতীক,અમૂર્ત પ્રતીક
বিমূর্ত বাক্য গঠন,અમૂર્ત વાક્યરચના
স্বীকৃতি যাচাইকরণ,સ્વીકૃતિ પરીક્ષણ
অ্যাক্সেস প্রমাণীকরণ,ઍક્સેસ પ્રમાણીકરણ
প্রবেশাধিকার কোড,ઍક્સેસ કોડ
প্রবেশাধিকার নিয়ন্ত্রণ,વપરાશ નિયંત્રણ
অ্যাক্সেস স্ক্যান,એક્સેસ સ્કેન
আনুষঙ্গিক,સહાયક
অ্যাকাউন্ট,એકાઉન્ટ
অ্যাকাউন্ট আইডি,એકાઉન્ટ ID
সঞ্চয়কারী,સંચયક
সঠিকতা,ચોકસાઈ
অ্যাক্সেস,ઍક્સેસ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,એક્સેસ કંટ્રોલ બાઈટ
অ্যাক্সেস সূচক,એક્સેસ ઇન્ડેક્સ
অ্যাক্সেস কী,ઍક્સેસ કી
অ্যাক্সেস ম্যাট্রিক্স,એક્સેસ મેટ્રિક્સ
অ্যাক্সেস মোড,ઍક્સેસ મોડ
প্রবেশাধিকার,એક્સેસ વિશેષાધિકાર
অ্যাক্সেস নিরাপত্তা,ઍક્સેસ સુરક્ષા
অ্যাক্সেস সার্ভার,ઍક્સેસ સર્વર
অ্যাক্সেস সময়,ઍક્સેસ સમય
স্বীকৃতি,સ્વીકૃતિ
ধ্বনিবিদ্যা,ધ્વનિશાસ્ત્ર
