English,Hindi
Ability theory of taxation,कराधान योग्यता सिद्धांत
Above par,अधिमूल्य पर
Absolute advantage,निरपेक्ष सुलाभ
Absolute monopoly,पूर्ण एकाधिकार
Absolute necessities,अत्यावश्यक वस्तुएँ
Absolute necessities,अनिवार्य वस्तुएँ
Absolute owner,पूर्ण स्वामी
Absolute rent,निरपेक्ष लगान
Absolute rent,2.निरपेक्ष किराया
Absolute rent,3.निरपेक्ष अधिशेष
Absorbed  capital,निविष्ट पूँजी
Absorbed labour,नियोजित श्रमिक
Absorbed overhead,अवशोषित उपरिव्यय
Abstinence,उपभोग-स्थगन
Abstinence theory of interest,ब्याज का उपभोग-स्थगन सिद्धांत
Abstract budget,संक्षिप्त बजट
Abstract labour,अमूर्त श्रम
Abundance,प्रचुरता
Acceleration,त्वरण
Accelerator,त्वरक
Accessory,उपसाधन (सं.)
Accessory,उपसाधक (वि.)
Accessory product,सहायक उत्पाद
Accountability,जवाबदेही
Accounting price,लेखा कीमत
Accrued income,प्रोद्भूत आय
Accumulation,"संचय, संचयन"
Acquired advantage,उपार्जित सुलाभ
Acquisition,"अर्जन, उपार्जन"
Acquisitive society,अर्जनशील समाज
Across the board' cut,चतुर्दिक-कटौती
Across the board' increase,चतुर्दिक-वृद्धि
Active balance,सक्रिय शेष
Active population,अर्जक जनसंख्या
Active trade balance (=favourable balance of trade),"अनुकूल व्यापार-शेष, अनुकूल व्यापार संतुलन"
Activity chart,कार्य चार्ट
Activity ratio,लक्ष्य-पूर्ति अनुपात
Actual hours,"वास्तविक घंटे,"
Actual hours,वास्तविक कार्य समय
Actual rate of growth,वास्तवीक संवृद्धि दर
Actual rent,वास्तविक किराया
Actual rent,वास्तविक लगान
Actual wage (=real wage),वास्तविक मज़दूरी
Added value,वर्धित मूल्य
Additional tax,अतिरिक्त कर
Adequate wage,पर्याप्त मज़दूरी
Ad hoc benefit,तदर्थ लाभ
Adjudication,न्यायनिर्णयन
Adjustable currency,समायोज्य मुद्रा
Adjustable currency,समायोज्य करेन्सी
Administered price,निर्देशित कीमत
Administrative cost,प्रशासनिक लागत
Adoption process,स्वीकरण प्रक्रिया
Ad valorem,मूल्यानुसार
Advance,"अग्रीम, पेशगी"
Advanced capitalism,उन्नत पूँजीवाद
Advance on wages,मजदूरी पर अग्रीम
Advance on wages,2.वेतन पर अग्रीम
Advance refunding,"अग्रिम धन-वापसी, पुनर्निधीयन"
Advantage,"सुलाभ, लाभ, फायदा; भलाई"
Adverse balance of payment,प्रतिकूल भुगतान-शेष
Affluent society,सुसमृद्ध समाज
Afforestation,वनरोपण
Age compostition,आयु संघटन
Agency tariff,अभिकरण प्रशुल्क
Aggregate,"समस्त,"
Aggregate,समग्र
Aggregate demand,समग्र माँग
Aggregate demand function,समग्र माँग फलन
Aggregate supply,समग्र पूर्ति
Aggregate supply function,समग्र पूर्ति फलन
Aggregative economics,समुच्चय अर्थशास्त्र
Aggregative index number,समूहित सूचकांक
Agricultural class,खेतिहर वर्ग
Agricultural class,कृषक वर्ग
Agricultural cooperative credit society,सहकारी कृषि उधार समिति
Agricultural revolution (=Green Revolution),"कृषि क्रांति, हरित क्रांति"
Agriculture,"कृषि, खेतीबाड़ी"
Agro-climatic region,कृषि-जलवायुक्षेत्र
Agro-implements,कृषि उपकरण
Aidicas process,ऐडीकैस प्रक्रिया
Alien labour,अन्यदेशी श्रमिक
Allied product,सहबद्ध उत्पाद
Allocation,नियतन
Allowance,भत्ता
Allowance,2.छूट
Alternative,वैकल्पिक
Alternative cost,वैकल्पिक लागत
Alternative demand,वैकल्पिक माँग
Amends,क्षति-पूर्ति
Amortization,परिशोधन
Amount,"राशि,रकम"
Amount,2. मिश्रधन
Amount,"3.परिमाण, मात्रा"
Analysis,विश्लेषण
Analysis of variance,प्रसरण विश्लेषण
Analytical estimating,वैश्लेषिक आकलन
Ancillary,अनुषंगी
Annual,वार्षिक
Annual earnings,वार्षिक आय
Annual earnings,2.वार्षिक कमाई
Annuity bond,"वार्षिकी बंधपत्र,"
Annuity bond,वार्षिकी बॉन्ड
Anticipated demand,प्रत्याशित माँग
Anti-cyclical fluctuations,प्रतिचक्रिय उतार-चढ़ाव
Anti-inflation,"प्रति-स्फीति,"
