Tamil,Kannada
A B வகுப்பு பெருக்கி,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
பிறழ்வு,ವಿಪಥನ
அசாதாரண பரிமாற்றம்,ಅಸಹಜ ಪ್ರಸರಣ
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
ஸ்பெக்ட்ரம் காணவில்லை,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"முழுமையான, முழுமையான, நிலையான, சரியான","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
முழுமையான ஈரப்பதம்,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
முழுமையான வேகம்,ಸಂಪೂರ್ಣ ವೇಗ
முழுமையான கவனிப்பு,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
முழுமையான வெப்பநிலை,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
முழுமையான பூஜ்ஜியம்,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
உறிஞ்சி,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"உறிஞ்சும், உறிஞ்சும்","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
உறிஞ்சும் திறன்,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
உறிஞ்சுதல்,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
உறிஞ்சக்கூடியது,ಹೀರಿಕೊಳ್ಳುವ
உறிஞ்சும் தன்மை,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
பன்மடங்கு விகிதம்,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
முடுக்கி,ವೇಗವನ್ನು
விரைந்தார்,ಆತುರಪಟ್ಟರು
முடுக்கம்,ವೇಗವರ್ಧನೆ
ஈர்ப்பு முடுக்கம்,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
முடுக்கி,ವೇಗವರ್ಧಕ
முடுக்கி,ವೇಗವರ್ಧಕ
முடுக்கமானி,ವೇಗವರ್ಧಕ
முன் அழுத்தம் கொடுப்பவர்,ಪ್ರಿಸ್ಟ್ರೆಸರ್
ஏற்றுக்கொள்ளக்கூடிய சோதனை,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
ஏற்பவர்,ಸ್ವೀಕರಿಸುವವರು
நன்கொடையாளர் மூலக்கூறு,ದಾನಿ ಅಣು
"அணுகல், காத்திருப்பு, அணுகல்","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
அணுகல்,ಪ್ರವೇಶಿಸುವಿಕೆ
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
அணுகல் நேரம்,ಪ್ರವೇಶ ಸಮಯ
பார்வையாளர் பிழை,ಸಂದರ್ಶಕರ ದೋಷ
சரிசெய்தல்,ಹೊಂದಾಣಿಕೆ
திரட்டப்பட்டது,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"திரட்சி, குவிப்பு","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
திரட்டி,ಸಂಚಯಕ
துல்லியம்,ನಿಖರತೆ
யதார்த்தம்,ರಿಯಾಲಿಟಿ
நிறமற்ற லென்ஸ்,ವರ್ಣರಹಿತ ಮಸೂರ
வண்ணமயமான,ವರ್ಣರಹಿತ
வண்ணமயமான தன்மை,ವರ್ಣರಹಿತತೆ
ஒலியியல்,ಅಕೌಸ್ಟಿಕ್
ஒலி எதிர்ப்பு,ಧ್ವನಿ ನಿರೋಧಕ
ஒலி ஃபோனான்,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
ஒலி அலகு,ಧ್ವನಿ ಘಟಕ
ஒலியியல்,ಅಕೌಸ್ಟಿಕ್
ஒலி ஜெனரேட்டர்,ಧ್ವನಿ ಜನರೇಟರ್
செயல் மற்றும் எதிர்வினை,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
செயல்படுத்துதல்,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
செயல்படுத்தும் ஆற்றல்,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"செயல்படுத்துபவர், செயல்படுத்துபவர்","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
செயலில்,ಸಕ್ರಿಯ
செயற்பாடு,ಕ್ರಿಯಾಶೀಲತೆ
உண்மையான மன அழுத்தம்,ನಿಜವಾದ ಒತ್ತಡ
கிசுகிசுத்தல்,ಗುಸುಗುಸು
மொத்தத்தில்,ಒಟ್ಟುಗೂಡಿಸಲು
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
சேர்க்கை,ಸಂಯೋಜಕ
ஒட்டுதல்,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
பிசின் ஆற்றல்,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
அடியாபட்,ಅಡಿಯಾಬಟ್
அடியாபாடிக்,ಅಡಿಯಾಬಾಟಿಕ್
வெப்ப காப்பு,ಶಾಖ ನಿರೋಧಕ
இணைப்பு,ಬಾಂಧವ್ಯ
அனுசரிப்பு,ಹೊಂದಾಣಿಕೆ
ஊடுருவல்,ನುಗ್ಗುವಿಕೆ
உறிஞ்சுதல்,ಹೊರಹೀರುವಿಕೆ
முன்னோக்கி,ಮುಂದೆ
முற்போக்கானது,ಪ್ರಗತಿಪರ
"ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)","ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)"
ஆண்டெனா ஸ்ட்ரீம்,ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್
வான்வழி ஆய்வு,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ
காற்று வேகம்,ಗಾಳಿಯ ವೇಗ
ஏரோடைனமிக் குணகம்,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ
காற்றியக்கவியல்,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
காற்றியக்கவியல்,ವಾಯುಬಲವಿಜ್ಞಾನ
வானூர்தி,ಏರೋನಾಟಿಕಲ್
ஏரோநாட்டிக்ஸ்,ಏರೋನಾಟಿಕ್ಸ್
காற்று துடிப்பு,ಗಾಳಿಯ ನಾಡಿ
"வளிமண்டலம், வாயுக்கோளம்","ವಾತಾವರಣ, ಅನಿಲಗೋಳ"
கவனம் அமைப்பு,ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ
மீண்டும் பற்றவைப்பு,ಹಿಂಭಾಗದ ದಹನ
பின் ஒளி,ಹಿಂಬದಿ ಬೆಳಕು
அதிர்ச்சி,ಕನ್ಕ್ಯುಶನ್
"வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது","ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ"
நேரம் பாதிக்கப்பட்டது,ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ
"முதுமை, முதுமை","ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ"
நேர விளைவு,ಸಮಯದ ಪರಿಣಾಮ
நேர விளைவு சோதனை,ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
புவியீர்ப்பு இல்லாதது,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ
நல்லிணக்கம்,ಸಮನ್ವಯ
"வான்வழி ரேடார், வான்வழி ரேடார்","ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್"
"வான் இலக்கு, வான் இலக்கு","ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ"
காற்று சுவாசக் கருவி,ವಾಯು ಉಸಿರಾಟಕಾರಕ
ஏர் கண்டிஷனிங்,ಹವಾನಿಯಂತ್ರಣ
காற்று எதிர்ப்பு மின்மாற்றி,ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
விமானம்,ವಿಮಾನ
சீரமைப்பு,ಜೋಡಣೆ
சீரமைப்பு பிழை,ಜೋಡಣೆ ದೋಷ
நேரடி சுற்று,ಲೈವ್ ಸರ್ಕ್ಯೂಟ್
முழு கண்ணாடி குழாய்,ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ
முழு உலோக குழாய்,ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ
சரி செய்ய,ಸರಿಪಡಿಸಲು
"மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)","ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)"
மிஷ்ரத்வான்,ಮಿಶ್ರತ್ವಾನ್
எங்கும் நிறைந்த ஊடகம்,ಸರ್ವತ್ರ ಮಾಧ್ಯಮ
ஆம்னி ஆண்டெனா,ಓಮ್ನಿ ಆಂಟೆನಾ
பஞ்சாங்கம்,ಪಂಚಾಂಗ
ஆல்பா,ಆಲ್ಫಾ
ஆல்பா-செயல்பாடு,ಆಲ್ಫಾ ಚಟುವಟಿಕೆ
எண்ணெழுத்து,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
ஆல்பா கதிர்,ಆಲ್ಫಾ ಕಿರಣ
மாற்றம்,ಬದಲಾವಣೆ
"மாற்று, மாற்று","ಪರ್ಯಾಯ, ಪರ್ಯಾಯ"
மின்மாற்றி,ಆವರ್ತಕ
உயரமானி,ಅಲ್ಟಿಮೀಟರ್
உயரமானி,ಅಲ್ಟಿಮೀಟರ್
அல்டிமெட்ரி,ಆಲ್ಟೈಮೆಟ್ರಿ
"உயரம், உயரம், உயரம், உயரம்","ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ"
எண்கணித ரீசனிங் யூனிட் (ALU),ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU)
அமுத விதி,ಅಮೇಟ್ ನಿಯಮ
சூழல்,ಪರಿಸರ
அமிக்ரான்,ಅಮಿಕ್ರಾನ್
அம்மீட்டர்,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ
ஆம்பியர்,ಆಂಪಿಯರ್
ஆம்பியர்-சட்டம்,ಆಂಪಿಯರ್-ಕಾನೂನು
நீர்வீழ்ச்சி அயனி,ಉಭಯಚರ ಅಯಾನು
பெருக்கம்,ವರ್ಧನೆ
பெருக்கி,ಆಂಪ್ಲಿಫಯರ್
"கோணம், பரிமாணம்","ಕೋನ, ಆಯಾಮ"
அ. எம்.யு. (அணு நிறை அலகு),ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
இணக்கமான,ಹೊಂದಬಲ್ಲ
ஒப்புமை,ಸಾದೃಶ್ಯ
ஆய்வாளர்,ವಿಶ್ಲೇಷಕ
பகுப்பாய்வு,ವಿಶ್ಲೇಷಣೆ
பகுப்பாய்வு,ವಿಶ್ಲೇಷಣಾತ್ಮಕ
புள்ளி அல்லாத,ಪಾಯಿಂಟ್ ಅಲ್ಲದ
முரண்பாடான,ಅಸಂಗತ
மற்றும் கதவு,ಮತ್ತು ಬಾಗಿಲು
ஒலி அல்லாத,ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ
ஒழுங்கற்ற நெகிழ்ச்சி,ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
நீரற்ற,ಜಲರಹಿತ
கோணம்,ಕೋನ
angstrom அலகு,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
கோணல்,ಕೋನೀಯ
நீடிப்பான் வெர்னியர்,ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್
சர்ச்சைக்குரிய,ವಿವಾದಾತೀತ
மரியாதையற்ற,ಗೌರವವಿಲ್ಲದ
வண்ணமயமான காந்தமாக்கல்,ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ
மந்தமான,ಆಲಸ್ಯ
அயனி,ಅಯಾನ್
சமச்சீரற்ற,ಅಸಮ್ಮಿತ
ஐசோட்ரோபிக்,ಐಸೊಟ್ರೊಪಿಕ್
ஐசோட்ரோபிசம்,ಐಸೊಟ್ರೋಪಿಸಮ್
நீக்குதல்,ಅಳಿಸುವಿಕೆ
சதிகாரர்கள்,ನಿರೂಪಕ
நேர்மின்முனை,ಆನೋಡ್
அனோடைசேஷன்,ಆನೋಡೈಸೇಶನ್
சீரற்ற,ಅಸಮಂಜಸ
ஒளியியல் அமைப்பு,ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್
ஆண்டெனா,ಆಂಟೆನಾ
ஆன்டிபெரியன்,ಆಂಟಿಬೆರಿಯನ್
பிணைப்பு எதிர்ப்பு சொத்து,ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ
எதிர் பத்திரம்,ಕೌಂಟರ್ ಬಾಂಡ್
தலைகீழ் சக்தி,ಹಿಮ್ಮುಖ ಶಕ್ತಿ
காந்தவியல்,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್
காந்தப் பொருள்,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು
அழற்சி எதிர்ப்பு,ವಿರೋಧಿ ಉರಿಯೂತ
ஈர்ப்பு எதிர்ப்பு,ಗುರುತ್ವ ವಿರೋಧಿ
ஆன்டிலாம்டா துகள்,antilamda ಕಣ
அலெப்டன்,ಅಲೆಲೆಪ್ಟನ್
காந்தவியல்,ಕಾಂತೀಯ
எதிர்ப்பொருள்,ಆಂಟಿಮಾಟರ್
எதிர்ப்பு ஏவுகணை,ವಿರೋಧಿ ಕ್ಷಿಪಣಿ
எதிர்நியூட்ரான்,ಆಂಟಿನ್ಯೂಟ್ರಾನ್
துடிக்கும்,ಮಿಡಿಯುತ್ತಿದೆ
எதிர் அணுக்கரு,ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್
எதிர் துகள்,ಪ್ರತಿಕಣ
ஆன்டிபுரோட்டான்,ಆಂಟಿಪ್ರೋಟಾನ್
எதிர் பிரதிபலிப்பு,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ
சமச்சீரற்ற,ಆಂಟಿಸಮ್ಮಿತೀಯ
மீண்டும் நிகழாதது,ಮರುಕಳಿಸುವುದಿಲ್ಲ
