Marathi,Malayalam
"1.अॅबॅकस, 2. मोजणी","1.അബാക്കസ്, 2. എണ്ണുന്നു"
असामान्य शेवट,അസാധാരണമായ അവസാനം
इंटरसेप्ट,തടസ്സപ്പെടുത്തുക
"1. निरपेक्ष, 2. सर्वोच्च","1. കേവലം, 2. പരമോന്നത"
परिपूर्ण पत्ता,സമ്പൂർണ്ണ വിലാസം
परिपूर्ण पत्ता योग्यता,സമ്പൂർണ്ണ വിലാസക്ഷമത
परिपूर्ण असेंबलर,കേവല അസംബ്ലർ
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. കേവല കോഡ്, 2. കേവല കോഡ്"
निरपेक्ष आज्ञा,സമ്പൂർണ്ണ കമാൻഡ്
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
परिपूर्ण सूचना,സമ്പൂർണ്ണ നിർദ്ദേശം
परिपूर्ण मोड,കേവല മോഡ്
परिपूर्ण मार्ग,കേവല പാത
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
अमूर्त वर्ग,അമൂർത്ത ക്ലാസ്
अमूर्त डेटा प्रकार,അമൂർത്ത ഡാറ്റ തരം
अमूर्त मशीन,അമൂർത്ത യന്ത്രം
अमूर्त चिन्ह,അമൂർത്ത ചിഹ്നം
अमूर्त वाक्यरचना,അമൂർത്തമായ വാക്യഘടന
स्वीकृती चाचणी,സ്വീകാര്യത പരിശോധന
प्रवेश प्रमाणपत्र,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. प्रवेश कोड, 2. प्रवेश कोड","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
प्रवेश नियंत्रण,പ്രവേശന നിയന്ത്രണം
प्रवेश स्कॅनिंग,ആക്സസ് സ്കാനിംഗ്
उपकरणे,സാധനങ്ങൾ
लेखा,അക്കൌണ്ടിംഗ്
"1. खाते आयडी, 2. लेखा ओळख","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
संचयक,ശേഖരണം
"1. अचूकता, 2. अचूकता","1. കൃത്യത, 2. കൃത്യത"
प्रवेश,പ്രവേശനം
प्रवेश नियंत्रण बाइट्स,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
प्रवेश सूचक,പ്രവേശന സൂചകം
प्रवेश की,ആക്സസ് കീ
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
प्रवेश मोड,ആക്സസ് മോഡ്
प्रवेश विशेषाधिकार,പ്രവേശനാവകാശങ്ങൾ
प्रवेश सुरक्षा,ആക്സസ് സുരക്ഷ
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
प्रवेश वेळ,പ്രവേശന സമയം
