Gujarati,Malayalam
અબેકસ,അബാക്കസ്
અસામાન્ય સમાપ્તિ,അസാധാരണമായ അവസാനിപ്പിക്കൽ
ગર્ભપાત,ഉപേക്ഷിക്കുക
સંપૂર્ણ,കേവല
સંપૂર્ણ સરનામું,സമ്പൂർണ്ണ വിലാസം
સંપૂર્ણ સંબોધન,സമ്പൂർണ്ണ അഭിസംബോധന
સંપૂર્ણ એસેમ્બલર,കേവല അസംബ്ലർ
સંપૂર્ણ કોડ,കേവല കോഡ്
સંપૂર્ણ આદેશ,സമ്പൂർണ്ണ കമാൻഡ്
સંપૂર્ણ ડેટા,സമ്പൂർണ്ണ ഡാറ്റ
સંપૂર્ણ સૂચના,സമ്പൂർണ്ണ നിർദ്ദേശം
સંપૂર્ણ મોડ,കേവല മോഡ്
સંપૂર્ણ માર્ગ,കേവല പാത
સંપૂર્ણ પ્રોગ્રામિંગ,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
અમૂર્ત વર્ગ,അമൂർത്ത ക്ലാസ്
અમૂર્ત ડેટા પ્રકાર,അമൂർത്ത ഡാറ്റ തരം
અમૂર્ત મશીન,അമൂർത്ത യന്ത്രം
અમૂર્ત પ્રતીક,അമൂർത്ത ചിഹ്നം
અમૂર્ત વાક્યરચના,അമൂർത്തമായ വാക്യഘടന
સ્વીકૃતિ પરીક્ષણ,സ്വീകാര്യത പരിശോധന
ઍક્સેસ પ્રમાણીકરણ,ആക്സസ് പ്രാമാണീകരണം
ઍક્સેસ કોડ,പ്രവേശന കോഡ്
વપરાશ નિયંત્રણ,പ്രവേശന നിയന്ത്രണം
એક્સેસ સ્કેન,ആക്സസ് സ്കാൻ
સહાયક,ഉപസാധനം
એકાઉન્ટ,അക്കൗണ്ട്
એકાઉન્ટ ID,അക്കൗണ്ട് ID
સંચયક,ശേഖരണം
ચોકસાઈ,കൃത്യത
ઍક્સેસ,പ്രവേശനം
એક્સેસ કંટ્રોલ બાઈટ,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
એક્સેસ ઇન્ડેક્સ,പ്രവേശന സൂചിക
ઍક્સેસ કી,ആക്സസ് കീ
એક્સેસ મેટ્રિક્સ,ആക്സസ് മാട്രിക്സ്
ઍક્સેસ મોડ,ആക്സസ് മോഡ്
એક્સેસ વિશેષાધિકાર,ആക്സസ് പ്രിവിലേജ്
ઍક્સેસ સુરક્ષા,ആക്സസ് സുരക്ഷ
ઍક્સેસ સર્વર,ആക്സസ് സെർവർ
ઍક્સેસ સમય,പ്രവേശന സമയം
સ્વીકૃતિ,അംഗീകാരം
ધ્વનિશાસ્ત્ર,ശബ്ദശാസ്ത്രം
ટૂંકાક્ષર,സംക്ഷേപം
ક્રિયા સંદેશ,പ്രവർത്തന സന്ദേശം
સક્રિયકરણ,സജീവമാക്കൽ
સક્રિય સર્વર પૃષ્ઠ (ASP),സജീവ സെർവർ പേജ് (ASP)
સક્રિય સંસ્કરણ,സജീവ പതിപ്പ്
એસાયક્લિક,അസൈക്ലിക്
એસાયક્લિક ગ્રાફ,അസൈക്ലിക് ഗ്രാഫ്
અદા ભાષા,അഡാ ഭാഷ
એડેપ્ટર,അഡാപ്റ്റർ
ઉમેરો,ചേർക്കുക
ફાઇલ ઉમેરો,ഫയൽ ചേർക്കുക
કામગીરી ઉમેરો,പ്രവർത്തനം ചേർക്കുക
ઉમેરનાર,ചേർക്കുന്നയാൾ
સરનામું,വിലാസം
સરનામું બસ,വിലാസം ബസ്
સરનામું ફાઇલ,വിലാസ ഫയൽ
સરનામું ફોર્મેટ,വിലാസ ഫോർമാറ്റ്
સરનામું જનરેટર,വിലാസ ജനറേറ്റർ
એડ્રેસ લાઇન,വിലാസ ലൈൻ
સરનામું મેપિંગ,വിലാസ മാപ്പിംഗ്
સરનામું નિર્દેશક,വിലാസ സൂചിക
સરનામું રજીસ્ટર,വിലാസ രജിസ്റ്റർ
સરનામું રિઝોલ્યુશન,വിലാസം റെസലൂഷൻ
સરનામા અનુવાદ,വിലാസ വിവർത്തനം
સંબોધિત મેમરી,അഭിസംബോധന ചെയ്ത മെമ്മറി
સંબોધન,അഭിസംബോധന
પર્યાપ્તતા માપદંડ,പര്യാപ്തത മാനദണ്ഡം
સંલગ્ન,അനുബന്ധം
વહીવટ,ഭരണകൂടം
સંચાલક,കാര്യനിർവാഹകൻ
એડોબ એક્રોબેટ,അഡോബ് അക്രോബാറ്റ്
એડોબ ફોટોશોપ,അഡോബ് ഫോട്ടോഷോപ്പ്
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
અદ્યતન ડેટા,വിപുലമായ ഡാറ്റ
અદ્યતન માહિતી સિસ્ટમ,വിപുലമായ വിവര സംവിധാനം
અદ્યતન ટેકનોલોજી (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
એજન્ટ,ഏജന്റ്
એકત્રીકરણ,സമാഹരണം
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus પૃષ્ઠ નિર્માતા,ആൽഡസ് പേജ് മേക്കർ
ચેતવણી બોક્સ,മുന്നറിയിപ്പ് ബോക്സ്
algol,ആൽഗോൾ
અલ્ગોરિધમ,അൽഗോരിതം
અલ્ગોરિધમ વિશ્લેષણ,അൽഗോരിതം വിശകലനം
અલ્ગોરિધમ કાર્યક્ષમતા,അൽഗോരിതം കാര്യക്ഷമത
ઉપનામ,അപരനാമം
ગોઠવણી,വിന്യാസം
ફાળવણી,വിഹിതം
આલ્ફાબેટીક,അക്ഷരമാലാക്രമം
આલ્ફાન્યૂમેરિક,ആൽഫാന്യൂമെറിക്
આલ્ફાન્યૂમેરિક કી બોર્ડ,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
આલ્ફા-પરીક્ષણ,ആൽഫ-ടെസ്റ്റ്
આલ્ફા-સંસ્કરણ,ആൽഫ പതിപ്പ്
alt કી,alt കീ
અલ્ટાવિસ્ટા,അൾട്ടാവിസ്റ്റ
અસ્પષ્ટતા,അവ്യക്തത
અસ્પષ્ટ વ્યાકરણ,അവ്യക്തമായ വ്യാകരണം
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
એનાલોગ,അനലോഗ്
એનાલોગ કમ્પ્યુટર,അനലോഗ് കമ്പ്യൂട്ടർ
એનાલોગ ઉપકરણ,അനലോഗ് ഉപകരണം
એનાલોગ મોડેમ,അനലോഗ് മോഡം
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
અને,ഒപ്പം
અને સર્કિટ,കൂടാതെ സർക്യൂട്ട്
અને દરવાજો,ഒപ്പം ഗേറ്റും
અને ઓપરેશન નહીં (બાકાત),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
એનિમેશન,ആനിമേഷൻ
ટીકા,വ്യാഖ്യാനം
વિસંગતતા,അപാകത
પૂર્વવર્તી,മുൻഗാമി
આગોતરી પેજીંગ,മുൻകൂർ പേജിംഗ്
વિરોધી સપ્રમાણ,വിരുദ്ധ സമമിതി
એન્ટિવાયરસ પ્રોગ્રામ,ആന്റിവൈറസ് പ്രോഗ്രാം
એપ્લેટ,ആപ്ലെറ്റ്
એપ્લિકેશન ડેવલપર,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
એપ્લિકેશન પ્રોગ્રામિંગ,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API),ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
એપ્લિકેશન સોફ્ટવેર,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
લાગુ પડતી ભાષા,ബാധകമായ ഭാഷ
અંદાજ સિદ્ધાંત,ഏകദേശ സിദ്ധാന്തം
સ્થાપત્ય,വാസ്തുവിദ്യ
વિસ્તાર ટ્રાન્સફર,ഏരിയ കൈമാറ്റം
દલીલ,വാദം
અંકિત અને તર્ક એકમ,"ഗണിത, യുക്തി യൂണിറ്റ്"
અંકિત તપાસ,ഗണിത പരിശോധന
અંકિત સ્થિરાંક,ഗണിത സ്ഥിരാങ്കം
અંકિત માહિતી,ഗണിത ഡാറ്റ
અંકગણિત સૂચના,ഗണിത നിർദ്ദേശം
અંકગણિત અને તર્ક એકમ (ALU),ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU)
અર્પાનેટ,അർപാനെറ്റ്
એરે,അറേ
એરે કેશ,അറേ കാഷെ
એરે કમ્પ્યુટર,അറേ കമ്പ്യൂട്ടർ
એરે તત્વ,അറേ ഘടകം
એરે નામ,അറേ പേര്
એરે પ્રોસેસર,അറേ പ്രോസസർ
તીર કીઓ,അമ്പടയാള കീകൾ
ઉચ્ચારણ,ഉച്ചാരണം
ઉચ્ચારણ બિંદુ,ആർട്ടിക്കുലേഷൻ പോയിന്റ്
કૃત્રિમ કોમ્પેક્શન,കൃത്രിമ കോംപാക്ഷൻ
કૃત્રિમ નિયંત્રણ,കൃത്രിമ നിയന്ത്രണം
કૃત્રિમ બુદ્ધિ,നിർമ്മിത ബുദ്ധി
ચડતા,ആരോഹണം
ચડતા સૉર્ટ,ആരോഹണ തരം
ASCII બેટીકલ ઓર્ડર,ASCII ബെറ്റിക്കൽ ഓർഡർ
ASCII નિયંત્રણ પાત્ર,ASCII നിയന്ത്രണ പ്രതീകം
ASCII ફાઇલ,ASCII ഫയൽ
ASCII ફોન્ટ,ASCII ഫോണ്ട്
ASCII ટ્રાન્સફર,ASCII കൈമാറ്റം
પાસા ગુણોત્તર,വീക്ഷണാനുപാതം
ASPI,എ.എസ്.പി.ഐ
ASR ટાઈમર,ASR ടൈമർ
ભેગા,കൂട്ടിച്ചേർക്കുക
એસેમ્બલર,അസംബ്ലർ
એસેમ્બલી,അസംബ്ലി
એસેમ્બલી ભાષા,അസംബ്ലി ഭാഷ
નિવેદન,അവകാശവാദം
સોંપણી,നിയമനം
સંગઠન,അസോസിയേഷൻ
સહયોગી સરનામું,അനുബന്ധ വിലാസം
સહયોગી મેમરી,അനുബന്ധ മെമ്മറി
એસ્ટરીક,ആസ്റ്ററിക്
અસમપ્રમાણ,അസമമായ
અસુમેળ,അസമന്വിത
અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
અસુમેળ ટ્રાન્સફર,അസമന്വിത കൈമാറ്റം
અસુમેળ ટ્રાન્સફર મોડ (ATM),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
અણુ,ആറ്റം
જોડાયેલ દસ્તાવેજ,അറ്റാച്ചുചെയ്ത പ്രമാണം
જોડેલી ફાઈલ,അറ്റാച്ചുചെയ്ത ഫയൽ
જોડાણ,ബന്ധം
લક્ષણ,ആട്രിബ്യൂട്ട്
ઓડિયો,ഓഡിയോ
ઓડિટ પ્રોગ્રામિંગ,ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്
વિષ્લેષણ,ഓഡിറ്റ് ട്രയൽ
વૃદ્ધિ,വർദ്ധിപ്പിക്കൽ
પ્રમાણીકરણ પ્રોટોકોલ,പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ
ઓથરિંગ સિસ્ટમ,എഴുത്ത് സംവിധാനം
અધિકૃતતા,അംഗീകാരം
સ્વતઃ અમૂર્ત,യാന്ത്രിക സംഗ്രഹം
ઓટોબૂટિંગ,ഓട്ടോബൂട്ടിംഗ്
ઓટોકેડ,ഓട്ടോകാഡ്
ઓટોલોગ ચાલુ,ഓട്ടോലോഗ് ഓൺ
ઓટોમેટા,ഓട്ടോമാറ്റ
ઓટોમેટા સિદ્ધાંત,ഓട്ടോമാറ്റ സിദ്ധാന്തം
આપોઆપ કમ્પ્યુટિંગ,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടിംഗ്
સ્વચાલિત ડેટા પ્રોસેસિંગ,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
આપોઆપ ભૂલ સુધારણા,യാന്ത്രിക പിശക് തിരുത്തൽ
સ્વચાલિત કાર્ય,യാന്ത്രിക പ്രവർത്തനം
આપોઆપ અનુક્રમણિકા,ഓട്ടോമാറ്റിക് ഇൻഡെക്സിംഗ്
સ્વચાલિત પુસ્તકાલય કૉલ,ഓട്ടോമാറ്റിക് ലൈബ്രറി കോൾ
આપોઆપ પ્રોગ્રામિંગ,ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്
સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ,യാന്ത്രിക വീണ്ടെടുക്കൽ പ്രോഗ്രാം
આપોઆપ નિયમિત,യാന്ത്രിക ദിനചര്യ
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
