Hindi,Tamil
रुद्ध-वृद्धि अंग,கைவிடப்பட்ட உறுப்பு
रुद्ध वृद्धि बीज,நிறுத்தப்பட்ட விதை
"गर्भपात, गर्भस्राव, वृद्धि विरोध",கருக்கலைப்பு
"अवांछित अपतृण, पूर्ण खरपतवार",முழுமையான களை
अवशोषित धनायन,உறிஞ்சப்பட்ட கேஷன்
अवशोषण,உறிஞ்சுதல்
ऐबिसिनी सरसों,அபிசீனிய கடுகு
"एकेरेसनाशी, चिचड़ीनाशी",அகரைடு
अकेंद्री,உச்சரிப்பு
प्रवर्धन (कोशिका),உச்சநிலை (செல்)
स्वीकृत सहायता,ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை
"अतिरिक्त, सहायक, गौण",துணை
पर्यनुकूलन,பழக்கவழக்கமயமாக்கல்
संचय,குவிப்பு
"यथार्थता, परिशुद्धता",துல்லியம்
"एसर्वुलस, बीजाणुपात्र",அசெருலஸ்
"ऐसीटीकरण, सिरका बनाना",அசிடிபிகேஷன்
"अम्लीकरण, अम्लन",அமிலமயமாக்கல்
"अम्लतामापी, एसिडीमीटर",அமிலமீட்டர்
अम्लता,அமிலத்தன்மை
अम्लरागी,அமிலத்தன்மை கொண்ட
अम्लीकृत रॉक फॉस्फेट,அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்
अम्लसह,அமிலத்தன்மை
जलभृत,நீர்வாழ்
अधिग्रहण,கையகப்படுத்தல்
एकड़,ஏக்கர்
"क्षेत्रफल, रकबा",ஏக்கர் தூரம்
उपांत बिंदु क्रोमोसोम,அக்ரோசென்ட்ரிக் குரோமோசோம்
अग्राभिसारी,அக்ரோபெட்டல்
ऐक्रोसोम,சக்ரோசோம்
एक्टिनोमाइसिटीज,ஆக்டினோமைசீட்கள்
सक्रिय मूलक्षेत्र,செயலில் ரூட் மண்டலம்
"उग्र, तीव्र",கடுமையான
अनुकूलनशीलता,தகவமைப்பு
अनुकूलन,தழுவல்
"आसंजन, अभिलाग, बन्ध",ஒட்டுதல்
वसामय,கொழுப்பு
समायोजन समीकरण,சரிசெய்தல் சமன்பாடு
ऐडोब मृदा,அடோப் மண்
अपमिश्रक,கலப்படம்
अपस्थानिक,சாகச
"एसीडियोस्पोर, एसीडियम बीजाणु",Aecidiospore
वातोढ़ प्रक्रिया,ஏலியன் செயல்முறை
वातोढ़,ஏயோலியன்
वातन करना,காற்றோட்டம்
"वायव, आकाशी",வான்வழி
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",ஏரோமானி
ऐरोसॉल,ஏரோசோல்
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",அவதூறு
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",ஏட்டாலஜி (நோயியல்
वनरोपण,காடு வளர்ப்பு
"विलोडन, प्रक्षोभन",கிளர்ச்சி
"ऐगमार्क, कृष्यंक",அக்மார்க்
"भूमी संबंधी, कृषि संबंधी",விவசாய
कृषि निदानालय,வேளாண் மருத்துவமனை
"कृषि श्रम, खेतिहर मजदूर",விவசாய உழைப்பு
कृषि विपणन,விவசாய சந்தைப்படுத்தல்
कृषि प्रद्योगिकी,விவசாய தொழில்நுட்பம்
"कृषि, खेतीबारी, कृषि विज्ञान",வேளாண்மை
कृषि वनवर्धन,வேளாண் வளர்ப்பை
कृषि जैविक विविधता,வேளாண் பன்முகத்தன்மை
कृषि जैविक दोष,வேளாண் வியாபார குறைபாடுகள்
कृषि जैविकी,வேளாண்வியல்
कृषि जलवायुवीय विविधता,வேளாண் பன்முகத்தன்மை
कृषि जलवायुवीय क्षेत्रीकरण,வேளாண் மண்டல
कृषि वानिकी,வளர்ப்பு
सस्य मृदा विज्ञान,விவசாயவியல்
सस्य विज्ञान,வேளாண்
कृषि पशुचारणिक,அக்ரோபாஸ்டோரல்
फसल प्रसंस्करण,அக்ரோபிராசெசிங்
घास विज्ञान,அக்ரோஸ்டாலஜி
सस्य प्ररूप,வேளாண் வகை
अधिपादप,விமான ஆலை
ऐकिओची मृदा,அகியோச்சி மண்
"वर्णकहीनता, अवर्णता",ஆல்பினிசம்
एल्फिसॉल,அல்பிசோல்ஸ்
"शैवाल, काई",பாசி
शैवाल रोग,பாசி நோய்
क्षार जल,கார நீர்
क्षारीय,கார
विकल्पी,அல்லீல்
एलीलो रसायन,அல்லீல கெமிக்கல்ஸ்
युग्मविकल्पी,அல்லீலோமார்ப்
एलीलोपैथी,அலெலோபதி
