Odiya,Kannada
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
ଘୃଣ୍ୟତା |,ವಿಪಥನ
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,ಅಸಹಜ ಪ್ರಸರಣ
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
ସଂପୂର୍ଣ୍ଣ ଗତି,ಸಂಪೂರ್ಣ ವೇಗ
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ସଂପୂର୍ଣ୍ଣ ଶୂନ,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ଶୋଷଣ,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"ଶୋଷକ, ଶୋଷକ","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ଅବଶୋଷଣ କ୍ଷମତା |,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ଅବସାଦ |,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଶୋଷକ,ಹೀರಿಕೊಳ್ಳುವ
ଶୋଷଣ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ବହୁଗୁଣ ଅନୁପାତ |,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ତ୍ୱରାନ୍ୱିତ କର |,ವೇಗವನ್ನು
ଶୀଘ୍ର ଶୀଘ୍ର,ಆತುರಪಟ್ಟರು
ତ୍ୱରଣ,ವೇಗವರ್ಧನೆ
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ତ୍ୱରକ,ವೇಗವರ್ಧಕ
