Malayalam,Hindi
അജിയോട്ടിക് പുനരുൽപാദനം,अजीवात् जनन
അസാധാരണമായ,अपसामान्य
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. चतुर्थ आमाशय 2. ऐवोमैसम
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,रुद्ध-वृद्धि अंग
വളർച്ച മുരടിച്ച വിത്ത്,रुद्ध वृद्धि बीज
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. अवांछित अपतृण 2. पूर्ण खरपतवार
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,अवशोषित धनायन
ആഗിരണം,अवशोषण
അബിസീനിയൻ കടുക്,ऐबिसिनी सरसों
1. acaricide,1.एकेरेसनाशी 2. चिचड़ीनाशी
കേന്ദ്രാഭിമുഖം,अकेंद्री
ആംപ്ലിഫിക്കേഷൻ (സെൽ),प्रवर्धन (कोशिका)
അനുവദിച്ച സഹിഷ്ണുത,स्वीकृत सह्यता
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1.अतिरिक्त 2. सहायक 3. गौण
പൊരുത്തപ്പെടുത്തൽ,पर्यनुकूलन
ശേഖരണം,संचय
1. vaccuracy 2. കൃത്യത,1.vयथार्थता 2. परिशुद्धता
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. एसर्वुलस 2. बीजाणुपात्र
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. अम्लीकरण 2. अम्लन
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1.अम्लतामापी 2. एसिडीमीटर
അസിഡിറ്റി,अम्लता
അസിഡോഫൈൽ,अम्लरागी
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,अम्लीकृत रॉक फॉस्फेट
അസിഡിഫൈഡ്,अम्लसह
ജലാശയം,जलभृत
കൈവശപ്പെടുത്തൽ,अधिग्रहण
ഏക്കർ,एकड़
1. ഏരിയ 2. ഏരിയ,1.क्षेत्रफल 2. रकबा
അവസാന പോയിന്റ് ക്രോമസോം,उपांत बिंदु क्रोमोसोम
മുന്നോട്ട് നോക്കുന്ന,अग्राभिसारी
അക്രോസോം,ऐक्रोसोम
ആക്റ്റിനോമൈസെറ്റുകൾ,एक्टिनोमाइसिटीज
സജീവ കോർ,सक्रिय मूलक्षेत्र
1. ക്രോധം 2. തീവ്രം,1.उग्र 2. तीव्र
പൊരുത്തപ്പെടുത്തൽ,अनुकूलनशीलता
ഇഷ്ടാനുസൃതമാക്കൽ,अनुकूलन
1. അഡീഷൻ 2. അഡീഷൻ,1. आसंजन 2. अभिलाग
സെബാസിയസ്,वसामय
ക്രമീകരിക്കൽ സമവാക്യം,समायोजन समीकरण
അഡോബ് മണ്ണ്,ऐडोब मृदा
വ്യഭിചാരം,अपमिश्रक
എക്ടോപിക്,अपस्थानिक
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,इसीडियोस्पोर इसीडियम बीजाणु
എയറോഡൈനാമിക് പ്രക്രിയ,वातोढ़ प्रक्रिया
വെൻട്രൽ,वातोढ़
വായുസഞ്ചാരത്തിനായി,वातन करना
1. വായു 2. ആകാശി,1. वायव 2. आकाशी
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
എയറോസോൾ,ऐरोसोल
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
രോഗ ശാസ്ത്രം,रोग हेतु विज्ञान
വനവൽക്കരണം,वनरोपण
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,1. विलोडन 2. प्रक्षोभन
അഗ്മാർക്ക്,ऐगमार्क
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,1. भूमि संबंधी 2. कृषि संबंधी
കാർഷിക ക്ലിനിക്ക്,कृषि निदानालय
1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ,1. कृषि श्रम 2. खेतिहर मजदूर
കാർഷിക വിപണനം,कृषि विपणन
കാർഷിക സാങ്കേതികവിദ്യ,कृषि प्रद्योगिकी
1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
കാർഷിക വനവൽക്കരണം,कृषि वनवर्धन
കാർഷിക ജൈവവൈവിധ്യം,कृषि जैविक विविधता
കാർഷിക ജൈവ വൈകല്യങ്ങൾ,कृषि जैविक दोष
കാർഷിക ജീവശാസ്ത്രം,कृषि जैविकी
കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം,कृषि जलवायुवीय विविधता
കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ,कृषिजलवायुवीय जोन निर्माण
അഗ്രോഫോറസ്ട്രി,कृषिवानिकी
കാർഷിക ശാസ്ത്രം,सस्य मृदा विज्ञान
അഗ്രോണമിക്,सस्य विज्ञान
കാർഷിക ഇടയൻ,कृषि पशुचारणिक
വിള സംസ്കരണം,फसल प्रसंस्करण
പുല്ല് ശാസ്ത്രം,घास विज्ञान
വിള തരം,सस्य प्ररूप
എപ്പിഫൈറ്റ്,अधिपादप
aikiochi മണ്ണ്,ऐकिओची मृदा
വർണ്ണാന്ധത,वर्णकहीनता
ആൽഫിസോൾ,एल्फिसॉल
ആൽഗകൾ,शैवाल
ആൽഗ രോഗം,शैवाल रोग
ആൽക്കലി വെള്ളം,क्षार जल
ആൽക്കലൈൻ,क्षारीय
ബദൽ,विकल्पी
അല്ലെലോ രസതന്ത്രം,एलीलो रसायन
അല്ലീൽ,युग्मविकल्पी
അല്ലെലോപ്പതി,एलीलोपैथी
വേത്തി വിള,वीथी सस्यन
പൂർത്തീകരണം,परनिषेक-फलता
ബീജസങ്കലനം,परनिषेचन
1. ആപേക്ഷികത 2. അലോമെട്രി,1. सापेक्षमिति 2. ऐलोमैट्री
മൾട്ടിപ്ലോയിഡി,परबहुगुणित
1. പാരാസിഗോസിറ്റി,1. परयुग्मन 2. अपायुग्लन
1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം,1. एकातंर वर्ष फलन 2. एकांतरित फलन
ബദൽ ഭൂമി ഉപയോഗം,वैकल्पिक भूमि उपयोग
പരിസ്ഥിതി,परिवेश
പരിഷ്കർത്താവ്,सुधारक
മൈറ്റോസിസ്,असूत्रीविभाजन
ആമീനൻ,ऐमीनन
അമോണിയൻ,अमोनियन
അമ്നിഫെറസ്,अमोनीकारक
