Assamese,Punjabi
এবেলিয়ান গোট,ਅਬੇਲੀਅਨ ਸਮੂਹ
abelian অৰ্ধগোট,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
নিৰপেক্ষ,ਅਸੀਮ
নিৰপেক্ষ অভিসৰণ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
নিৰপেক্ষ ভুল,ਪੂਰਨ ਗਲਤੀ
নিৰপেক্ষ সৰ্বোচ্চ,ਪੂਰਨ ਅਧਿਕਤਮ
নিৰপেক্ষ নূন্যতম,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
নিৰপেক্ষ মূল্য,ਸਹੀ ਮੁੱਲ
নিৰপেক্ষ বেগ,ਪੂਰਨ ਗਤੀ
বিমূৰ্ত বীজগণিত,ਸਾਰ ਅਲਜਬਰਾ
বিমূৰ্ত গোট তত্ত্ব,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
বেগ বৃদ্ধি,ਪ੍ਰਵੇਗ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
গ্ৰহণযোগ্য পছন্দৰ ছেট,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
গ্ৰহণযোগ্য পৰিসৰ,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
সঞ্চিত ভুল,ਸੰਚਿਤ ਗਲਤੀ
শুদ্ধতা,ਸ਼ੁੱਧਤਾ
ক্ৰিয়াশীল শক্তি,ਐਕਟਿੰਗ ਫੋਰਸ
কাৰ্য কৰা,ਕਾਰਵਾਈ
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
কৃষি বিজ্ঞান,ਅਸਲ ਵਿਗਿਆਨ
তীব্ৰ কোণীয়া ত্ৰিভুজ,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
অচক্ৰীয়,acyclic
যোগ কৰা,ਸ਼ਾਮਲ ਕਰੋ
adder,ਜੋੜਨ ਵਾਲਾ
যোগ,ਇਸ ਤੋਂ ਇਲਾਵਾ
যোগ সূত্ৰ,ਜੋੜ ਫਾਰਮੂਲਾ
জটিল সংখ্যাৰ সংযোজন,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
ফলনসমূহৰ সংযোজন,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
মেট্ৰিক্সৰ সংযোজন,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
বহুপদ যোগ কৰা,ਬਹੁਪਦ ਦਾ ਜੋੜ
সম্ভাৱনাৰ সংযোজন,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
ভেক্টৰৰ সংযোজন,ਵੈਕਟਰ ਦਾ ਜੋੜ
যোগ উপপাদ্য,ਵਾਧੂ ਪ੍ਰਮੇਯ
যোগকৰণ গোট,additive ਗਰੁੱਪ
যোগকৰণৰ বিপৰীত,additive ਉਲਟ
