Odiya,Punjabi
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
ଅବକ୍ଷୟ,ਨਿਮਰਤਾ
ଦାସତ୍ୱ ରଦ୍ଦ,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
ଆଦିବାସୀ,ਆਦਿਵਾਸੀ
ଅବ୍ରହାମ ଏରା,ਅਬਰਾਹਮ ਯੁੱਗ
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
ଏକାଡେମୀ |,ਅਕੈਡਮੀ
ଆକ୍ରା ସମ୍ମିଳନୀ |,ਅਕਰਾ ਕਾਨਫਰੰਸ
ଆକ୍ରୁଏଲ୍ |,ਪ੍ਰਾਪਤੀ
ଆକଲଚ୍ୟୁଚର୍,ਐਕਲਚਰੇਸ਼ਨ
ଆକେଲଡାମା |,ਐਸੇਲਡਾਮਾ
ଆଖିଆନ୍ (= ଆଚିଆନ୍),ਅਚੀਅਨ (=ਅਚੀਅਨ)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
ଆକ୍ରୋପଲିସ୍ |,ਐਕ੍ਰੋਪੋਲਿਸ
ଆକ୍ଟା ଡିଆର୍ନା |,ਐਕਟਾ ਦਿਉਰਨਾ
ଆକ୍ଟା ସେନାଟସ୍ |,ਐਕਟਾ ਸੇਨੇਟਸ
ଆକ୍ଟ ଆଡେଲ୍ |,ਐਕਟ ਐਡੀਸ਼ਨਲ
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
ସମାଧାନ ନିୟମ,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
ଆଡୁଲାମାଇଟ୍ସ |,ਅਦੁਲਾਮਾਈਟਸ
ଶତ୍ରୁ,ਵਿਰੋਧੀ
ଶତ୍ରୁ,ਵਿਰੋਧੀ
ଆଓନ୍,ਏਯੋਨ
ଏରାରିୟମ୍ |,ਏਰੈਰੀਅਮ
ବାୟୁ ଯୁଦ୍ଧ |,ਹਵਾਈ ਜੰਗ
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,ਏਟੋਲੀਅਨ ਲੀਗ
ବୟସ,ਉਮਰ
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
ଆଗେଲାଇ |,ਅਗੇਲੈ
Ival ିଭାଲିର ବୟସ |,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
ଜ୍ଞାନର ବୟସ |,ਗਿਆਨ ਦੀ ਉਮਰ
ପେରିକଲ୍ସର ବୟସ |,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
କାରଣର ବୟସ |,ਕਾਰਨ ਦੀ ਉਮਰ
କୃଷିବାଦ,ਖੇਤੀਵਾਦ
କୃଷି ଆନ୍ଦୋଳନ |,ਖੇਤੀ ਅੰਦੋਲਨ
ଆଲବିଅନ୍ |,ਐਲਬੀਅਨ
ଆଲବମ୍,ਐਲਬਮ
ଆଲଡରମ୍ୟାନ୍ |,ਐਲਡਰਮੈਨ
ଭ୍ରାନ୍ତ ବାହୁ |,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
ବନ୍ଧୁତା,ਦੋਸਤੀ
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,Amphictyonic ਕੌਂਸਲ
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
ଆମ୍ଫିଥେଟର,ਅਖਾੜਾ
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
ଆନାକ୍ରୋନିଜିମ୍ |,ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
ପୂର୍ବପୁରୁଷ,ਪੂਰਵਜ
ପୂର୍ବପୁରୁଷ ପୂଜା |,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
ପିତୃପୁରୁଷ,ਵੰਸ਼
ପିତୃପୁରୁଷ,ਵੰਸ਼
ପିତୃପୁରୁଷ,ਵੰਸ਼
ପିତୃପୁରୁଷ,ਵੰਸ਼
ପ୍ରାଚୀନ ଶାସନ,ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
ପ୍ରାଚୀନ,ਪ੍ਰਾਚੀਨ
ପ୍ରାଚୀନ ବାଲାଡ୍ |,ਪ੍ਰਾਚੀਨ ਗੀਤ
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
ପ୍ରାଚୀନ ପ୍ରଥା,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
ପ୍ରାଚୀନ ଇତିହାସ,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
ପ୍ରାଚୀନ ସ୍ମାରକୀ,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
ଉପନ୍ୟାସ,ਕਿੱਸਾ
ଆଞ୍ଜେଲଟ୍ |,ਐਂਜਲੋਟ
ଆଞ୍ଜେଲସ୍ |,ਐਂਜਲਸ
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
କୋଣ,ਕੋਣ
ଅଙ୍ଗଲିକାନ୍ |,ਐਂਗਲੀਕਨ
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
ଅଙ୍ଗଲିକାନିଜିମ୍ |,ਐਂਗਲੀਕਨਵਾਦ
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,ਐਂਗਲੋ-ਫੋਬ
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,ਐਂਗਲੋ-ਫੋਬੀਆ
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,ਐਂਗਲੋ-ਸੈਕਸਨ
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
