Kannada,Assamese
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","১.এবাকাছ, ২. গণনা কৰি আছে"
ಅಸಹಜ ಅಂತ್ಯ,অস্বাভাৱিক অন্ত
ತಡೆಹಿಡಿಯಿರಿ,ইন্টাৰচেপ্ট
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","১.নিৰপেক্ষ, ২. পৰম"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,নিৰপেক্ষ ঠিকনা
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,নিৰপেক্ষ ঠিকনাযোগ্যতা
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,নিৰপেক্ষ এছেম্বলাৰ
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,নিৰপেক্ষ আদেশ
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,নিৰপেক্ষ নিৰ্দেশনা
ಸಂಪೂರ್ಣ ಮೋಡ್,নিৰপেক্ষ ধৰণ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,নিৰপেক্ষ পথ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
ಅಮೂರ್ತ ವರ್ಗ,বিমূৰ্ত শ্ৰেণী
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,বিমূৰ্ত তথ্যৰ ধৰণ
ಅಮೂರ್ತ ಯಂತ್ರ,বিমূৰ্ত মেচিন
ಅಮೂರ್ತ ಚಿಹ್ನೆ,বিমূৰ্ত চিহ্ন
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,বিমূৰ্ত বাক্যবিন্যাস
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,গ্ৰহণযোগ্যতা পৰীক্ষা
