Punjabi,Assamese
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,ৱেষ্টমিনিষ্টাৰৰ এবে
ਨਿਮਰਤਾ,এবডিটৰী
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,দাসত্ব বিলুপ্ত কৰা
ਆਦਿਵਾਸੀ,আদিবাসী
ਅਬਰਾਹਮ ਯੁੱਗ,আব্ৰাহাম যুগ
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,অনুপস্থিত ঘৰৰ মালিক
ਅਕੈਡਮੀ,একাডেমী
ਅਕਰਾ ਕਾਨਫਰੰਸ,আক্ৰা সন্মিলন
ਪ੍ਰਾਪਤੀ,এক্ৰুৱেল
ਐਕਲਚਰੇਸ਼ਨ,সংস্কৃতিকৰণ
ਐਸੇਲਡਾਮਾ,এচেলডামা
ਅਚੀਅਨ (=ਅਚੀਅਨ),আখিয়ান (=আচিয়ান)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),আচায়ান লীগ (=আচিয়ান লীগ)
ਐਕ੍ਰੋਪੋਲਿਸ,এক্ৰ&#39;পলিছ
ਐਕਟਾ ਦਿਉਰਨਾ,এক্টা ডিউৰ্না
ਐਕਟਾ ਸੇਨੇਟਸ,এক্টা চেনেটাছ
ਐਕਟ ਐਡੀਸ਼ਨਲ,এক্টে এডিচনেল
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,প্ৰাপ্তিৰ কাৰ্য্য
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,বন্দোবস্তৰ আইন
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,এড কন্ট্ৰেক্টাছ ছীল
ਅਦੁਲਾਮਾਈਟਸ,এডুলামাইটছ
ਵਿਰੋਧੀ,বিৰোধী
ਵਿਰੋਧੀ,বিৰোধী
ਏਯੋਨ,ইয়ন
ਏਰੈਰੀਅਮ,এৰেৰিয়াম
ਹਵਾਈ ਜੰਗ,আকাশী যুদ্ধ
ਏਟੋਲੀਅਨ ਲੀਗ,এটলিয়ান লীগ
ਉਮਰ,বয়স
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
ਅਗੇਲੈ,আগেলাই
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,অশ্বাৰোহীৰ যুগ
ਗਿਆਨ ਦੀ ਉਮਰ,এজ অৱ ইংলাইটমেণ্ট
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,পেৰিক্লিছৰ বয়স
ਕਾਰਨ ਦੀ ਉਮਰ,যুক্তিৰ বয়স
ਖੇਤੀਵਾਦ,কৃষিবাদ
ਖੇਤੀ ਅੰਦੋਲਨ,কৃষি আন্দোলন
ਐਲਬੀਅਨ,এলবিয়ন
ਐਲਬਮ,এলবাম
ਐਲਡਰਮੈਨ,এলডাৰমেন
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,আলোকসজ্জা বাহু
ਦੋਸਤੀ,এমিটি
Amphictyonic ਕੌਂਸਲ,এম্ফিক্টয়নিক কাউন্সিল
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,এম্ফিক্টয়নিক লীগ
ਅਖਾੜਾ,এম্ফিথিয়েটাৰ
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),অমৰি নল গোট (মৃৎশিল্পৰ)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,এনাক্ৰ’নিজম
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,এনাক্ৰ’নিষ্টিক
ਪੂਰਵਜ,পূৰ্বপুৰুষ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,পূৰ্বপুৰুষ পূজা
