Hindi,Bengali
आबेली समूह,আবেলিয়ান গ্রুপ
आबेली सामिसमूह,আবেলিয়ান সেমিগ্রুপ
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",পরম
निरपेक्ष अभिसरण,পরম মিলন
निरपेक्ष त्रुटि,পরম ত্রুটি
परम उच्चिष्ठ,পরম সর্বোচ্চ
परम निम्निष्ठ,পরম সর্বনিম্ন
निरपेक्ष मान,পরম মান
निरपेक्ष वेग,পরম বেগ
अमूर्त बीजगणित,বিমূর্ত বীজগণিত
अमूर्त समूह सिद्‌धांत,বিমূর্ত গ্রুপ তত্ত্ব
त्वरण,ত্বরণ
गुरुत्वीय त्वरण,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
स्वीकार्य वरण-समुच्चय,গ্রহণযোগ্য পছন্দ সেট
स्वीकार्य गुणता स्तर,গ্রহণযোগ্য মানের স্তর
स्वीकार्य परिसर,গ্রহণযোগ্য পরিসীমা
मान्य विश्वसनीयता स्तर,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
स्वीकरण-प्रतिचयन,গ্রহণযোগ্য নমুনা
संचित त्रुटि,সঞ্চিত ত্রুটি
यथार्थता,সঠিকতা
लगा हुआ बल,অভিনয় শক্তি
" क्रिया , कर्म",কর্ম
क्रिया और प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
बीमा विज्ञान,বাস্তব বিজ্ঞান
न्यूनकोण त्रिभुज,তীব্র কোণযুক্ত ত্রিভুজ
अचक्रीय,অ্যাসাইক্লিক
"योग करना, जोड़ना",যোগ করুন
योजक,যোগকারী
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",সংযোজন
योग का सूत्र,সংযোজন সূত্র
सम्मिश्र संख्याओं का योग,জটিল সংখ্যার সংযোজন
फलनों का योग,ফাংশন সংযোজন
आव्यूहों का योग,ম্যাট্রিক্সের সংযোজন
बहुपदों का योग,বহুপদ সংযোজন
प्रायिकताओं का योग,সম্ভাবনার সংযোজন
सदिशों का योग,ভেক্টর সংযোজন
"योग प्रमेय बेरीज सिद्‌धांत,",সংযোজন উপপাদ্য
योज्य समूह,সংযোজনকারী গ্রুপ
योज्य व्युत्क्रम,সংযোজন বিপরীত
"योज्यता, योगशीलता",সংযোজক সম্পত্তি
योज्यता,সংযোজন
आसन्नता आव्यूह,অন্তিক ম্যাট্রিক্স
" संलग्न, निकटवर्ती , आसन्न",সংলগ্ন
आसन्न कोण,সন্নিহিত কোণ
आसन्न शीर्ष,সংলগ্ন শীর্ষবিন্দু
सहबद्‌ध करना,সংলগ্ন
"संलग्न संलग्नीत,",সংলগ্ন
सहखंडज सारणिक,সংলগ্ন নির্ধারক
संलग्न अवकल समीकरण,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
संलग्न समीकरण,সংলগ্ন সমীকরণ
सहखंडज आव्यूह,সংলগ্ন ম্যাট্রিক্স
आव्यूह सहखंडज,ম্যাট্রিক্সের সংলগ্ন
सहखंडज आव्यूह,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
ग्राह्य निर्णय फलन,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ग्राह्य परिकल्पना,গ্রহণযোগ্য অনুমান
वायुगतिक बल,এরোডাইনামিক বল
वायु गतिकी,বায়ুগতিবিদ্যা
सजातीय ज्यामिति,affine জ্যামিতি
सजातीय प्रतिचित्रण,affine ম্যাপিং
सजातीय रूपांतरण,affine রূপান্তর
समुच्चयी चर,একত্রিত ভেরিয়েবল
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",বীজগণিত
"बीजतः संवृत, बीजतः",বীজগণিতভাবে বন্ধ
बीजीय समीकरण,বীজগণিত সমীকরণ
बीजीय व्यंजक,বীজগাণিতিক এক্সপ্রেশন
बीजीय समघात,বীজগাণিতিক ফর্ম
बीजीय फलन,বীজগণিতীয় ফাংশন
बीजीय ज्यामिति,বীজগণিত জ্যামিতি
बीजीय बहुकता,বীজগণিতের বহুত্ব
बीजीय निकाय,বীজগণিত ব্যবস্থা
सर्व-पूर्णांक समस्या,সমস্ত পূর্ণসংখ্যা সমস্যা
"नियतन समस्या वाटपप्रश्न,",বরাদ্দ সমস্যা
अक्षरात्मक संकेत पद्‌धति,বর্ণানুক্রমিক স্বরলিপি
अक्षरात्मक संप्रतीक,বর্ণানুক্রমিক অক্ষর
एकांतर कोण,বিকল্প কোণ
"एकांतर समघात प्रत्यावर्ती रूप,",বিকল্প ফর্ম
एकांतर समूह,বিকল্প গোষ্ঠী
एकांतर आव्यूह,বিকল্প ম্যাট্রিক্স
एकांतर श्रेणी,বিকল্প সিরিজ
वैकल्पिक परिकल्पना,বিকল্প অনুমান
वैकल्पिक इष्टमत,বিকল্প অপটিমা
वैकल्पिक परिणाम,বিকল্প ফলাফল
अनुरूप-अंकीय परिवर्तक,এনালগ থেকে ডিজিটাল রূপান্তরকারী
"अनुरूप कम्प्यूटर,",অ্যানালগ কম্পিউটার
विश्लेषण,বিশ্লেষণ
सहप्रसरण-विश्लेषण,সহভক্তির বিশ্লেষণ
गणन-आंकड़ों का विश्लेषण,গণনা তথ্য বিশ্লেষণ
प्रसरण-विश्लेषण,বৈচিত্র্যের বিশ্লেষণ
विश्लेषिक ज्यामिति,বিশ্লেষণাত্মক জ্যামিতি
विश्लेषिक फलन,বিশ্লেষণমূলক ফাংশন
कोण,কোণ
स्पर्श-कोण,যোগাযোগের কোণ
विक्षेप-कोण,বিচ্যুতি কোণ
अवनमन-कोण,বিষণ্নতা কোণ
विचलन-कोण,বিচ্যুতি কোণ
विवर्तन-कोण,বিবর্তন কোণ
उन्नयन-कोण,উচ্চতা কোণ
आपतन-कोण,ঘটনার কোণ
प्रक्षेप-कोण,অভিক্ষেপ কোণ
परावर्तन-कोण,প্রতিফলন কোণ
अपवर्तन-कोण,প্রতিসরণ কোণ
